variable.x,coeff,variable.y
WNAA00024,1,B01001H_003E
WNAA00024,1,B01001H_004E
WNAA00024,1,B01001H_005E
WNAA00024,1,B01001H_006E
WNAA00024,1,B01001H_007E
WNAA00024,1,B01001H_008E
WNAA00024,1,B01001H_018E
WNAA00024,1,B01001H_019E
WNAA00024,1,B01001H_020E
WNAA00024,1,B01001H_021E
WNAA00024,1,B01001H_022E
WNAA00024,1,B01001H_023E
WHAA00024,1,B01001A_003E
WHAA00024,1,B01001A_004E
WHAA00024,1,B01001A_005E
WHAA00024,1,B01001A_006E
WHAA00024,1,B01001A_007E
WHAA00024,1,B01001A_008E
WHAA00024,1,B01001A_021E
WHAA00024,1,B01001A_022E
WHAA00024,1,B01001A_023E
WHAA00024,1,B01001A_018E
WHAA00024,1,B01001A_019E
WHAA00024,1,B01001A_020E
WHAA00024,-1,B01001H_003E
WHAA00024,-1,B01001H_004E
WHAA00024,-1,B01001H_005E
WHAA00024,-1,B01001H_006E
WHAA00024,-1,B01001H_007E
WHAA00024,-1,B01001H_008E
WHAA00024,-1,B01001H_018E
WHAA00024,-1,B01001H_019E
WHAA00024,-1,B01001H_020E
WHAA00024,-1,B01001H_021E
WHAA00024,-1,B01001H_022E
WHAA00024,-1,B01001H_023E
IAAA00024,1,B01001C_008E
IAAA00024,1,B01001C_004E
IAAA00024,1,B01001C_005E
IAAA00024,1,B01001C_006E
IAAA00024,1,B01001C_007E
IAAA00024,1,B01001C_003E
IAAA00024,1,B01001C_020E
IAAA00024,1,B01001C_021E
IAAA00024,1,B01001C_022E
IAAA00024,1,B01001C_023E
IAAA00024,1,B01001C_018E
IAAA00024,1,B01001C_019E
AAAA00024,1,B01001D_008E
AAAA00024,1,B01001D_007E
AAAA00024,1,B01001D_004E
AAAA00024,1,B01001D_003E
AAAA00024,1,B01001D_006E
AAAA00024,1,B01001D_005E
AAAA00024,1,B01001E_008E
AAAA00024,1,B01001E_007E
AAAA00024,1,B01001E_006E
AAAA00024,1,B01001E_005E
AAAA00024,1,B01001E_004E
AAAA00024,1,B01001E_003E
AAAA00024,1,B01001D_019E
AAAA00024,1,B01001D_018E
AAAA00024,1,B01001D_022E
AAAA00024,1,B01001D_021E
AAAA00024,1,B01001D_020E
AAAA00024,1,B01001D_023E
AAAA00024,1,B01001E_019E
AAAA00024,1,B01001E_018E
AAAA00024,1,B01001E_023E
AAAA00024,1,B01001E_022E
AAAA00024,1,B01001E_021E
AAAA00024,1,B01001E_020E
BAAA00024,1,B01001B_007E
BAAA00024,1,B01001B_008E
BAAA00024,1,B01001B_005E
BAAA00024,1,B01001B_006E
BAAA00024,1,B01001B_003E
BAAA00024,1,B01001B_004E
BAAA00024,1,B01001B_022E
BAAA00024,1,B01001B_023E
BAAA00024,1,B01001B_020E
BAAA00024,1,B01001B_021E
BAAA00024,1,B01001B_019E
BAAA00024,1,B01001B_018E
WNAA25029,1,B01001H_009E
WNAA25029,1,B01001H_024E
WHAA25029,1,B01001A_009E
WHAA25029,1,B01001A_024E
WHAA25029,-1,B01001H_009E
WHAA25029,-1,B01001H_024E
IAAA25029,1,B01001C_009E
IAAA25029,1,B01001C_024E
AAAA25029,1,B01001D_009E
AAAA25029,1,B01001E_009E
AAAA25029,1,B01001D_024E
AAAA25029,1,B01001E_024E
BAAA25029,1,B01001B_009E
BAAA25029,1,B01001B_024E
WNAA30034,1,B01001H_010E
WNAA30034,1,B01001H_025E
WHAA30034,1,B01001A_010E
WHAA30034,1,B01001A_025E
WHAA30034,-1,B01001H_010E
WHAA30034,-1,B01001H_025E
IAAA30034,1,B01001C_010E
IAAA30034,1,B01001C_025E
AAAA30034,1,B01001D_010E
AAAA30034,1,B01001E_010E
AAAA30034,1,B01001D_025E
AAAA30034,1,B01001E_025E
BAAA30034,1,B01001B_010E
BAAA30034,1,B01001B_025E
WNAA35044,1,B01001H_011E
WNAA35044,1,B01001H_026E
WHAA35044,1,B01001A_011E
WHAA35044,1,B01001A_026E
WHAA35044,-1,B01001H_011E
WHAA35044,-1,B01001H_026E
IAAA35044,1,B01001C_011E
IAAA35044,1,B01001C_026E
AAAA35044,1,B01001D_011E
AAAA35044,1,B01001E_011E
AAAA35044,1,B01001D_026E
AAAA35044,1,B01001E_026E
BAAA35044,1,B01001B_011E
BAAA35044,1,B01001B_026E
WNAA45054,1,B01001H_012E
WNAA45054,1,B01001H_027E
WHAA45054,1,B01001A_012E
WHAA45054,1,B01001A_027E
WHAA45054,-1,B01001H_012E
WHAA45054,-1,B01001H_027E
IAAA45054,1,B01001C_012E
IAAA45054,1,B01001C_027E
AAAA45054,1,B01001D_012E
AAAA45054,1,B01001E_012E
AAAA45054,1,B01001D_027E
AAAA45054,1,B01001E_027E
BAAA45054,1,B01001B_012E
BAAA45054,1,B01001B_027E
WNAA55064,1,B01001H_013E
WNAA55064,1,B01001H_028E
WHAA55064,1,B01001A_013E
WHAA55064,1,B01001A_028E
WHAA55064,-1,B01001H_013E
WHAA55064,-1,B01001H_028E
IAAA55064,1,B01001C_013E
IAAA55064,1,B01001C_028E
AAAA55064,1,B01001D_013E
AAAA55064,1,B01001E_013E
AAAA55064,1,B01001D_028E
AAAA55064,1,B01001E_028E
BAAA55064,1,B01001B_013E
BAAA55064,1,B01001B_028E
WNAA65074,1,B01001H_014E
WNAA65074,1,B01001H_029E
WHAA65074,1,B01001A_014E
WHAA65074,1,B01001A_029E
WHAA65074,-1,B01001H_014E
WHAA65074,-1,B01001H_029E
IAAA65074,1,B01001C_014E
IAAA65074,1,B01001C_029E
AAAA65074,1,B01001D_014E
AAAA65074,1,B01001E_014E
AAAA65074,1,B01001D_029E
AAAA65074,1,B01001E_029E
BAAA65074,1,B01001B_014E
BAAA65074,1,B01001B_029E
WNAA75084,1,B01001H_015E
WNAA75084,1,B01001H_030E
WHAA75084,1,B01001A_015E
WHAA75084,1,B01001A_030E
WHAA75084,-1,B01001H_015E
WHAA75084,-1,B01001H_030E
IAAA75084,1,B01001C_015E
IAAA75084,1,B01001C_030E
AAAA75084,1,B01001D_015E
AAAA75084,1,B01001E_015E
AAAA75084,1,B01001D_030E
AAAA75084,1,B01001E_030E
BAAA75084,1,B01001B_015E
BAAA75084,1,B01001B_030E
WNAA85150,1,B01001H_016E
WNAA85150,1,B01001H_031E
WHAA85150,1,B01001A_016E
WHAA85150,1,B01001A_031E
WHAA85150,-1,B01001H_016E
WHAA85150,-1,B01001H_031E
