"min_age","max_age","Gender.Code","Race","variable","Education","Year","group","Hispanic.Origin"
0,0,"M","WHITE","ET4001",666,1990,"NP12","all"
1,2,"M","WHITE","ET4002",666,1990,"NP12","all"
3,4,"M","WHITE","ET4003",666,1990,"NP12","all"
5,5,"M","WHITE","ET4004",666,1990,"NP12","all"
6,6,"M","WHITE","ET4005",666,1990,"NP12","all"
7,9,"M","WHITE","ET4006",666,1990,"NP12","all"
10,11,"M","WHITE","ET4007",666,1990,"NP12","all"
12,13,"M","WHITE","ET4008",666,1990,"NP12","all"
14,14,"M","WHITE","ET4009",666,1990,"NP12","all"
15,15,"M","WHITE","ET4010",666,1990,"NP12","all"
16,16,"M","WHITE","ET4011",666,1990,"NP12","all"
17,17,"M","WHITE","ET4012",666,1990,"NP12","all"
18,18,"M","WHITE","ET4013",666,1990,"NP12","all"
19,19,"M","WHITE","ET4014",666,1990,"NP12","all"
20,20,"M","WHITE","ET4015",666,1990,"NP12","all"
21,21,"M","WHITE","ET4016",666,1990,"NP12","all"
22,24,"M","WHITE","ET4017",666,1990,"NP12","all"
25,29,"M","WHITE","ET4018",666,1990,"NP12","all"
30,34,"M","WHITE","ET4019",666,1990,"NP12","all"
35,39,"M","WHITE","ET4020",666,1990,"NP12","all"
40,44,"M","WHITE","ET4021",666,1990,"NP12","all"
45,49,"M","WHITE","ET4022",666,1990,"NP12","all"
50,54,"M","WHITE","ET4023",666,1990,"NP12","all"
55,59,"M","WHITE","ET4024",666,1990,"NP12","all"
60,61,"M","WHITE","ET4025",666,1990,"NP12","all"
62,64,"M","WHITE","ET4026",666,1990,"NP12","all"
65,69,"M","WHITE","ET4027",666,1990,"NP12","all"
70,74,"M","WHITE","ET4028",666,1990,"NP12","all"
75,79,"M","WHITE","ET4029",666,1990,"NP12","all"
80,84,"M","WHITE","ET4030",666,1990,"NP12","all"
85,150,"M","WHITE","ET4031",666,1990,"NP12","all"
0,0,"F","WHITE","ET4032",666,1990,"NP12","all"
1,2,"F","WHITE","ET4033",666,1990,"NP12","all"
3,4,"F","WHITE","ET4034",666,1990,"NP12","all"
5,5,"F","WHITE","ET4035",666,1990,"NP12","all"
6,6,"F","WHITE","ET4036",666,1990,"NP12","all"
7,9,"F","WHITE","ET4037",666,1990,"NP12","all"
10,11,"F","WHITE","ET4038",666,1990,"NP12","all"
12,13,"F","WHITE","ET4039",666,1990,"NP12","all"
14,14,"F","WHITE","ET4040",666,1990,"NP12","all"
15,15,"F","WHITE","ET4041",666,1990,"NP12","all"
16,16,"F","WHITE","ET4042",666,1990,"NP12","all"
17,17,"F","WHITE","ET4043",666,1990,"NP12","all"
18,18,"F","WHITE","ET4044",666,1990,"NP12","all"
19,19,"F","WHITE","ET4045",666,1990,"NP12","all"
20,20,"F","WHITE","ET4046",666,1990,"NP12","all"
21,21,"F","WHITE","ET4047",666,1990,"NP12","all"
22,24,"F","WHITE","ET4048",666,1990,"NP12","all"
25,29,"F","WHITE","ET4049",666,1990,"NP12","all"
30,34,"F","WHITE","ET4050",666,1990,"NP12","all"
35,39,"F","WHITE","ET4051",666,1990,"NP12","all"
40,44,"F","WHITE","ET4052",666,1990,"NP12","all"
45,49,"F","WHITE","ET4053",666,1990,"NP12","all"
50,54,"F","WHITE","ET4054",666,1990,"NP12","all"
55,59,"F","WHITE","ET4055",666,1990,"NP12","all"
60,61,"F","WHITE","ET4056",666,1990,"NP12","all"
62,64,"F","WHITE","ET4057",666,1990,"NP12","all"
65,69,"F","WHITE","ET4058",666,1990,"NP12","all"
70,74,"F","WHITE","ET4059",666,1990,"NP12","all"
75,79,"F","WHITE","ET4060",666,1990,"NP12","all"
80,84,"F","WHITE","ET4061",666,1990,"NP12","all"
85,150,"F","WHITE","ET4062",666,1990,"NP12","all"
0,0,"M","BLACK OR AFRICAN AMERICAN","ET4063",666,1990,"NP12","all"
1,2,"M","BLACK OR AFRICAN AMERICAN","ET4064",666,1990,"NP12","all"
3,4,"M","BLACK OR AFRICAN AMERICAN","ET4065",666,1990,"NP12","all"
5,5,"M","BLACK OR AFRICAN AMERICAN","ET4066",666,1990,"NP12","all"
6,6,"M","BLACK OR AFRICAN AMERICAN","ET4067",666,1990,"NP12","all"
7,9,"M","BLACK OR AFRICAN AMERICAN","ET4068",666,1990,"NP12","all"
10,11,"M","BLACK OR AFRICAN AMERICAN","ET4069",666,1990,"NP12","all"
12,13,"M","BLACK OR AFRICAN AMERICAN","ET4070",666,1990,"NP12","all"
14,14,"M","BLACK OR AFRICAN AMERICAN","ET4071",666,1990,"NP12","all"
15,15,"M","BLACK OR AFRICAN AMERICAN","ET4072",666,1990,"NP12","all"
16,16,"M","BLACK OR AFRICAN AMERICAN","ET4073",666,1990,"NP12","all"
17,17,"M","BLACK OR AFRICAN AMERICAN","ET4074",666,1990,"NP12","all"
18,18,"M","BLACK OR AFRICAN AMERICAN","ET4075",666,1990,"NP12","all"
19,19,"M","BLACK OR AFRICAN AMERICAN","ET4076",666,1990,"NP12","all"
20,20,"M","BLACK OR AFRICAN AMERICAN","ET4077",666,1990,"NP12","all"
21,21,"M","BLACK OR AFRICAN AMERICAN","ET4078",666,1990,"NP12","all"
22,24,"M","BLACK OR AFRICAN AMERICAN","ET4079",666,1990,"NP12","all"
25,29,"M","BLACK OR AFRICAN AMERICAN","ET4080",666,1990,"NP12","all"
30,34,"M","BLACK OR AFRICAN AMERICAN","ET4081",666,1990,"NP12","all"
35,39,"M","BLACK OR AFRICAN AMERICAN","ET4082",666,1990,"NP12","all"
40,44,"M","BLACK OR AFRICAN AMERICAN","ET4083",666,1990,"NP12","all"
45,49,"M","BLACK OR AFRICAN AMERICAN","ET4084",666,1990,"NP12","all"
