variable,Year,tablename,group,gender,Gender.Code,min_age,max_age,Race,Hispanic.Origin,Education
B01001A_003E,2016,acs/acs5,B01001A,Male,M,0,4,WHITE,all,666
B01001A_004E,2016,acs/acs5,B01001A,Male,M,5,9,WHITE,all,666
B01001A_005E,2016,acs/acs5,B01001A,Male,M,10,14,WHITE,all,666
B01001A_006E,2016,acs/acs5,B01001A,Male,M,15,17,WHITE,all,666
B01001A_007E,2016,acs/acs5,B01001A,Male,M,18,19,WHITE,all,666
B01001A_008E,2016,acs/acs5,B01001A,Male,M,20,24,WHITE,all,666
B01001A_009E,2016,acs/acs5,B01001A,Male,M,25,29,WHITE,all,666
B01001A_021E,2016,acs/acs5,B01001A,Female,F,15,17,WHITE,all,666
B01001A_022E,2016,acs/acs5,B01001A,Female,F,18,19,WHITE,all,666
B01001A_024E,2016,acs/acs5,B01001A,Female,F,25,29,WHITE,all,666
B01001A_023E,2016,acs/acs5,B01001A,Female,F,20,24,WHITE,all,666
B01001A_025E,2016,acs/acs5,B01001A,Female,F,30,34,WHITE,all,666
B01001A_026E,2016,acs/acs5,B01001A,Female,F,35,44,WHITE,all,666
B01001A_027E,2016,acs/acs5,B01001A,Female,F,45,54,WHITE,all,666
B01001A_028E,2016,acs/acs5,B01001A,Female,F,55,64,WHITE,all,666
B01001A_029E,2016,acs/acs5,B01001A,Female,F,65,74,WHITE,all,666
B01001A_030E,2016,acs/acs5,B01001A,Female,F,75,84,WHITE,all,666
B01001A_031E,2016,acs/acs5,B01001A,Female,F,85,150,WHITE,all,666
B01001A_010E,2016,acs/acs5,B01001A,Male,M,30,34,WHITE,all,666
B01001A_011E,2016,acs/acs5,B01001A,Male,M,35,44,WHITE,all,666
B01001A_013E,2016,acs/acs5,B01001A,Male,M,55,64,WHITE,all,666
B01001A_012E,2016,acs/acs5,B01001A,Male,M,45,54,WHITE,all,666
B01001A_014E,2016,acs/acs5,B01001A,Male,M,65,74,WHITE,all,666
B01001A_015E,2016,acs/acs5,B01001A,Male,M,75,84,WHITE,all,666
B01001A_016E,2016,acs/acs5,B01001A,Male,M,85,150,WHITE,all,666
B01001A_018E,2016,acs/acs5,B01001A,Female,F,0,4,WHITE,all,666
B01001A_019E,2016,acs/acs5,B01001A,Female,F,5,9,WHITE,all,666
B01001A_020E,2016,acs/acs5,B01001A,Female,F,10,14,WHITE,all,666
B01001B_029E,2016,acs/acs5,B01001B,Female,F,65,74,BLACK OR AFRICAN AMERICAN,all,666
B01001B_027E,2016,acs/acs5,B01001B,Female,F,45,54,BLACK OR AFRICAN AMERICAN,all,666
B01001B_028E,2016,acs/acs5,B01001B,Female,F,55,64,BLACK OR AFRICAN AMERICAN,all,666
B01001B_025E,2016,acs/acs5,B01001B,Female,F,30,34,BLACK OR AFRICAN AMERICAN,all,666
B01001B_026E,2016,acs/acs5,B01001B,Female,F,35,44,BLACK OR AFRICAN AMERICAN,all,666
B01001B_022E,2016,acs/acs5,B01001B,Female,F,18,19,BLACK OR AFRICAN AMERICAN,all,666
B01001B_023E,2016,acs/acs5,B01001B,Female,F,20,24,BLACK OR AFRICAN AMERICAN,all,666
B01001B_024E,2016,acs/acs5,B01001B,Female,F,25,29,BLACK OR AFRICAN AMERICAN,all,666
B01001B_020E,2016,acs/acs5,B01001B,Female,F,10,14,BLACK OR AFRICAN AMERICAN,all,666
B01001B_021E,2016,acs/acs5,B01001B,Female,F,15,17,BLACK OR AFRICAN AMERICAN,all,666
B01001B_019E,2016,acs/acs5,B01001B,Female,F,5,9,BLACK OR AFRICAN AMERICAN,all,666
B01001B_018E,2016,acs/acs5,B01001B,Female,F,0,4,BLACK OR AFRICAN AMERICAN,all,666
B01001B_015E,2016,acs/acs5,B01001B,Male,M,75,84,BLACK OR AFRICAN AMERICAN,all,666
B01001B_016E,2016,acs/acs5,B01001B,Male,M,85,150,BLACK OR AFRICAN AMERICAN,all,666
B01001B_013E,2016,acs/acs5,B01001B,Male,M,55,64,BLACK OR AFRICAN AMERICAN,all,666
B01001B_014E,2016,acs/acs5,B01001B,Male,M,65,74,BLACK OR AFRICAN AMERICAN,all,666
B01001B_010E,2016,acs/acs5,B01001B,Male,M,30,34,BLACK OR AFRICAN AMERICAN,all,666
B01001B_011E,2016,acs/acs5,B01001B,Male,M,35,44,BLACK OR AFRICAN AMERICAN,all,666
B01001B_012E,2016,acs/acs5,B01001B,Male,M,45,54,BLACK OR AFRICAN AMERICAN,all,666
B01001B_030E,2016,acs/acs5,B01001B,Female,F,75,84,BLACK OR AFRICAN AMERICAN,all,666
B01001B_031E,2016,acs/acs5,B01001B,Female,F,85,150,BLACK OR AFRICAN AMERICAN,all,666
