"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"State"	"State Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"California"	"06"	"White"	"2106-3"	"2009"	"2009"	10	382694	Unreliable
	"20-24 years"	"20-24"	"California"	"06"	"White"	"2106-3"	"2000"	"2000"	11	1851860	Unreliable
	"20-24 years"	"20-24"	"California"	"06"	"White"	"2106-3"	"2001"	"2001"	10	1930620	Unreliable
	"20-24 years"	"20-24"	"California"	"06"	"White"	"2106-3"	"2002"	"2002"	12	1973420	Unreliable
	"20-24 years"	"20-24"	"California"	"06"	"White"	"2106-3"	"2003"	"2003"	10	1996800	Unreliable
	"20-24 years"	"20-24"	"California"	"06"	"White"	"2106-3"	"2004"	"2004"	12	2017845	Unreliable
	"20-24 years"	"20-24"	"California"	"06"	"White"	"2106-3"	"2005"	"2005"	10	2023035	Unreliable
	"20-24 years"	"20-24"	"California"	"06"	"White"	"2106-3"	"2006"	"2006"	12	2015233	Unreliable
	"20-24 years"	"20-24"	"California"	"06"	"White"	"2106-3"	"2009"	"2009"	12	2048020	Unreliable
	"20-24 years"	"20-24"	"California"	"06"	"White"	"2106-3"	"2011"	"2011"	15	2139809	Unreliable
	"20-24 years"	"20-24"	"California"	"06"	"White"	"2106-3"	"2012"	"2012"	11	2175734	Unreliable
	"20-24 years"	"20-24"	"Texas"	"48"	"White"	"2106-3"	"2006"	"2006"	12	1438191	Unreliable
	"20-24 years"	"20-24"	"Texas"	"48"	"White"	"2106-3"	"2011"	"2011"	11	1507311	Unreliable
	"25-29 years"	"25-29"	"California"	"06"	"White"	"2106-3"	"2000"	"2000"	21	1972746	1.1
	"25-29 years"	"25-29"	"California"	"06"	"White"	"2106-3"	"2001"	"2001"	16	1929973	Unreliable
	"25-29 years"	"25-29"	"California"	"06"	"White"	"2106-3"	"2002"	"2002"	12	1915554	Unreliable
	"25-29 years"	"25-29"	"California"	"06"	"White"	"2106-3"	"2003"	"2003"	12	1916592	Unreliable
	"25-29 years"	"25-29"	"California"	"06"	"White"	"2106-3"	"2004"	"2004"	13	1936833	Unreliable
	"25-29 years"	"25-29"	"California"	"06"	"White"	"2106-3"	"2005"	"2005"	16	1961099	Unreliable
	"25-29 years"	"25-29"	"California"	"06"	"White"	"2106-3"	"2006"	"2006"	15	1998079	Unreliable
	"25-29 years"	"25-29"	"California"	"06"	"White"	"2106-3"	"2007"	"2007"	16	2017675	Unreliable
	"25-29 years"	"25-29"	"California"	"06"	"White"	"2106-3"	"2008"	"2008"	13	2044647	Unreliable
	"25-29 years"	"25-29"	"California"	"06"	"White"	"2106-3"	"2009"	"2009"	21	2056154	1.0
	"25-29 years"	"25-29"	"California"	"06"	"White"	"2106-3"	"2010"	"2010"	13	2057074	Unreliable
	"25-29 years"	"25-29"	"California"	"06"	"White"	"2106-3"	"2011"	"2011"	14	2073943	Unreliable
	"25-29 years"	"25-29"	"California"	"06"	"White"	"2106-3"	"2012"	"2012"	10	2074379	Unreliable
	"25-29 years"	"25-29"	"California"	"06"	"White"	"2106-3"	"2013"	"2013"	13	2100345	Unreliable
	"25-29 years"	"25-29"	"California"	"06"	"White"	"2106-3"	"2014"	"2014"	12	2138654	Unreliable
	"25-29 years"	"25-29"	"California"	"06"	"White"	"2106-3"	"2015"	"2015"	12	2184912	Unreliable
	"25-29 years"	"25-29"	"California"	"06"	"White"	"2106-3"	"2016"	"2016"	17	2224308	Unreliable
	"25-29 years"	"25-29"	"New York"	"36"	"White"	"2106-3"	"2001"	"2001"	11	896291	Unreliable
	"25-29 years"	"25-29"	"New York"	"36"	"White"	"2106-3"	"2004"	"2004"	10	905553	Unreliable
	"25-29 years"	"25-29"	"New York"	"36"	"White"	"2106-3"	"2014"	"2014"	10	1005650	Unreliable
	"25-29 years"	"25-29"	"Pennsylvania"	"42"	"White"	"2106-3"	"2000"	"2000"	10	616805	Unreliable
	"25-29 years"	"25-29"	"Texas"	"48"	"White"	"2106-3"	"2001"	"2001"	13	1298375	Unreliable
	"25-29 years"	"25-29"	"Texas"	"48"	"White"	"2106-3"	"2003"	"2003"	16	1296525	Unreliable
	"25-29 years"	"25-29"	"Texas"	"48"	"White"	"2106-3"	"2004"	"2004"	11	1312720	Unreliable
	"25-29 years"	"25-29"	"Texas"	"48"	"White"	"2106-3"	"2006"	"2006"	13	1383465	Unreliable
	"25-29 years"	"25-29"	"Texas"	"48"	"White"	"2106-3"	"2007"	"2007"	10	1425333	Unreliable
	"25-29 years"	"25-29"	"Texas"	"48"	"White"	"2106-3"	"2008"	"2008"	11	1464821	Unreliable
	"25-29 years"	"25-29"	"Texas"	"48"	"White"	"2106-3"	"2010"	"2010"	11	1497055	Unreliable
	"25-29 years"	"25-29"	"Texas"	"48"	"White"	"2106-3"	"2011"	"2011"	10	1514178	Unreliable
	"25-29 years"	"25-29"	"Texas"	"48"	"White"	"2106-3"	"2012"	"2012"	11	1522896	Unreliable
	"25-29 years"	"25-29"	"Texas"	"48"	"White"	"2106-3"	"2014"	"2014"	17	1557609	Unreliable
	"25-29 years"	"25-29"	"Texas"	"48"	"White"	"2106-3"	"2015"	"2015"	16	1588996	Unreliable
	"25-29 years"	"25-29"	"Texas"	"48"	"White"	"2106-3"	"2016"	"2016"	14	1619646	Unreliable
	"30-34 years"	"30-34"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"2012"	"2012"	10	450199	Unreliable
	"30-34 years"	"30-34"	"California"	"06"	"White"	"2106-3"	"2000"	"2000"	28	2097402	1.3
	"30-34 years"	"30-34"	"California"	"06"	"White"	"2106-3"	"2001"	"2001"	31	2112974	1.5
	"30-34 years"	"30-34"	"California"	"06"	"White"	"2106-3"	"2002"	"2002"	21	2097605	1.0
	"30-34 years"	"30-34"	"California"	"06"	"White"	"2106-3"	"2003"	"2003"	18	2066082	Unreliable
	"30-34 years"	"30-34"	"California"	"06"	"White"	"2106-3"	"2004"	"2004"	25	2017096	1.2
	"30-34 years"	"30-34"	"California"	"06"	"White"	"2106-3"	"2005"	"2005"	17	1946005	Unreliable
	"30-34 years"	"30-34"	"California"	"06"	"White"	"2106-3"	"2006"	"2006"	15	1887336	Unreliable
	"30-34 years"	"30-34"	"California"	"06"	"White"	"2106-3"	"2007"	"2007"	16	1861923	Unreliable
	"30-34 years"	"30-34"	"California"	"06"	"White"	"2106-3"	"2008"	"2008"	26	1863176	1.4
	"30-34 years"	"30-34"	"California"	"06"	"White"	"2106-3"	"2009"	"2009"	31	1886991	1.6
	"30-34 years"	"30-34"	"California"	"06"	"White"	"2106-3"	"2010"	"2010"	24	1912643	1.3
	"30-34 years"	"30-34"	"California"	"06"	"White"	"2106-3"	"2011"	"2011"	28	1961099	1.4
	"30-34 years"	"30-34"	"California"	"06"	"White"	"2106-3"	"2012"	"2012"	23	1992336	1.2
	"30-34 years"	"30-34"	"California"	"06"	"White"	"2106-3"	"2013"	"2013"	21	2029177	1.0
	"30-34 years"	"30-34"	"California"	"06"	"White"	"2106-3"	"2014"	"2014"	15	2058807	Unreliable
	"30-34 years"	"30-34"	"California"	"06"	"White"	"2106-3"	"2015"	"2015"	28	2067679	1.4
	"30-34 years"	"30-34"	"California"	"06"	"White"	"2106-3"	"2016"	"2016"	16	2070316	Unreliable
	"30-34 years"	"30-34"	"Florida"	"12"	"White"	"2106-3"	"2000"	"2000"	10	872244	Unreliable
	"30-34 years"	"30-34"	"Florida"	"12"	"White"	"2106-3"	"2001"	"2001"	13	878130	Unreliable
	"30-34 years"	"30-34"	"Florida"	"12"	"White"	"2106-3"	"2002"	"2002"	12	883054	Unreliable
	"30-34 years"	"30-34"	"Florida"	"12"	"White"	"2106-3"	"2004"	"2004"	10	874211	Unreliable
	"30-34 years"	"30-34"	"Florida"	"12"	"White"	"2106-3"	"2005"	"2005"	13	862351	Unreliable
	"30-34 years"	"30-34"	"Florida"	"12"	"White"	"2106-3"	"2006"	"2006"	19	842619	Unreliable
	"30-34 years"	"30-34"	"Florida"	"12"	"White"	"2106-3"	"2010"	"2010"	10	842473	Unreliable
	"30-34 years"	"30-34"	"Florida"	"12"	"White"	"2106-3"	"2011"	"2011"	13	863352	Unreliable
	"30-34 years"	"30-34"	"Florida"	"12"	"White"	"2106-3"	"2012"	"2012"	15	886091	Unreliable
