"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"State"	"State Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Hispanic Origin"	"Hispanic Origin Code"	Deaths	Population	Crude Rate
	"35-39 years"	"35-39"	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-2"	11	219907	Unreliable
	"35-39 years"	"35-39"	"Alabama"	"01"	"White"	"2106-3"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-2"	13	214147	Unreliable
	"35-39 years"	"35-39"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-2"	11	362336	Unreliable
	"35-39 years"	"35-39"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-2"	11	405808	Unreliable
	"35-39 years"	"35-39"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-2"	11	425516	Unreliable
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2000"	"2000"	"Hispanic or Latino"	"2135-2"	11	829816	Unreliable
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-2"	22	1374512	1.6
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-2"	30	1307220	2.3
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-2"	17	1245822	Unreliable
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2003"	"2003"	"Hispanic or Latino"	"2135-2"	10	902418	Unreliable
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-2"	22	1189293	1.8
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-2"	23	1140340	2.0
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2006"	"2006"	"Not Hispanic or Latino"	"2186-2"	18	1089243	Unreliable
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-2"	11	1051683	Unreliable
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2008"	"2008"	"Not Hispanic or Latino"	"2186-2"	10	1009499	Unreliable
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-2"	10	962223	Unreliable
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2010"	"2010"	"Hispanic or Latino"	"2135-2"	14	977876	Unreliable
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-2"	16	921348	Unreliable
