"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"State"	"State Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"20-24 years"	"20-24"	"California"	"06"	"White"	"2106-3"	"2015"	"2015"	10	2149547	Unreliable
	"25-29 years"	"25-29"	"Arkansas"	"05"	"White"	"2106-3"	"2012"	"2012"	10	151625	Unreliable
	"25-29 years"	"25-29"	"Arkansas"	"05"	"White"	"2106-3"	"2015"	"2015"	11	152807	Unreliable
	"25-29 years"	"25-29"	"California"	"06"	"White"	"2106-3"	"2001"	"2001"	11	1929973	Unreliable
	"25-29 years"	"25-29"	"California"	"06"	"White"	"2106-3"	"2002"	"2002"	15	1915554	Unreliable
	"25-29 years"	"25-29"	"California"	"06"	"White"	"2106-3"	"2003"	"2003"	14	1916592	Unreliable
	"25-29 years"	"25-29"	"California"	"06"	"White"	"2106-3"	"2004"	"2004"	14	1936833	Unreliable
	"25-29 years"	"25-29"	"California"	"06"	"White"	"2106-3"	"2005"	"2005"	17	1961099	Unreliable
	"25-29 years"	"25-29"	"California"	"06"	"White"	"2106-3"	"2006"	"2006"	15	1998079	Unreliable
	"25-29 years"	"25-29"	"California"	"06"	"White"	"2106-3"	"2007"	"2007"	15	2017675	Unreliable
	"25-29 years"	"25-29"	"California"	"06"	"White"	"2106-3"	"2008"	"2008"	17	2044647	Unreliable
	"25-29 years"	"25-29"	"California"	"06"	"White"	"2106-3"	"2009"	"2009"	17	2056154	Unreliable
	"25-29 years"	"25-29"	"California"	"06"	"White"	"2106-3"	"2010"	"2010"	14	2057074	Unreliable
	"25-29 years"	"25-29"	"California"	"06"	"White"	"2106-3"	"2011"	"2011"	22	2073943	1.1
	"25-29 years"	"25-29"	"California"	"06"	"White"	"2106-3"	"2012"	"2012"	16	2074379	Unreliable
	"25-29 years"	"25-29"	"California"	"06"	"White"	"2106-3"	"2013"	"2013"	17	2100345	Unreliable
	"25-29 years"	"25-29"	"California"	"06"	"White"	"2106-3"	"2014"	"2014"	11	2138654	Unreliable
	"25-29 years"	"25-29"	"California"	"06"	"White"	"2106-3"	"2015"	"2015"	22	2184912	1.0
	"25-29 years"	"25-29"	"California"	"06"	"White"	"2106-3"	"2016"	"2016"	21	2224308	0.9
