"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"State"	"State Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Alabama"	"01"	"Asian or Pacific Islander"	"A-PI"	"2000"	"2000"	Suppressed	541	Suppressed
	"< 1 year"	"1"	"Alabama"	"01"	"Asian or Pacific Islander"	"A-PI"	"2001"	"2001"	Suppressed	548	Suppressed
	"< 1 year"	"1"	"Alabama"	"01"	"Asian or Pacific Islander"	"A-PI"	"2002"	"2002"	Suppressed	513	Suppressed
	"< 1 year"	"1"	"Alabama"	"01"	"Asian or Pacific Islander"	"A-PI"	"2003"	"2003"	Suppressed	612	Suppressed
	"< 1 year"	"1"	"Alabama"	"01"	"Asian or Pacific Islander"	"A-PI"	"2004"	"2004"	Suppressed	738	Suppressed
	"< 1 year"	"1"	"Alabama"	"01"	"Asian or Pacific Islander"	"A-PI"	"2005"	"2005"	Suppressed	763	Suppressed
	"< 1 year"	"1"	"Alabama"	"01"	"Asian or Pacific Islander"	"A-PI"	"2006"	"2006"	Suppressed	821	Suppressed
	"< 1 year"	"1"	"Alabama"	"01"	"Asian or Pacific Islander"	"A-PI"	"2007"	"2007"	Suppressed	865	Suppressed
	"< 1 year"	"1"	"Alabama"	"01"	"Asian or Pacific Islander"	"A-PI"	"2008"	"2008"	Suppressed	879	Suppressed
	"< 1 year"	"1"	"Alabama"	"01"	"Asian or Pacific Islander"	"A-PI"	"2009"	"2009"	Suppressed	902	Suppressed
	"< 1 year"	"1"	"Alabama"	"01"	"Asian or Pacific Islander"	"A-PI"	"2010"	"2010"	Suppressed	929	Suppressed
	"< 1 year"	"1"	"Alabama"	"01"	"Asian or Pacific Islander"	"A-PI"	"2011"	"2011"	Suppressed	1106	Suppressed
	"< 1 year"	"1"	"Alabama"	"01"	"Asian or Pacific Islander"	"A-PI"	"2012"	"2012"	Suppressed	1036	Suppressed
	"< 1 year"	"1"	"Alabama"	"01"	"Asian or Pacific Islander"	"A-PI"	"2013"	"2013"	Suppressed	1007	Suppressed
	"< 1 year"	"1"	"Alabama"	"01"	"Asian or Pacific Islander"	"A-PI"	"2014"	"2014"	Suppressed	1013	Suppressed
	"< 1 year"	"1"	"Alabama"	"01"	"Asian or Pacific Islander"	"A-PI"	"2015"	"2015"	Suppressed	1006	Suppressed
	"< 1 year"	"1"	"Alabama"	"01"	"Asian or Pacific Islander"	"A-PI"	"2016"	"2016"	10	1066	Unreliable
	"< 1 year"	"1"	"Alaska"	"02"	"Asian or Pacific Islander"	"A-PI"	"2000"	"2000"	Suppressed	488	Suppressed
	"< 1 year"	"1"	"Alaska"	"02"	"Asian or Pacific Islander"	"A-PI"	"2001"	"2001"	Suppressed	501	Suppressed
	"< 1 year"	"1"	"Alaska"	"02"	"Asian or Pacific Islander"	"A-PI"	"2002"	"2002"	Suppressed	546	Suppressed
	"< 1 year"	"1"	"Alaska"	"02"	"Asian or Pacific Islander"	"A-PI"	"2003"	"2003"	Suppressed	625	Suppressed
	"< 1 year"	"1"	"Alaska"	"02"	"Asian or Pacific Islander"	"A-PI"	"2004"	"2004"	Suppressed	593	Suppressed
