"Notes"	"State"	"State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"35-39 years"	"35-39"	"White"	"2106-3"	"2014"	"2014"	10	201737	Unreliable
	"Alabama"	"01"	"40-44 years"	"40-44"	"White"	"2106-3"	"2004"	"2004"	11	248542	Unreliable
	"Alabama"	"01"	"40-44 years"	"40-44"	"White"	"2106-3"	"2005"	"2005"	10	246278	Unreliable
	"Alabama"	"01"	"40-44 years"	"40-44"	"White"	"2106-3"	"2007"	"2007"	10	235853	Unreliable
	"Alabama"	"01"	"40-44 years"	"40-44"	"White"	"2106-3"	"2013"	"2013"	13	225019	Unreliable
	"Alabama"	"01"	"40-44 years"	"40-44"	"White"	"2106-3"	"2014"	"2014"	14	220879	Unreliable
	"Alabama"	"01"	"45-49 years"	"45-49"	"Black or African American"	"2054-5"	"2002"	"2002"	10	84352	Unreliable
	"Alabama"	"01"	"45-49 years"	"45-49"	"Black or African American"	"2054-5"	"2014"	"2014"	13	79918	Unreliable
	"Alabama"	"01"	"45-49 years"	"45-49"	"White"	"2106-3"	"2000"	"2000"	11	232127	Unreliable
	"Alabama"	"01"	"45-49 years"	"45-49"	"White"	"2106-3"	"2003"	"2003"	14	245573	Unreliable
	"Alabama"	"01"	"45-49 years"	"45-49"	"White"	"2106-3"	"2005"	"2005"	17	249723	Unreliable
	"Alabama"	"01"	"45-49 years"	"45-49"	"White"	"2106-3"	"2006"	"2006"	15	252907	Unreliable
	"Alabama"	"01"	"45-49 years"	"45-49"	"White"	"2106-3"	"2007"	"2007"	14	252812	Unreliable
	"Alabama"	"01"	"45-49 years"	"45-49"	"White"	"2106-3"	"2008"	"2008"	15	252500	Unreliable
	"Alabama"	"01"	"45-49 years"	"45-49"	"White"	"2106-3"	"2009"	"2009"	13	252844	Unreliable
	"Alabama"	"01"	"45-49 years"	"45-49"	"White"	"2106-3"	"2010"	"2010"	15	251506	Unreliable
	"Alabama"	"01"	"45-49 years"	"45-49"	"White"	"2106-3"	"2012"	"2012"	14	235947	Unreliable
	"Alabama"	"01"	"45-49 years"	"45-49"	"White"	"2106-3"	"2013"	"2013"	14	229522	Unreliable
	"Alabama"	"01"	"45-49 years"	"45-49"	"White"	"2106-3"	"2014"	"2014"	22	224358	9.8
	"Alabama"	"01"	"45-49 years"	"45-49"	"White"	"2106-3"	"2016"	"2016"	18	224488	Unreliable
	"Alabama"	"01"	"50-54 years"	"50-54"	"Black or African American"	"2054-5"	"2003"	"2003"	11	72865	Unreliable
	"Alabama"	"01"	"50-54 years"	"50-54"	"Black or African American"	"2054-5"	"2006"	"2006"	10	81746	Unreliable
	"Alabama"	"01"	"50-54 years"	"50-54"	"Black or African American"	"2054-5"	"2008"	"2008"	13	86984	Unreliable
	"Alabama"	"01"	"50-54 years"	"50-54"	"Black or African American"	"2054-5"	"2009"	"2009"	16	88599	Unreliable
	"Alabama"	"01"	"50-54 years"	"50-54"	"Black or African American"	"2054-5"	"2011"	"2011"	11	89592	Unreliable
	"Alabama"	"01"	"50-54 years"	"50-54"	"Black or African American"	"2054-5"	"2013"	"2013"	14	88222	Unreliable
	"Alabama"	"01"	"50-54 years"	"50-54"	"Black or African American"	"2054-5"	"2015"	"2015"	10	86490	Unreliable
	"Alabama"	"01"	"50-54 years"	"50-54"	"Black or African American"	"2054-5"	"2016"	"2016"	12	84623	Unreliable
	"Alabama"	"01"	"50-54 years"	"50-54"	"White"	"2106-3"	"2000"	"2000"	10	220600	Unreliable
	"Alabama"	"01"	"50-54 years"	"50-54"	"White"	"2106-3"	"2001"	"2001"	14	229571	Unreliable
