"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"State"	"State Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Hispanic Origin"	"Hispanic Origin Code"	Deaths	Population	Crude Rate
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-2"	15	1189293	Unreliable
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2004"	"2004"	"Not Hispanic or Latino"	"2186-2"	11	1140340	Unreliable
	"35-39 years"	"35-39"	"Florida"	"12"	"White"	"2106-3"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-2"	11	771204	Unreliable
	"35-39 years"	"35-39"	"Texas"	"48"	"White"	"2106-3"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-2"	10	787355	Unreliable
	"40-44 years"	"40-44"	"Alabama"	"01"	"White"	"2106-3"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-2"	10	248269	Unreliable
	"40-44 years"	"40-44"	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-2"	10	244018	Unreliable
	"40-44 years"	"40-44"	"Alabama"	"01"	"White"	"2106-3"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-2"	11	240098	Unreliable
	"40-44 years"	"40-44"	"Alabama"	"01"	"White"	"2106-3"	"2007"	"2007"	"Not Hispanic or Latino"	"2186-2"	10	228672	Unreliable
	"40-44 years"	"40-44"	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-2"	10	215000	Unreliable
	"40-44 years"	"40-44"	"Alabama"	"01"	"White"	"2106-3"	"2011"	"2011"	"Not Hispanic or Latino"	"2186-2"	13	215115	Unreliable
	"40-44 years"	"40-44"	"Arkansas"	"05"	"White"	"2106-3"	"2005"	"2005"	"Not Hispanic or Latino"	"2186-2"	11	158973	Unreliable
	"40-44 years"	"40-44"	"Arkansas"	"05"	"White"	"2106-3"	"2014"	"2014"	"Not Hispanic or Latino"	"2186-2"	11	137173	Unreliable
	"40-44 years"	"40-44"	"California"	"06"	"Black or African American"	"2054-5"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-2"	14	189819	Unreliable
