"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"State"	"State Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2003"	"2003"	18	2091711	Unreliable
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2004"	"2004"	13	2058892	Unreliable
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2005"	"2005"	11	2049014	Unreliable
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2008"	"2008"	10	1980741	Unreliable
	"35-39 years"	"35-39"	"Florida"	"12"	"White"	"2106-3"	"2001"	"2001"	13	1015978	Unreliable
	"35-39 years"	"35-39"	"Texas"	"48"	"White"	"2106-3"	"2003"	"2003"	15	1327956	Unreliable
	"40-44 years"	"40-44"	"Alabama"	"01"	"White"	"2106-3"	"2001"	"2001"	10	252495	Unreliable
	"40-44 years"	"40-44"	"Alabama"	"01"	"White"	"2106-3"	"2003"	"2003"	10	249101	Unreliable
	"40-44 years"	"40-44"	"Alabama"	"01"	"White"	"2106-3"	"2005"	"2005"	11	246278	Unreliable
	"40-44 years"	"40-44"	"Alabama"	"01"	"White"	"2106-3"	"2007"	"2007"	10	235853	Unreliable
	"40-44 years"	"40-44"	"Alabama"	"01"	"White"	"2106-3"	"2010"	"2010"	10	223947	Unreliable
	"40-44 years"	"40-44"	"Alabama"	"01"	"White"	"2106-3"	"2011"	"2011"	13	224860	Unreliable
	"40-44 years"	"40-44"	"Arizona"	"04"	"White"	"2106-3"	"2004"	"2004"	11	359412	Unreliable
	"40-44 years"	"40-44"	"Arkansas"	"05"	"White"	"2106-3"	"2005"	"2005"	11	166436	Unreliable
	"40-44 years"	"40-44"	"Arkansas"	"05"	"White"	"2106-3"	"2014"	"2014"	11	150285	Unreliable
	"40-44 years"	"40-44"	"California"	"06"	"Black or African American"	"2054-5"	"2000"	"2000"	14	200438	Unreliable
	"40-44 years"	"40-44"	"California"	"06"	"Black or African American"	"2054-5"	"2002"	"2002"	11	207880	Unreliable
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2000"	"2000"	24	2093611	1.1
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2001"	"2001"	40	2133685	1.9
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2002"	"2002"	30	2147201	1.4
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2003"	"2003"	43	2152675	2.0
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2004"	"2004"	27	2158621	1.3
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2005"	"2005"	23	2127611	1.1
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2006"	"2006"	20	2077708	1.0
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2007"	"2007"	21	2023262	1.0
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2008"	"2008"	26	1986576	1.3
