"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"State"	"State Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Hispanic Origin"	"Hispanic Origin Code"	Deaths	Population	Crude Rate
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2014"	"2014"	"Hispanic or Latino"	"2135-2"	11	991655	Unreliable
	"40-44 years"	"40-44"	"California"	"06"	"Black or African American"	"2054-5"	"2015"	"2015"	"Not Hispanic or Latino"	"2186-2"	10	148581	Unreliable
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2005"	"2005"	"Hispanic or Latino"	"2135-2"	10	822368	Unreliable
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2009"	"2009"	"Hispanic or Latino"	"2135-2"	11	887893	Unreliable
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2009"	"2009"	"Not Hispanic or Latino"	"2186-2"	17	1066526	Unreliable
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2010"	"2010"	"Not Hispanic or Latino"	"2186-2"	13	1049015	Unreliable
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2011"	"2011"	"Hispanic or Latino"	"2135-2"	12	932443	Unreliable
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2011"	"2011"	"Not Hispanic or Latino"	"2186-2"	12	1038523	Unreliable
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2012"	"2012"	"Hispanic or Latino"	"2135-2"	11	941899	Unreliable
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2013"	"2013"	"Hispanic or Latino"	"2135-2"	18	947523	Unreliable
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2013"	"2013"	"Not Hispanic or Latino"	"2186-2"	11	983342	Unreliable
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2014"	"2014"	"Hispanic or Latino"	"2135-2"	13	965625	Unreliable
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2014"	"2014"	"Not Hispanic or Latino"	"2186-2"	14	942122	Unreliable
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2015"	"2015"	"Hispanic or Latino"	"2135-2"	25	968058	2.6
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2015"	"2015"	"Not Hispanic or Latino"	"2186-2"	14	898579	Unreliable
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2016"	"2016"	"Hispanic or Latino"	"2135-2"	24	955452	2.5
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2016"	"2016"	"Not Hispanic or Latino"	"2186-2"	11	859548	Unreliable
	"40-44 years"	"40-44"	"Ohio"	"39"	"White"	"2106-3"	"2013"	"2013"	"Not Hispanic or Latino"	"2186-2"	10	607493	Unreliable
