"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"State"	"State Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2014"	"2014"	11	1875464	Unreliable
	"35-39 years"	"35-39"	"California"	"06"	"White"	"2106-3"	"2016"	"2016"	11	1931540	Unreliable
	"40-44 years"	"40-44"	"Arizona"	"04"	"White"	"2106-3"	"2015"	"2015"	10	349201	Unreliable
	"40-44 years"	"40-44"	"California"	"06"	"Black or African American"	"2054-5"	"2015"	"2015"	10	170837	Unreliable
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2003"	"2003"	11	2152675	Unreliable
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2005"	"2005"	14	2127611	Unreliable
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2006"	"2006"	15	2077708	Unreliable
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2007"	"2007"	13	2023262	Unreliable
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2008"	"2008"	13	1986576	Unreliable
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2009"	"2009"	28	1954419	1.4
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2010"	"2010"	21	1954406	1.1
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2011"	"2011"	24	1970966	1.2
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2012"	"2012"	15	1958469	Unreliable
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2013"	"2013"	29	1930865	1.5
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2014"	"2014"	27	1907747	1.4
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2015"	"2015"	39	1866637	2.1
	"40-44 years"	"40-44"	"California"	"06"	"White"	"2106-3"	"2016"	"2016"	35	1815000	1.9
	"40-44 years"	"40-44"	"Florida"	"12"	"White"	"2106-3"	"2004"	"2004"	10	1097814	Unreliable
