"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"46 years"	"46"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	12	1778889	Unreliable
	"46 years"	"46"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	10	1820447	Unreliable
	"47 years"	"47"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	11	1753110	Unreliable
	"47 years"	"47"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	12	1817726	Unreliable
	"47 years"	"47"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	10	1834583	Unreliable
	"47 years"	"47"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	10	1824635	Unreliable
	"47 years"	"47"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	11	1831325	Unreliable
	"47 years"	"47"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	11	1796491	Unreliable
	"47 years"	"47"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	11	1752588	Unreliable
	"47 years"	"47"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	15	1598400	Unreliable
	"48 years"	"48"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	13	1608788	Unreliable
	"48 years"	"48"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	10	1651804	Unreliable
	"48 years"	"48"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	11	1696427	Unreliable
	"48 years"	"48"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	11	1765158	Unreliable
	"48 years"	"48"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	10	1806761	Unreliable
	"48 years"	"48"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	12	1822816	Unreliable
	"48 years"	"48"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	12	1881843	Unreliable
	"48 years"	"48"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	20	1842366	1.1
	"48 years"	"48"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	10	1823816	Unreliable
	"48 years"	"48"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	13	1798637	Unreliable
	"48 years"	"48"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	10	1637556	Unreliable
	"49 years"	"49"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	19	1647427	Unreliable
	"49 years"	"49"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	12	1692488	Unreliable
	"49 years"	"49"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	11	1763073	Unreliable
	"49 years"	"49"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	11	1742241	Unreliable
	"49 years"	"49"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	12	1807397	Unreliable
	"49 years"	"49"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	10	1824620	Unreliable
	"49 years"	"49"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	10	1814872	Unreliable
	"49 years"	"49"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	13	1885909	Unreliable
	"49 years"	"49"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	11	1845227	Unreliable
	"49 years"	"49"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	13	1809327	Unreliable
	"49 years"	"49"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	12	1741959	Unreliable
	"49 years"	"49"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	10	1632300	Unreliable
	"50 years"	"50"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	13	1566123	Unreliable
	"50 years"	"50"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	11	1558485	Unreliable
	"50 years"	"50"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	14	1597239	Unreliable
	"50 years"	"50"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	11	1635452	Unreliable
	"50 years"	"50"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	11	1678910	Unreliable
	"50 years"	"50"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	19	1747247	Unreliable
	"50 years"	"50"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	12	1724903	Unreliable
	"50 years"	"50"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	12	1871601	Unreliable
	"50 years"	"50"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	18	1838325	Unreliable
	"50 years"	"50"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	14	1800865	Unreliable
	"50 years"	"50"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	10	1782435	Unreliable
	"50 years"	"50"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	11	1777038	Unreliable
	"50 years"	"50"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	22	1735355	1.3
	"51 years"	"51"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	14	1495841	Unreliable
	"51 years"	"51"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	14	1554928	Unreliable
	"51 years"	"51"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	15	1556180	Unreliable
	"51 years"	"51"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	18	1596692	Unreliable
	"51 years"	"51"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	16	1637750	Unreliable
	"51 years"	"51"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	19	1683822	Unreliable
	"51 years"	"51"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	16	1755364	Unreliable
	"51 years"	"51"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	15	1735359	Unreliable
	"51 years"	"51"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	18	1801368	Unreliable
	"51 years"	"51"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	12	1819339	Unreliable
	"51 years"	"51"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	13	1790818	Unreliable
	"51 years"	"51"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	17	1851202	Unreliable
	"51 years"	"51"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	20	1829105	1.1
	"51 years"	"51"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	25	1791541	1.4
	"51 years"	"51"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	10	1776351	Unreliable
	"51 years"	"51"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	20	1769073	1.1
	"51 years"	"51"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	24	1723721	1.4
	"52 years"	"52"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	12	1797957	Unreliable
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	13	1553554	Unreliable
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	13	1507130	Unreliable
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	21	1546552	1.4
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	16	1546134	Unreliable
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	18	1585298	Unreliable
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	24	1624622	1.5
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	11	1669329	Unreliable
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	23	1738846	1.3
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	15	1717479	Unreliable
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	15	1781124	Unreliable
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	27	1809527	1.5
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	18	1794244	Unreliable
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	21	1841503	1.1
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	24	1818915	1.3
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	25	1783846	1.4
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	19	1767030	Unreliable
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	15	1756529	Unreliable
	"53 years"	"53"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	11	1762449	Unreliable
	"53 years"	"53"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	11	1810293	Unreliable
	"53 years"	"53"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	25	1537357	1.6
	"53 years"	"53"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	20	1510238	1.3
	"53 years"	"53"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	23	1502359	1.5
	"53 years"	"53"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	21	1542686	1.4
