"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"49 years"	"49"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	10	81542	Unreliable
	"50 years"	"50"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	14	84449	Unreliable
	"51 years"	"51"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	10	81844	Unreliable
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	11	76592	Unreliable
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	15	79645	Unreliable
	"53 years"	"53"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	19	74927	Unreliable
	"54 years"	"54"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	"California"	"06"	10	57066	Unreliable
	"54 years"	"54"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	"California"	"06"	10	59379	Unreliable
	"54 years"	"54"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	16	71928	Unreliable
	"55 years"	"55"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	10	72301	Unreliable
	"55 years"	"55"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	11	70705	Unreliable
	"55 years"	"55"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	17	60985	Unreliable
	"55 years"	"55"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	11	65003	Unreliable
	"55 years"	"55"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	16	69142	Unreliable
	"56 years"	"56"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	"California"	"06"	10	46658	Unreliable
	"56 years"	"56"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	"California"	"06"	12	55340	Unreliable
	"56 years"	"56"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	12	58148	Unreliable
	"56 years"	"56"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	"Texas"	"48"	11	41821	Unreliable
	"56 years"	"56"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	14	64551	Unreliable
	"56 years"	"56"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	14	70211	Unreliable
	"57 years"	"57"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	11	58684	Unreliable
	"57 years"	"57"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	"California"	"06"	11	42996	Unreliable
	"57 years"	"57"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	16	58168	Unreliable
	"57 years"	"57"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	20	60560	33.0
	"57 years"	"57"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	17	63040	Unreliable
	"58 years"	"58"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	10	57120	Unreliable
	"58 years"	"58"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	15	62602	Unreliable
	"58 years"	"58"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	"California"	"06"	11	40845	Unreliable
	"58 years"	"58"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	"Texas"	"48"	10	30757	Unreliable
	"58 years"	"58"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	13	55309	Unreliable
	"58 years"	"58"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	11	57745	Unreliable
	"58 years"	"58"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	15	59178	Unreliable
	"59 years"	"59"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	"California"	"06"	13	39810	Unreliable
	"59 years"	"59"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	"Texas"	"48"	10	30158	Unreliable
	"59 years"	"59"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	"California"	"06"	10	45026	Unreliable
	"59 years"	"59"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	11	48325	Unreliable
	"59 years"	"59"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	19	53890	Unreliable
	"59 years"	"59"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	25	54820	45.6
	"59 years"	"59"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	24	56293	42.6
	"60 years"	"60"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	14	57802	Unreliable
	"60 years"	"60"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	"California"	"06"	13	41353	Unreliable
	"60 years"	"60"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	10	44582	Unreliable
	"60 years"	"60"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	18	48292	Unreliable
	"60 years"	"60"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	"Texas"	"48"	11	34695	Unreliable
	"60 years"	"60"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	20	53413	37.4
	"60 years"	"60"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	23	53497	43.0
	"61 years"	"61"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	10	45115	Unreliable
	"61 years"	"61"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	16	52728	Unreliable
	"61 years"	"61"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	16	56271	Unreliable
	"61 years"	"61"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	"Texas"	"48"	11	40240	Unreliable
	"61 years"	"61"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	"California"	"06"	13	33308	Unreliable
	"61 years"	"61"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	"California"	"06"	10	39370	Unreliable
	"61 years"	"61"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	10	40889	Unreliable
	"61 years"	"61"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	20	44396	45.0
	"61 years"	"61"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	23	47792	48.1
	"61 years"	"61"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	28	52109	53.7
	"61 years"	"61"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	"Texas"	"48"	10	37192	Unreliable
	"62 years"	"62"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	"Texas"	"48"	12	29587	Unreliable
	"62 years"	"62"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	15	45547	Unreliable
	"62 years"	"62"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	18	48852	Unreliable
	"62 years"	"62"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	17	51798	Unreliable
	"62 years"	"62"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	"California"	"06"	12	31701	Unreliable
	"62 years"	"62"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	"California"	"06"	10	39074	Unreliable
	"62 years"	"62"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	"California"	"06"	13	40827	Unreliable
	"62 years"	"62"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	"California"	"06"	16	43981	Unreliable
	"62 years"	"62"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	"Texas"	"48"	10	32593	Unreliable
	"62 years"	"62"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	"California"	"06"	24	46694	51.4
	"62 years"	"62"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	"Texas"	"48"	11	33870	Unreliable
