Year,Gender,Gender.Code,Race,Hispanic.Origin,label_cause,Nation,min_age,max_age,Deaths,YLD,attrDeaths,attrYLD
2010,Female,F,American Indian or Alaska Native,All Origins,cvd_stroke,us,83,83,11,0,0.676249872431507,0
2010,Female,F,American Indian or Alaska Native,All Origins,cvd_stroke,us,85,85,12,0,0.72571414089809,0
2010,Female,F,American Indian or Alaska Native,All Origins,cvd_stroke,us,86,86,11,0,0.533063266822914,0
2010,Female,F,American Indian or Alaska Native,All Origins,cvd_stroke,us,91,91,11,0,0.387190226609322,0
2010,Female,F,American Indian or Alaska Native,All Origins,neo_lung,us,56,56,12,19,1.11090056288943,1.75892589124159
2010,Female,F,American Indian or Alaska Native,All Origins,neo_lung,us,66,66,10,9,0.912384366669509,0.821145930002558
2010,Female,F,American Indian or Alaska Native,All Origins,neo_lung,us,67,67,14,8,1.28221476662377,0.732694152356439
2010,Female,F,American Indian or Alaska Native,All Origins,neo_lung,us,68,68,16,7,1.45429030743272,0.636252009501816
2010,Female,F,American Indian or Alaska Native,All Origins,neo_lung,us,69,69,11,6,0.998987581695346,0.544902317288371
2010,Female,F,American Indian or Alaska Native,All Origins,neo_lung,us,70,70,10,5,0.911661144421164,0.455830572210582
2010,Female,F,American Indian or Alaska Native,All Origins,neo_lung,us,71,71,14,4,1.2673619583858,0.362103416681658
2010,Female,F,American Indian or Alaska Native,All Origins,neo_lung,us,72,72,12,3,1.08801288112275,0.272003220280689
2010,Female,F,American Indian or Alaska Native,All Origins,neo_lung,us,73,73,16,2,1.43264660073303,0.179080825091628
2010,Female,F,American Indian or Alaska Native,All Origins,neo_lung,us,74,74,12,1,1.08984164923013,0.0908201374358441
2010,Female,F,American Indian or Alaska Native,All Origins,neo_lung,us,75,75,10,0,0.908998894664619,0
2010,Female,F,American Indian or Alaska Native,All Origins,neo_lung,us,80,80,10,0,0.902816534805298,0
2010,Female,F,American Indian or Alaska Native,All Origins,resp_copd,us,67,67,13,8,1.02178737035304,0.628792227909566
2010,Female,F,American Indian or Alaska Native,All Origins,resp_copd,us,71,71,12,4,0.931582689841368,0.310527563280456
2010,Female,F,American Indian or Alaska Native,All Origins,resp_copd,us,72,72,10,3,0.777732104784005,0.233319631435201
