"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"43 years"	"43"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	10	353598	Unreliable
	"44 years"	"44"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	10	351101	Unreliable
	"45 years"	"45"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	10	304545	Unreliable
	"45 years"	"45"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	10	329373	Unreliable
	"46 years"	"46"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	15	320524	Unreliable
	"47 years"	"47"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	10	307153	Unreliable
	"47 years"	"47"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	13	320379	Unreliable
	"48 years"	"48"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	10	306256	Unreliable
	"48 years"	"48"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	10	262964	Unreliable
	"48 years"	"48"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	12	277034	Unreliable
	"48 years"	"48"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	10	304422	Unreliable
	"48 years"	"48"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	11	307023	Unreliable
	"48 years"	"48"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	13	316576	Unreliable
	"49 years"	"49"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	11	295040	Unreliable
	"49 years"	"49"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	10	259895	Unreliable
	"49 years"	"49"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	12	266300	Unreliable
	"49 years"	"49"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	11	275591	Unreliable
	"49 years"	"49"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	16	289201	Unreliable
	"49 years"	"49"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	14	303811	Unreliable
	"49 years"	"49"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	15	303373	Unreliable
	"50 years"	"50"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	11	211126	Unreliable
	"50 years"	"50"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	11	270661	Unreliable
	"50 years"	"50"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	11	295935	Unreliable
	"50 years"	"50"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	19	290932	Unreliable
	"50 years"	"50"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	12	217787	Unreliable
	"50 years"	"50"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	10	228948	Unreliable
	"50 years"	"50"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	12	264929	Unreliable
	"50 years"	"50"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	11	274526	Unreliable
	"50 years"	"50"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	14	290526	Unreliable
	"50 years"	"50"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	14	305567	Unreliable
	"50 years"	"50"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	19	299995	Unreliable
	"51 years"	"51"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	18	293478	Unreliable
	"51 years"	"51"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	11	211722	Unreliable
	"51 years"	"51"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	11	221291	Unreliable
	"51 years"	"51"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	11	225197	Unreliable
	"51 years"	"51"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	14	255347	Unreliable
	"51 years"	"51"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	14	263652	Unreliable
	"51 years"	"51"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	13	275674	Unreliable
	"51 years"	"51"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	20	289908	6.9
	"51 years"	"51"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	22	301431	7.3
	"52 years"	"52"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	15	274335	Unreliable
	"52 years"	"52"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	15	283890	Unreliable
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	10	147860	Unreliable
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	13	194457	Unreliable
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	12	196852	Unreliable
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	14	208050	Unreliable
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	12	231249	Unreliable
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	13	253944	Unreliable
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	20	251466	8.0
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	22	264553	8.3
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	22	274827	8.0
	"52 years"	"52"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	20	285937	7.0
	"53 years"	"53"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	11	221144	Unreliable
	"53 years"	"53"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	16	263733	Unreliable
	"53 years"	"53"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	10	148399	Unreliable
	"53 years"	"53"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	11	164632	Unreliable
	"53 years"	"53"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	10	176663	Unreliable
	"53 years"	"53"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	12	195980	Unreliable
	"53 years"	"53"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	10	198435	Unreliable
	"53 years"	"53"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	12	205488	Unreliable
	"53 years"	"53"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	12	216949	Unreliable
	"53 years"	"53"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	10	252515	Unreliable
	"53 years"	"53"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	18	252130	Unreliable
	"53 years"	"53"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	14	263516	Unreliable
	"53 years"	"53"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	30	270957	11.1
	"54 years"	"54"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	10	184982	Unreliable
	"54 years"	"54"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	15	201136	Unreliable
	"54 years"	"54"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	10	230961	Unreliable
	"54 years"	"54"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	14	254674	Unreliable
	"54 years"	"54"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	17	261177	Unreliable
