Year,Gender.Code,Race,min_age,max_age,Hispanic.Origin,rural_urban_class,STATEFP,label_cause,attr,Deaths,Education,source
1999,A,American Indian or Alaska Native,100,100,All Origins,6,53,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,100,100,All Origins,666,2,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,100,100,All Origins,666,22,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,100,100,All Origins,666,35,all-cause,overall,3,666,nvss
1999,A,American Indian or Alaska Native,100,100,All Origins,666,37,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,100,100,All Origins,666,4,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,100,100,All Origins,666,40,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,100,100,All Origins,666,46,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,100,100,All Origins,666,49,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,100,100,All Origins,666,53,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,100,100,All Origins,666,55,all-cause,overall,2,666,nvss
1999,A,American Indian or Alaska Native,100,100,All Origins,666,6,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,101,101,All Origins,3,53,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,101,101,All Origins,6,55,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,101,101,All Origins,6,6,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,101,101,All Origins,666,31,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,101,101,All Origins,666,4,all-cause,overall,4,666,nvss
1999,A,American Indian or Alaska Native,101,101,All Origins,666,40,all-cause,overall,4,666,nvss
1999,A,American Indian or Alaska Native,101,101,All Origins,666,53,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,101,101,All Origins,666,55,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,101,101,All Origins,666,6,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,102,102,All Origins,3,42,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,102,102,All Origins,5,6,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,102,102,All Origins,666,12,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,102,102,All Origins,666,23,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,102,102,All Origins,666,4,all-cause,overall,2,666,nvss
1999,A,American Indian or Alaska Native,102,102,All Origins,666,42,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,102,102,All Origins,666,6,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,102,102,All Origins,666,8,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,103,103,All Origins,6,6,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,103,103,All Origins,666,12,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,103,103,All Origins,666,26,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,103,103,All Origins,666,31,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,103,103,All Origins,666,40,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,103,103,All Origins,666,6,all-cause,overall,2,666,nvss
1999,A,American Indian or Alaska Native,104,104,All Origins,666,35,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,104,104,All Origins,666,4,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,104,104,All Origins,666,40,all-cause,overall,2,666,nvss
1999,A,American Indian or Alaska Native,104,104,All Origins,666,6,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,105,105,All Origins,666,17,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,105,105,All Origins,666,49,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,106,106,All Origins,666,4,all-cause,overall,3,666,nvss
1999,A,American Indian or Alaska Native,106,106,All Origins,666,40,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,107,107,All Origins,6,25,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,107,107,All Origins,666,25,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,107,107,All Origins,666,4,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,108,108,All Origins,666,4,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,110,110,All Origins,666,35,all-cause,overall,2,666,nvss
1999,A,American Indian or Alaska Native,111,111,All Origins,666,35,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,114,114,All Origins,666,4,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,115,115,All Origins,666,4,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,115,115,All Origins,666,40,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,25,25,All Origins,2,27,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,25,25,All Origins,3,53,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,25,25,All Origins,3,6,all-cause,overall,2,666,nvss
1999,A,American Indian or Alaska Native,25,25,All Origins,5,40,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,25,25,All Origins,6,1,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,25,25,All Origins,6,55,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,25,25,All Origins,666,1,all-cause,overall,2,666,nvss
1999,A,American Indian or Alaska Native,25,25,All Origins,666,13,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,25,25,All Origins,666,16,all-cause,overall,2,666,nvss
1999,A,American Indian or Alaska Native,25,25,All Origins,666,17,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,25,25,All Origins,666,19,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,25,25,All Origins,666,2,all-cause,overall,2,666,nvss
1999,A,American Indian or Alaska Native,25,25,All Origins,666,20,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,25,25,All Origins,666,26,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,25,25,All Origins,666,27,all-cause,overall,2,666,nvss
1999,A,American Indian or Alaska Native,25,25,All Origins,666,30,all-cause,overall,2,666,nvss
1999,A,American Indian or Alaska Native,25,25,All Origins,666,35,all-cause,overall,5,666,nvss
1999,A,American Indian or Alaska Native,25,25,All Origins,666,36,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,25,25,All Origins,666,37,all-cause,overall,3,666,nvss
1999,A,American Indian or Alaska Native,25,25,All Origins,666,38,all-cause,overall,2,666,nvss
1999,A,American Indian or Alaska Native,25,25,All Origins,666,4,all-cause,overall,10,666,nvss
1999,A,American Indian or Alaska Native,25,25,All Origins,666,40,all-cause,overall,2,666,nvss
1999,A,American Indian or Alaska Native,25,25,All Origins,666,41,all-cause,overall,2,666,nvss
1999,A,American Indian or Alaska Native,25,25,All Origins,666,53,all-cause,overall,2,666,nvss
1999,A,American Indian or Alaska Native,25,25,All Origins,666,55,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,25,25,All Origins,666,6,all-cause,overall,3,666,nvss
1999,A,American Indian or Alaska Native,25,25,All Origins,666,8,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,26,26,All Origins,2,20,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,26,26,All Origins,3,53,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,26,26,All Origins,5,35,all-cause,overall,2,666,nvss
1999,A,American Indian or Alaska Native,26,26,All Origins,5,40,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,26,26,All Origins,6,26,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,26,26,All Origins,6,53,all-cause,overall,2,666,nvss
1999,A,American Indian or Alaska Native,26,26,All Origins,6,6,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,26,26,All Origins,666,18,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,26,26,All Origins,666,2,all-cause,overall,12,666,nvss
1999,A,American Indian or Alaska Native,26,26,All Origins,666,20,all-cause,overall,2,666,nvss
1999,A,American Indian or Alaska Native,26,26,All Origins,666,26,all-cause,overall,2,666,nvss
1999,A,American Indian or Alaska Native,26,26,All Origins,666,27,all-cause,overall,4,666,nvss
1999,A,American Indian or Alaska Native,26,26,All Origins,666,30,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,26,26,All Origins,666,32,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,26,26,All Origins,666,35,all-cause,overall,5,666,nvss
1999,A,American Indian or Alaska Native,26,26,All Origins,666,37,all-cause,overall,2,666,nvss
1999,A,American Indian or Alaska Native,26,26,All Origins,666,38,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,26,26,All Origins,666,4,all-cause,overall,10,666,nvss
1999,A,American Indian or Alaska Native,26,26,All Origins,666,40,all-cause,overall,5,666,nvss
1999,A,American Indian or Alaska Native,26,26,All Origins,666,41,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,26,26,All Origins,666,46,all-cause,overall,2,666,nvss
1999,A,American Indian or Alaska Native,26,26,All Origins,666,49,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,26,26,All Origins,666,53,all-cause,overall,4,666,nvss
1999,A,American Indian or Alaska Native,26,26,All Origins,666,55,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,26,26,All Origins,666,6,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,27,27,All Origins,2,27,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,27,27,All Origins,2,53,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,27,27,All Origins,3,37,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,27,27,All Origins,3,53,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,27,27,All Origins,3,6,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,27,27,All Origins,5,24,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,27,27,All Origins,5,35,all-cause,overall,2,666,nvss
1999,A,American Indian or Alaska Native,27,27,All Origins,6,55,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,27,27,All Origins,6,6,all-cause,overall,2,666,nvss
1999,A,American Indian or Alaska Native,27,27,All Origins,6,8,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,27,27,All Origins,666,13,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,27,27,All Origins,666,17,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,27,27,All Origins,666,2,all-cause,overall,8,666,nvss
1999,A,American Indian or Alaska Native,27,27,All Origins,666,20,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,27,27,All Origins,666,23,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,27,27,All Origins,666,24,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,27,27,All Origins,666,26,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,27,27,All Origins,666,27,all-cause,overall,2,666,nvss
1999,A,American Indian or Alaska Native,27,27,All Origins,666,30,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,27,27,All Origins,666,32,all-cause,overall,2,666,nvss
1999,A,American Indian or Alaska Native,27,27,All Origins,666,35,all-cause,overall,9,666,nvss
1999,A,American Indian or Alaska Native,27,27,All Origins,666,36,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,27,27,All Origins,666,37,all-cause,overall,5,666,nvss
1999,A,American Indian or Alaska Native,27,27,All Origins,666,38,all-cause,overall,2,666,nvss
1999,A,American Indian or Alaska Native,27,27,All Origins,666,4,all-cause,overall,7,666,nvss
1999,A,American Indian or Alaska Native,27,27,All Origins,666,40,all-cause,overall,5,666,nvss
1999,A,American Indian or Alaska Native,27,27,All Origins,666,41,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,27,27,All Origins,666,46,all-cause,overall,6,666,nvss
1999,A,American Indian or Alaska Native,27,27,All Origins,666,49,all-cause,overall,3,666,nvss
1999,A,American Indian or Alaska Native,27,27,All Origins,666,53,all-cause,overall,5,666,nvss
1999,A,American Indian or Alaska Native,27,27,All Origins,666,55,all-cause,overall,3,666,nvss
1999,A,American Indian or Alaska Native,27,27,All Origins,666,56,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,27,27,All Origins,666,6,all-cause,overall,6,666,nvss
1999,A,American Indian or Alaska Native,27,27,All Origins,666,8,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,28,28,All Origins,4,15,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,28,28,All Origins,4,55,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,28,28,All Origins,5,35,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,28,28,All Origins,5,6,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,28,28,All Origins,666,15,all-cause,overall,2,666,nvss
1999,A,American Indian or Alaska Native,28,28,All Origins,666,17,all-cause,overall,2,666,nvss
1999,A,American Indian or Alaska Native,28,28,All Origins,666,2,all-cause,overall,4,666,nvss
1999,A,American Indian or Alaska Native,28,28,All Origins,666,27,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,28,28,All Origins,666,30,all-cause,overall,2,666,nvss
1999,A,American Indian or Alaska Native,28,28,All Origins,666,35,all-cause,overall,5,666,nvss
1999,A,American Indian or Alaska Native,28,28,All Origins,666,36,all-cause,overall,2,666,nvss
1999,A,American Indian or Alaska Native,28,28,All Origins,666,37,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,28,28,All Origins,666,38,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,28,28,All Origins,666,4,all-cause,overall,10,666,nvss
1999,A,American Indian or Alaska Native,28,28,All Origins,666,40,all-cause,overall,6,666,nvss
1999,A,American Indian or Alaska Native,28,28,All Origins,666,41,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,28,28,All Origins,666,55,all-cause,overall,4,666,nvss
1999,A,American Indian or Alaska Native,28,28,All Origins,666,6,all-cause,overall,3,666,nvss
1999,A,American Indian or Alaska Native,28,28,All Origins,666,8,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,28,28,All Origins,666,9,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,29,29,All Origins,2,53,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,29,29,All Origins,3,6,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,29,29,All Origins,4,53,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,29,29,All Origins,5,26,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,29,29,All Origins,5,35,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,29,29,All Origins,5,40,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,29,29,All Origins,5,6,all-cause,overall,3,666,nvss
1999,A,American Indian or Alaska Native,29,29,All Origins,6,26,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,29,29,All Origins,6,6,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,29,29,All Origins,666,13,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,29,29,All Origins,666,16,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,29,29,All Origins,666,2,all-cause,overall,4,666,nvss
1999,A,American Indian or Alaska Native,29,29,All Origins,666,20,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,29,29,All Origins,666,26,all-cause,overall,3,666,nvss
1999,A,American Indian or Alaska Native,29,29,All Origins,666,27,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,29,29,All Origins,666,30,all-cause,overall,2,666,nvss
1999,A,American Indian or Alaska Native,29,29,All Origins,666,31,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,29,29,All Origins,666,35,all-cause,overall,3,666,nvss
1999,A,American Indian or Alaska Native,29,29,All Origins,666,37,all-cause,overall,3,666,nvss
1999,A,American Indian or Alaska Native,29,29,All Origins,666,4,all-cause,overall,13,666,nvss
1999,A,American Indian or Alaska Native,29,29,All Origins,666,40,all-cause,overall,7,666,nvss
1999,A,American Indian or Alaska Native,29,29,All Origins,666,41,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,29,29,All Origins,666,46,all-cause,overall,5,666,nvss
1999,A,American Indian or Alaska Native,29,29,All Origins,666,49,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,29,29,All Origins,666,53,all-cause,overall,2,666,nvss
1999,A,American Indian or Alaska Native,29,29,All Origins,666,56,all-cause,overall,2,666,nvss
1999,A,American Indian or Alaska Native,29,29,All Origins,666,6,all-cause,overall,7,666,nvss
1999,A,American Indian or Alaska Native,30,30,All Origins,4,8,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,30,30,All Origins,5,35,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,30,30,All Origins,5,6,all-cause,overall,2,666,nvss
1999,A,American Indian or Alaska Native,30,30,All Origins,6,53,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,30,30,All Origins,6,55,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,30,30,All Origins,666,12,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,30,30,All Origins,666,16,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,30,30,All Origins,666,18,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,30,30,All Origins,666,2,all-cause,overall,4,666,nvss
1999,A,American Indian or Alaska Native,30,30,All Origins,666,26,all-cause,overall,2,666,nvss
1999,A,American Indian or Alaska Native,30,30,All Origins,666,27,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,30,30,All Origins,666,29,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,30,30,All Origins,666,30,all-cause,overall,2,666,nvss
1999,A,American Indian or Alaska Native,30,30,All Origins,666,35,all-cause,overall,10,666,nvss
1999,A,American Indian or Alaska Native,30,30,All Origins,666,36,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,30,30,All Origins,666,37,all-cause,overall,2,666,nvss
1999,A,American Indian or Alaska Native,30,30,All Origins,666,38,all-cause,overall,3,666,nvss
1999,A,American Indian or Alaska Native,30,30,All Origins,666,4,all-cause,overall,10,666,nvss
1999,A,American Indian or Alaska Native,30,30,All Origins,666,40,all-cause,overall,5,666,nvss
1999,A,American Indian or Alaska Native,30,30,All Origins,666,41,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,30,30,All Origins,666,45,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,30,30,All Origins,666,46,all-cause,overall,3,666,nvss
1999,A,American Indian or Alaska Native,30,30,All Origins,666,47,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,30,30,All Origins,666,49,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,30,30,All Origins,666,51,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,30,30,All Origins,666,53,all-cause,overall,2,666,nvss
1999,A,American Indian or Alaska Native,30,30,All Origins,666,55,all-cause,overall,2,666,nvss
1999,A,American Indian or Alaska Native,30,30,All Origins,666,56,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,30,30,All Origins,666,6,all-cause,overall,4,666,nvss
1999,A,American Indian or Alaska Native,30,30,All Origins,666,8,all-cause,overall,3,666,nvss
1999,A,American Indian or Alaska Native,30,30,All Origins,666,9,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,31,31,All Origins,2,53,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,31,31,All Origins,3,53,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,31,31,All Origins,4,53,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,31,31,All Origins,5,35,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,31,31,All Origins,5,40,all-cause,overall,2,666,nvss
1999,A,American Indian or Alaska Native,31,31,All Origins,6,53,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,31,31,All Origins,6,6,all-cause,overall,4,666,nvss
1999,A,American Indian or Alaska Native,31,31,All Origins,666,19,all-cause,overall,1,666,nvss
1999,A,American Indian or Alaska Native,31,31,All Origins,666,2,all-cause,overall,4,666,nvss
1999,A,American Indian or Alaska Native,31,31,All Origins,666,26,all-cause,overall,2,666,nvss
1999,A,American Indian or Alaska Native,31,31,All Origins,666,27,all-cause,overall,4,666,nvss
1999,A,American Indian or Alaska Native,31,31,All Origins,666,28,all-cause,overall,2,666,nvss
1999,A,American Indian or Alaska Native,31,31,All Origins,666,30,all-cause,overall,4,666,nvss
