"Year","replacecolumns","from","to"
2000,"Hispanic.Origin","0","Not Hispanic or Latino"
2001,"Hispanic.Origin","0","Not Hispanic or Latino"
2002,"Hispanic.Origin","0","Not Hispanic or Latino"
2003,"Hispanic.Origin","0","Not Hispanic or Latino"
2000,"Hispanic.Origin","1","Hispanic or Latino"
2001,"Hispanic.Origin","1","Hispanic or Latino"
2002,"Hispanic.Origin","1","Hispanic or Latino"
2003,"Hispanic.Origin","1","Hispanic or Latino"
2000,"Hispanic.Origin","2","Hispanic or Latino"
2001,"Hispanic.Origin","2","Hispanic or Latino"
2002,"Hispanic.Origin","2","Hispanic or Latino"
2003,"Hispanic.Origin","2","Hispanic or Latino"
2000,"Hispanic.Origin","3","Hispanic or Latino"
2001,"Hispanic.Origin","3","Hispanic or Latino"
2002,"Hispanic.Origin","3","Hispanic or Latino"
2003,"Hispanic.Origin","3","Hispanic or Latino"
2000,"Hispanic.Origin","4","Hispanic or Latino"
2001,"Hispanic.Origin","4","Hispanic or Latino"
2002,"Hispanic.Origin","4","Hispanic or Latino"
2003,"Hispanic.Origin","4","Hispanic or Latino"
2000,"Hispanic.Origin","5","Hispanic or Latino"
2001,"Hispanic.Origin","5","Hispanic or Latino"
2002,"Hispanic.Origin","5","Hispanic or Latino"
2003,"Hispanic.Origin","5","Hispanic or Latino"
2000,"Hispanic.Origin","99","Unkown"
2001,"Hispanic.Origin","99","Unkown"
2002,"Hispanic.Origin","99","Unkown"
2003,"Hispanic.Origin","99","Unkown"
2000,"Gender.Code","1","M"
2001,"Gender.Code","1","M"
2002,"Gender.Code","1","M"
2003,"Gender.Code","1","M"
2000,"Gender.Code","M","M"
2001,"Gender.Code","M","M"
2002,"Gender.Code","M","M"
2003,"Gender.Code","M","M"
2000,"Gender.Code","2","F"
2001,"Gender.Code","2","F"
2002,"Gender.Code","2","F"
2003,"Gender.Code","2","F"
2000,"Gender.Code","F","M"
2001,"Gender.Code","F","M"
2002,"Gender.Code","F","M"
2003,"Gender.Code","F","M"
2000,"Race","1","White"
2001,"Race","1","White"
2002,"Race","1","White"
2003,"Race","1","White"
2000,"Race","2","Black or African American"
2001,"Race","2","Black or African American"
2002,"Race","2","Black or African American"
2003,"Race","2","Black or African American"
2000,"Race","3","American Indian or Alaska Native"
2001,"Race","3","American Indian or Alaska Native"
2002,"Race","3","American Indian or Alaska Native"
2003,"Race","3","American Indian or Alaska Native"
2000,"Race","4","Asian or Pacific Islander"
2001,"Race","4","Asian or Pacific Islander"
2002,"Race","4","Asian or Pacific Islander"
2003,"Race","4","Asian or Pacific Islander"
2000,"Race","5","Asian or Pacific Islander"
2001,"Race","5","Asian or Pacific Islander"
2002,"Race","5","Asian or Pacific Islander"
2003,"Race","5","Asian or Pacific Islander"
2000,"Race","6","Asian or Pacific Islander"
2001,"Race","6","Asian or Pacific Islander"
2002,"Race","6","Asian or Pacific Islander"
2003,"Race","6","Asian or Pacific Islander"
2000,"Race","7","Asian or Pacific Islander"
2001,"Race","7","Asian or Pacific Islander"
2002,"Race","7","Asian or Pacific Islander"
2003,"Race","7","Asian or Pacific Islander"
2000,"Race","18","Asian or Pacific Islander"
2001,"Race","18","Asian or Pacific Islander"
2002,"Race","18","Asian or Pacific Islander"
2003,"Race","18","Asian or Pacific Islander"
2000,"Race","28","Asian or Pacific Islander"
2001,"Race","28","Asian or Pacific Islander"
2002,"Race","28","Asian or Pacific Islander"
2003,"Race","28","Asian or Pacific Islander"
2000,"Race","38","Asian or Pacific Islander"
2001,"Race","38","Asian or Pacific Islander"
2002,"Race","38","Asian or Pacific Islander"
2003,"Race","38","Asian or Pacific Islander"
2000,"Race","48","Asian or Pacific Islander"
2001,"Race","48","Asian or Pacific Islander"
2002,"Race","48","Asian or Pacific Islander"
2003,"Race","48","Asian or Pacific Islander"
2000,"Race","58","Guama"
2001,"Race","58","Guama"
2002,"Race","58","Guama"
2003,"Race","58","Guama"
2000,"Race","68","Asian or Pacific Islander"
2001,"Race","68","Asian or Pacific Islander"
2002,"Race","68","Asian or Pacific Islander"
2003,"Race","68","Asian or Pacific Islander"
2000,"Race","78","Asian or Pacific Islander"
2001,"Race","78","Asian or Pacific Islander"
2002,"Race","78","Asian or Pacific Islander"
2003,"Race","78","Asian or Pacific Islander"
2000,"label_cause","I20","cvd_ihd"
2001,"label_cause","I20","cvd_ihd"
2002,"label_cause","I20","cvd_ihd"
2003,"label_cause","I20","cvd_ihd"
2000,"label_cause","I21","cvd_ihd"
2001,"label_cause","I21","cvd_ihd"
2002,"label_cause","I21","cvd_ihd"
2003,"label_cause","I21","cvd_ihd"
2000,"label_cause","I22","cvd_ihd"
2001,"label_cause","I22","cvd_ihd"
2002,"label_cause","I22","cvd_ihd"
2003,"label_cause","I22","cvd_ihd"
2000,"label_cause","I23","cvd_ihd"
2001,"label_cause","I23","cvd_ihd"
2002,"label_cause","I23","cvd_ihd"
2003,"label_cause","I23","cvd_ihd"
2000,"label_cause","I24","cvd_ihd"
2001,"label_cause","I24","cvd_ihd"
2002,"label_cause","I24","cvd_ihd"
2003,"label_cause","I24","cvd_ihd"
2000,"label_cause","I25","cvd_ihd"
2001,"label_cause","I25","cvd_ihd"
2002,"label_cause","I25","cvd_ihd"
2003,"label_cause","I25","cvd_ihd"
2000,"label_cause","G45","cvd_stroke"
2001,"label_cause","G45","cvd_stroke"
2002,"label_cause","G45","cvd_stroke"
2003,"label_cause","G45","cvd_stroke"
2000,"label_cause","G46","cvd_stroke"
2001,"label_cause","G46","cvd_stroke"
2002,"label_cause","G46","cvd_stroke"
2003,"label_cause","G46","cvd_stroke"
2000,"label_cause","I61","cvd_stroke"
2001,"label_cause","I61","cvd_stroke"
2002,"label_cause","I61","cvd_stroke"
2003,"label_cause","I61","cvd_stroke"
2000,"label_cause","I62","cvd_stroke"
2001,"label_cause","I62","cvd_stroke"
2002,"label_cause","I62","cvd_stroke"
2003,"label_cause","I62","cvd_stroke"
2000,"label_cause","I63","cvd_stroke"
2001,"label_cause","I63","cvd_stroke"
2002,"label_cause","I63","cvd_stroke"
2003,"label_cause","I63","cvd_stroke"
2000,"label_cause","I65","cvd_stroke"
2001,"label_cause","I65","cvd_stroke"
2002,"label_cause","I65","cvd_stroke"
2003,"label_cause","I65","cvd_stroke"
2000,"label_cause","I66","cvd_stroke"
2001,"label_cause","I66","cvd_stroke"
2002,"label_cause","I66","cvd_stroke"
2003,"label_cause","I66","cvd_stroke"
2000,"label_cause","I67","cvd_stroke"
2001,"label_cause","I67","cvd_stroke"
2002,"label_cause","I67","cvd_stroke"
2003,"label_cause","I67","cvd_stroke"
2000,"label_cause","I68","cvd_stroke"
2001,"label_cause","I68","cvd_stroke"
2002,"label_cause","I68","cvd_stroke"
2003,"label_cause","I68","cvd_stroke"
2000,"label_cause","I69","cvd_stroke"
2001,"label_cause","I69","cvd_stroke"
2002,"label_cause","I69","cvd_stroke"
2003,"label_cause","I69","cvd_stroke"
2000,"label_cause","C33","neo_lung"
2001,"label_cause","C33","neo_lung"
2002,"label_cause","C33","neo_lung"
2003,"label_cause","C33","neo_lung"
2000,"label_cause","C34","neo_lung"
2001,"label_cause","C34","neo_lung"
2002,"label_cause","C34","neo_lung"
2003,"label_cause","C34","neo_lung"
2000,"label_cause","D02","neo_lung"
2001,"label_cause","D02","neo_lung"
2002,"label_cause","D02","neo_lung"
2003,"label_cause","D02","neo_lung"
2000,"label_cause","D14","neo_lung"
2001,"label_cause","D14","neo_lung"
2002,"label_cause","D14","neo_lung"
2003,"label_cause","D14","neo_lung"
2000,"label_cause","D38","neo_lung"
2001,"label_cause","D38","neo_lung"
2002,"label_cause","D38","neo_lung"
2003,"label_cause","D38","neo_lung"
2000,"label_cause","J41","resp_copd"
2001,"label_cause","J41","resp_copd"
2002,"label_cause","J41","resp_copd"
2003,"label_cause","J41","resp_copd"
2000,"label_cause","J42","resp_copd"
2001,"label_cause","J42","resp_copd"
2002,"label_cause","J42","resp_copd"
2003,"label_cause","J42","resp_copd"
2000,"label_cause","J43","resp_copd"
2001,"label_cause","J43","resp_copd"
2002,"label_cause","J43","resp_copd"
2003,"label_cause","J43","resp_copd"
2000,"label_cause","J44","resp_copd"
2001,"label_cause","J44","resp_copd"
2002,"label_cause","J44","resp_copd"
2003,"label_cause","J44","resp_copd"
2000,"label_cause","A48","resp_copd"
2001,"label_cause","A48","resp_copd"
2002,"label_cause","A48","resp_copd"
2003,"label_cause","A48","resp_copd"
2000,"label_cause","A70","resp_copd"
2001,"label_cause","A70","resp_copd"
2002,"label_cause","A70","resp_copd"
2003,"label_cause","A70","resp_copd"
2000,"label_cause","B97","resp_copd"
2001,"label_cause","B97","resp_copd"
2002,"label_cause","B97","resp_copd"
2003,"label_cause","B97","resp_copd"
2000,"label_cause","J09","resp_copd"
2001,"label_cause","J09","resp_copd"
2002,"label_cause","J09","resp_copd"
2003,"label_cause","J09","resp_copd"
2000,"label_cause","J10","resp_copd"
2001,"label_cause","J10","resp_copd"
2002,"label_cause","J10","resp_copd"
2003,"label_cause","J10","resp_copd"
2000,"label_cause","J11","resp_copd"
2001,"label_cause","J11","resp_copd"
2002,"label_cause","J11","resp_copd"
2003,"label_cause","J11","resp_copd"
2000,"label_cause","J12","resp_copd"
2001,"label_cause","J12","resp_copd"
2002,"label_cause","J12","resp_copd"
2003,"label_cause","J12","resp_copd"
2000,"label_cause","J13","resp_copd"
2001,"label_cause","J13","resp_copd"
2002,"label_cause","J13","resp_copd"
2003,"label_cause","J13","resp_copd"
2000,"label_cause","J14","resp_copd"
2001,"label_cause","J14","resp_copd"
2002,"label_cause","J14","resp_copd"
