Year,Education,Gender.Code,Race,min_age,max_age,Hispanic.Origin,Nation,measure,value,label_cause,attr,source
2005,666,F,American Indian or Alaska Native,0,0,All Origins,us,age-adjusted Death,2.2247058173594,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,0,0,All Origins,us,Deaths,161,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,0,0,All Origins,us,YLL,14308.3751111,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,0,0,Hispanic or Latino,us,age-adjusted Death,0.290179019655574,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,0,0,Hispanic or Latino,us,Deaths,21,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,0,0,Hispanic or Latino,us,YLL,1866.3097971,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,0,0,Not Hispanic or Latino,us,age-adjusted Death,1.93452679770383,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,0,0,Not Hispanic or Latino,us,Deaths,140,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,0,0,Not Hispanic or Latino,us,YLL,12442.065314,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,1,1,All Origins,us,age-adjusted Death,0.774423207772921,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,1,1,All Origins,us,Deaths,14,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,1,1,All Origins,us,YLL,1232.00714742,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,1,1,Hispanic or Latino,us,age-adjusted Death,0.221263773649406,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,1,1,Hispanic or Latino,us,Deaths,4,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,1,1,Hispanic or Latino,us,YLL,352.00204212,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,1,1,Not Hispanic or Latino,us,age-adjusted Death,0.553159434123515,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,1,1,Not Hispanic or Latino,us,Deaths,10,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,1,1,Not Hispanic or Latino,us,YLL,880.0051053,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,10,14,All Origins,us,age-adjusted Death,3.9302130108299,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,10,14,All Origins,us,Deaths,27,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,10,14,All Origins,us,YLL,2134.25103852,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,10,14,Hispanic or Latino,us,age-adjusted Death,0.145563444845552,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,10,14,Hispanic or Latino,us,Deaths,1,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,10,14,Hispanic or Latino,us,YLL,79.04633476,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,10,14,Not Hispanic or Latino,us,age-adjusted Death,3.78464956598434,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,10,14,Not Hispanic or Latino,us,Deaths,26,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,10,14,Not Hispanic or Latino,us,YLL,2055.20470376,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,100,104,All Origins,us,age-adjusted Death,0.744410999727411,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,100,104,All Origins,us,Deaths,48,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,100,104,All Origins,us,YLL,284.273235744,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,100,104,Hispanic or Latino,us,age-adjusted Death,0.0155085624943211,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,100,104,Hispanic or Latino,us,Deaths,1,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,100,104,Hispanic or Latino,us,YLL,5.922359078,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,100,104,Not Hispanic or Latino,us,age-adjusted Death,0.72890243723309,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,100,104,Not Hispanic or Latino,us,Deaths,47,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,100,104,Not Hispanic or Latino,us,YLL,278.350876666,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,105,109,All Origins,us,age-adjusted Death,0.0620342499772843,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,105,109,All Origins,us,Deaths,4,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,105,109,All Origins,us,YLL,23.689436312,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,105,109,Hispanic or Latino,us,age-adjusted Death,0.0155085624943211,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,105,109,Hispanic or Latino,us,Deaths,1,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,105,109,Hispanic or Latino,us,YLL,5.922359078,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,105,109,Not Hispanic or Latino,us,age-adjusted Death,0.0465256874829632,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,105,109,Not Hispanic or Latino,us,Deaths,3,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,105,109,Not Hispanic or Latino,us,YLL,17.767077234,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,110,114,All Origins,us,age-adjusted Death,0.0155085624943211,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,110,114,All Origins,us,Deaths,1,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,110,114,All Origins,us,YLL,5.922359078,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,110,114,Not Hispanic or Latino,us,age-adjusted Death,0.0155085624943211,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,110,114,Not Hispanic or Latino,us,Deaths,1,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,110,114,Not Hispanic or Latino,us,YLL,5.922359078,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,15,19,All Origins,us,age-adjusted Death,14.1418500578309,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,15,19,All Origins,us,Deaths,102,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,15,19,All Origins,us,YLL,7554.7880184,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,15,19,Hispanic or Latino,us,age-adjusted Death,1.10916471041811,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,15,19,Hispanic or Latino,us,Deaths,8,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,15,19,Hispanic or Latino,us,YLL,592.5323936,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,15,19,Not Hispanic or Latino,us,age-adjusted Death,13.0326853474128,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,15,19,Not Hispanic or Latino,us,Deaths,94,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,15,19,Not Hispanic or Latino,us,YLL,6962.2556248,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,2,2,All Origins,us,age-adjusted Death,0.663791320948218,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,2,2,All Origins,us,Deaths,12,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,2,2,All Origins,us,YLL,1056.00612636,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,2,2,Hispanic or Latino,us,age-adjusted Death,0.0553159434123515,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,2,2,Hispanic or Latino,us,Deaths,1,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,2,2,Hispanic or Latino,us,YLL,88.00051053,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,2,2,Not Hispanic or Latino,us,age-adjusted Death,0.608475377535866,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,2,2,Not Hispanic or Latino,us,Deaths,11,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,2,2,Not Hispanic or Latino,us,YLL,968.00561583,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,20,24,All Origins,us,age-adjusted Death,13.171330936215,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,20,24,All Origins,us,Deaths,95,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,20,24,All Origins,us,YLL,6565.2189524,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,20,24,Hispanic or Latino,us,age-adjusted Death,0.41593676640679,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,20,24,Hispanic or Latino,us,Deaths,3,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,20,24,Hispanic or Latino,us,YLL,207.32270376,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,20,24,Not Hispanic or Latino,us,age-adjusted Death,12.7553941698082,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,20,24,Not Hispanic or Latino,us,Deaths,92,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,20,24,Not Hispanic or Latino,us,YLL,6357.89624864,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,25,29,All Origins,us,age-adjusted Death,13.5574930765401,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,25,29,All Origins,us,Deaths,100,all-cause,overall,nvss
2005,666,F,American Indian or Alaska Native,25,29,All Origins,us,YLL,6414.930031,all-cause,overall,nvss
