Year,Gender.Code,Race,min_age,max_age,Hispanic.Origin,nation,rural_urban_class,label_cause,attr,Deaths,Education,source
2009,A,White,25,25,Hispanic or Latino,us,666,all-cause,overall,603,666,nvss
2009,A,White,25,25,Hispanic or Latino,us,666,cvd_ihd,total,7,666,nvss
2009,A,White,25,25,Hispanic or Latino,us,666,cvd_stroke,total,5,666,nvss
2009,A,White,25,25,Hispanic or Latino,us,666,lri,total,14,666,nvss
2009,A,White,25,25,Hispanic or Latino,us,666,ncd_lri,total,166,666,nvss
2009,A,White,25,25,Hispanic or Latino,us,666,neo_lung,total,1,666,nvss
2009,A,White,25,25,Not Hispanic or Latino,us,666,all-cause,overall,2295,666,nvss
2009,A,White,25,25,Not Hispanic or Latino,us,666,cvd_ihd,total,14,666,nvss
2009,A,White,25,25,Not Hispanic or Latino,us,666,cvd_stroke,total,10,666,nvss
2009,A,White,25,25,Not Hispanic or Latino,us,666,lri,total,22,666,nvss
2009,A,White,25,25,Not Hispanic or Latino,us,666,ncd_lri,total,597,666,nvss
2009,A,White,25,25,Not Hispanic or Latino,us,666,neo_lung,total,4,666,nvss
2009,A,White,25,25,Not Hispanic or Latino,us,666,resp_copd,total,2,666,nvss
2009,A,White,26,26,Hispanic or Latino,us,666,all-cause,overall,615,666,nvss
2009,A,White,26,26,Hispanic or Latino,us,666,cvd_ihd,total,3,666,nvss
2009,A,White,26,26,Hispanic or Latino,us,666,cvd_stroke,total,2,666,nvss
2009,A,White,26,26,Hispanic or Latino,us,666,lri,total,16,666,nvss
2009,A,White,26,26,Hispanic or Latino,us,666,ncd_lri,total,187,666,nvss
2009,A,White,26,26,Hispanic or Latino,us,666,neo_lung,total,2,666,nvss
2009,A,White,26,26,Hispanic or Latino,us,666,resp_copd,total,2,666,nvss
2009,A,White,26,26,Not Hispanic or Latino,us,666,all-cause,overall,2427,666,nvss
2009,A,White,26,26,Not Hispanic or Latino,us,666,cvd_ihd,total,28,666,nvss
2009,A,White,26,26,Not Hispanic or Latino,us,666,cvd_stroke,total,8,666,nvss
2009,A,White,26,26,Not Hispanic or Latino,us,666,lri,total,23,666,nvss
2009,A,White,26,26,Not Hispanic or Latino,us,666,ncd_lri,total,618,666,nvss
2009,A,White,26,26,Not Hispanic or Latino,us,666,neo_lung,total,2,666,nvss
2009,A,White,26,26,Not Hispanic or Latino,us,666,resp_copd,total,5,666,nvss
2009,A,White,26,26,Not Hispanic or Latino,us,666,t2_dm,total,1,666,nvss
2009,A,White,27,27,Hispanic or Latino,us,666,all-cause,overall,632,666,nvss
2009,A,White,27,27,Hispanic or Latino,us,666,cvd_ihd,total,3,666,nvss
2009,A,White,27,27,Hispanic or Latino,us,666,cvd_stroke,total,2,666,nvss
2009,A,White,27,27,Hispanic or Latino,us,666,lri,total,17,666,nvss
2009,A,White,27,27,Hispanic or Latino,us,666,ncd_lri,total,201,666,nvss
2009,A,White,27,27,Hispanic or Latino,us,666,neo_lung,total,2,666,nvss
2009,A,White,27,27,Hispanic or Latino,us,666,resp_copd,total,1,666,nvss
2009,A,White,27,27,Not Hispanic or Latino,us,666,all-cause,overall,2364,666,nvss
2009,A,White,27,27,Not Hispanic or Latino,us,666,cvd_ihd,total,34,666,nvss
2009,A,White,27,27,Not Hispanic or Latino,us,666,cvd_stroke,total,8,666,nvss
2009,A,White,27,27,Not Hispanic or Latino,us,666,lri,total,18,666,nvss
2009,A,White,27,27,Not Hispanic or Latino,us,666,ncd_lri,total,640,666,nvss
2009,A,White,27,27,Not Hispanic or Latino,us,666,neo_lung,total,3,666,nvss
2009,A,White,27,27,Not Hispanic or Latino,us,666,resp_copd,total,1,666,nvss
2009,A,White,28,28,Hispanic or Latino,us,666,all-cause,overall,602,666,nvss
2009,A,White,28,28,Hispanic or Latino,us,666,cvd_ihd,total,7,666,nvss
2009,A,White,28,28,Hispanic or Latino,us,666,cvd_stroke,total,5,666,nvss
2009,A,White,28,28,Hispanic or Latino,us,666,lri,total,13,666,nvss
2009,A,White,28,28,Hispanic or Latino,us,666,ncd_lri,total,185,666,nvss
