Year,Race,Gender,Gender.Code,value,Single.Year.Ages,Single.Year.Ages.Code,label_cause,Hispanic.Origin,Nation,min_age,max_age,measure,attr
2011,American Indian or Alaska Native,Female,F,0,< 1 year,0,cvd_ihd,All Origins,us,0,0,Deaths,total
2011,Asian or Pacific Islander,Female,F,0,< 1 year,0,cvd_ihd,All Origins,us,0,0,Deaths,total
2011,Black or African American,Female,F,0,< 1 year,0,cvd_ihd,All Origins,us,0,0,Deaths,total
2011,White,Female,F,4,< 1 year,0,cvd_ihd,All Origins,us,0,0,Deaths,total
2011,American Indian or Alaska Native,Male,M,0,< 1 year,0,cvd_ihd,All Origins,us,0,0,Deaths,total
2011,Asian or Pacific Islander,Male,M,2,< 1 year,0,cvd_ihd,All Origins,us,0,0,Deaths,total
2011,Black or African American,Male,M,2,< 1 year,0,cvd_ihd,All Origins,us,0,0,Deaths,total
2011,White,Male,M,4,< 1 year,0,cvd_ihd,All Origins,us,0,0,Deaths,total
2011,American Indian or Alaska Native,Female,F,0,1 year,1,cvd_ihd,All Origins,us,1,1,Deaths,total
2011,Asian or Pacific Islander,Female,F,0,1 year,1,cvd_ihd,All Origins,us,1,1,Deaths,total
2011,Black or African American,Female,F,1,1 year,1,cvd_ihd,All Origins,us,1,1,Deaths,total
2011,White,Female,F,0,1 year,1,cvd_ihd,All Origins,us,1,1,Deaths,total
2011,American Indian or Alaska Native,Male,M,0,1 year,1,cvd_ihd,All Origins,us,1,1,Deaths,total
2011,Asian or Pacific Islander,Male,M,0,1 year,1,cvd_ihd,All Origins,us,1,1,Deaths,total
2011,Black or African American,Male,M,1,1 year,1,cvd_ihd,All Origins,us,1,1,Deaths,total
2011,White,Male,M,0,1 year,1,cvd_ihd,All Origins,us,1,1,Deaths,total
2011,American Indian or Alaska Native,Female,F,0,2 years,2,cvd_ihd,All Origins,us,2,2,Deaths,total
2011,Asian or Pacific Islander,Female,F,0,2 years,2,cvd_ihd,All Origins,us,2,2,Deaths,total
2011,Black or African American,Female,F,0,2 years,2,cvd_ihd,All Origins,us,2,2,Deaths,total
2011,White,Female,F,2,2 years,2,cvd_ihd,All Origins,us,2,2,Deaths,total
2011,American Indian or Alaska Native,Male,M,0,2 years,2,cvd_ihd,All Origins,us,2,2,Deaths,total
2011,Asian or Pacific Islander,Male,M,0,2 years,2,cvd_ihd,All Origins,us,2,2,Deaths,total
2011,Black or African American,Male,M,0,2 years,2,cvd_ihd,All Origins,us,2,2,Deaths,total
2011,White,Male,M,2,2 years,2,cvd_ihd,All Origins,us,2,2,Deaths,total
2011,American Indian or Alaska Native,Female,F,0,3 years,3,cvd_ihd,All Origins,us,3,3,Deaths,total
2011,Asian or Pacific Islander,Female,F,0,3 years,3,cvd_ihd,All Origins,us,3,3,Deaths,total
2011,Black or African American,Female,F,1,3 years,3,cvd_ihd,All Origins,us,3,3,Deaths,total
2011,White,Female,F,0,3 years,3,cvd_ihd,All Origins,us,3,3,Deaths,total
2011,American Indian or Alaska Native,Male,M,0,3 years,3,cvd_ihd,All Origins,us,3,3,Deaths,total
2011,Asian or Pacific Islander,Male,M,0,3 years,3,cvd_ihd,All Origins,us,3,3,Deaths,total
2011,Black or African American,Male,M,0,3 years,3,cvd_ihd,All Origins,us,3,3,Deaths,total
2011,White,Male,M,0,3 years,3,cvd_ihd,All Origins,us,3,3,Deaths,total
2011,American Indian or Alaska Native,Female,F,0,4 years,4,cvd_ihd,All Origins,us,4,4,Deaths,total
2011,Asian or Pacific Islander,Female,F,0,4 years,4,cvd_ihd,All Origins,us,4,4,Deaths,total
2011,Black or African American,Female,F,0,4 years,4,cvd_ihd,All Origins,us,4,4,Deaths,total
2011,White,Female,F,0,4 years,4,cvd_ihd,All Origins,us,4,4,Deaths,total
2011,American Indian or Alaska Native,Male,M,0,4 years,4,cvd_ihd,All Origins,us,4,4,Deaths,total
2011,Asian or Pacific Islander,Male,M,0,4 years,4,cvd_ihd,All Origins,us,4,4,Deaths,total
2011,Black or African American,Male,M,1,4 years,4,cvd_ihd,All Origins,us,4,4,Deaths,total
2011,White,Male,M,1,4 years,4,cvd_ihd,All Origins,us,4,4,Deaths,total
2011,American Indian or Alaska Native,Female,F,0,5 years,5,cvd_ihd,All Origins,us,5,5,Deaths,total
2011,Asian or Pacific Islander,Female,F,0,5 years,5,cvd_ihd,All Origins,us,5,5,Deaths,total
2011,Black or African American,Female,F,0,5 years,5,cvd_ihd,All Origins,us,5,5,Deaths,total
2011,White,Female,F,1,5 years,5,cvd_ihd,All Origins,us,5,5,Deaths,total
2011,American Indian or Alaska Native,Male,M,0,5 years,5,cvd_ihd,All Origins,us,5,5,Deaths,total
2011,Asian or Pacific Islander,Male,M,0,5 years,5,cvd_ihd,All Origins,us,5,5,Deaths,total
2011,Black or African American,Male,M,0,5 years,5,cvd_ihd,All Origins,us,5,5,Deaths,total
2011,White,Male,M,0,5 years,5,cvd_ihd,All Origins,us,5,5,Deaths,total
2011,American Indian or Alaska Native,Female,F,0,6 years,6,cvd_ihd,All Origins,us,6,6,Deaths,total
2011,Asian or Pacific Islander,Female,F,0,6 years,6,cvd_ihd,All Origins,us,6,6,Deaths,total
2011,Black or African American,Female,F,0,6 years,6,cvd_ihd,All Origins,us,6,6,Deaths,total
2011,White,Female,F,1,6 years,6,cvd_ihd,All Origins,us,6,6,Deaths,total
2011,American Indian or Alaska Native,Male,M,0,6 years,6,cvd_ihd,All Origins,us,6,6,Deaths,total
2011,Asian or Pacific Islander,Male,M,0,6 years,6,cvd_ihd,All Origins,us,6,6,Deaths,total
2011,Black or African American,Male,M,0,6 years,6,cvd_ihd,All Origins,us,6,6,Deaths,total
2011,White,Male,M,0,6 years,6,cvd_ihd,All Origins,us,6,6,Deaths,total
2011,American Indian or Alaska Native,Female,F,0,7 years,7,cvd_ihd,All Origins,us,7,7,Deaths,total
2011,Asian or Pacific Islander,Female,F,0,7 years,7,cvd_ihd,All Origins,us,7,7,Deaths,total
2011,Black or African American,Female,F,0,7 years,7,cvd_ihd,All Origins,us,7,7,Deaths,total
2011,White,Female,F,0,7 years,7,cvd_ihd,All Origins,us,7,7,Deaths,total
2011,American Indian or Alaska Native,Male,M,0,7 years,7,cvd_ihd,All Origins,us,7,7,Deaths,total
2011,Asian or Pacific Islander,Male,M,0,7 years,7,cvd_ihd,All Origins,us,7,7,Deaths,total
2011,Black or African American,Male,M,0,7 years,7,cvd_ihd,All Origins,us,7,7,Deaths,total
2011,White,Male,M,0,7 years,7,cvd_ihd,All Origins,us,7,7,Deaths,total
2011,American Indian or Alaska Native,Female,F,0,8 years,8,cvd_ihd,All Origins,us,8,8,Deaths,total
2011,Asian or Pacific Islander,Female,F,0,8 years,8,cvd_ihd,All Origins,us,8,8,Deaths,total
2011,Black or African American,Female,F,0,8 years,8,cvd_ihd,All Origins,us,8,8,Deaths,total
2011,White,Female,F,0,8 years,8,cvd_ihd,All Origins,us,8,8,Deaths,total
2011,American Indian or Alaska Native,Male,M,0,8 years,8,cvd_ihd,All Origins,us,8,8,Deaths,total
2011,Asian or Pacific Islander,Male,M,0,8 years,8,cvd_ihd,All Origins,us,8,8,Deaths,total
2011,Black or African American,Male,M,1,8 years,8,cvd_ihd,All Origins,us,8,8,Deaths,total
2011,White,Male,M,0,8 years,8,cvd_ihd,All Origins,us,8,8,Deaths,total
2011,American Indian or Alaska Native,Female,F,0,9 years,9,cvd_ihd,All Origins,us,9,9,Deaths,total
