Year,Race,Hispanic.Origin,Nation,measure,attr,mean,lower,upper
2008,American Indian or Alaska Native,All Origins,us,Deaths,attributable,184.351471526491,125.672973964207,271.338272137854
2008,American Indian or Alaska Native,All Origins,us,YLL,attributable,5111.4935324391,3475.31755008856,7541.95493464876
2008,American Indian or Alaska Native,Hispanic or Latino,us,Deaths,attributable,7.71949736395063,5.65642968979259,10.4338568454471
2008,American Indian or Alaska Native,Hispanic or Latino,us,YLL,attributable,216.487261419791,161.857226477401,290.429217538673
2008,American Indian or Alaska Native,Not Hispanic or Latino,us,Deaths,attributable,169.596181102807,112.690631977221,256.683724132856
2008,American Indian or Alaska Native,Not Hispanic or Latino,us,YLL,attributable,4653.75650891828,3073.0748893981,7034.63487236829
2008,Asian or Pacific Islander,All Origins,us,Deaths,attributable,968.405071129288,720.236523837568,1298.394236107
2008,Asian or Pacific Islander,All Origins,us,YLL,attributable,22737.2358971573,17025.3597048373,30671.7068692017
2008,Asian or Pacific Islander,Hispanic or Latino,us,Deaths,attributable,14.1796721507307,10.3745837897852,19.5108468236638
2008,Asian or Pacific Islander,Hispanic or Latino,us,YLL,attributable,364.770043788966,266.03971104304,498.696553066786
2008,Asian or Pacific Islander,Not Hispanic or Latino,us,Deaths,attributable,979.932381318653,728.943845924963,1332.61845914177
2008,Asian or Pacific Islander,Not Hispanic or Latino,us,YLL,attributable,22738.6525896036,17061.4655481317,30741.8642931536
2008,Black or African American,All Origins,us,Deaths,attributable,5680.80291376481,4247.29083390938,7591.93280111822
2008,Black or African American,All Origins,us,YLL,attributable,152989.756545886,114313.06621396,203878.689299708
2008,Black or African American,Hispanic or Latino,us,Deaths,attributable,32.6004896275858,23.8796923817377,43.7798371523684
2008,Black or African American,Hispanic or Latino,us,YLL,attributable,853.192759756644,636.743635331086,1136.05458617645
2008,Black or African American,Not Hispanic or Latino,us,Deaths,attributable,5765.80483181028,4315.40278321667,7740.25614267268
2008,Black or African American,Not Hispanic or Latino,us,YLL,attributable,154127.199162537,114695.859752641,205367.310479882
2008,White,All Origins,us,Deaths,attributable,36423.1592676381,25548.4108379596,51105.5167799142
2008,White,All Origins,us,YLL,attributable,778909.755878053,549628.586837441,1101888.85045366
2008,White,Hispanic or Latino,us,Deaths,attributable,2121.59832614785,1534.0959314447,2880.95399223068
2008,White,Hispanic or Latino,us,YLL,attributable,53372.9054031428,39227.5697442449,72259.9715877427
2008,White,Not Hispanic or Latino,us,Deaths,attributable,34226.4757944692,23959.3514673781,48133.3351902339
2008,White,Not Hispanic or Latino,us,YLL,attributable,723760.399537338,509063.384850529,1026929.92793077
