Year,Race,Hispanic.Origin,Nation,measure,attr,mean,lower,upper
2000,American Indian or Alaska Native,All Origins,us,deaths,attributable,39.4648889231852,29.52618302883,53.719036154629
2000,American Indian or Alaska Native,All Origins,us,YLL,attributable,1208.10358131155,911.176749544574,1625.13513045423
2000,American Indian or Alaska Native,Hispanic or Latino,us,deaths,attributable,5.83897278557357,4.62725206735062,7.38147132735101
2000,American Indian or Alaska Native,Hispanic or Latino,us,YLL,attributable,148.434938575224,118.137565312858,189.643565417184
2000,American Indian or Alaska Native,Not Hispanic or Latino,us,deaths,attributable,0.137293089570014,0.0960893782680754,0.20271498493889
2000,American Indian or Alaska Native,Not Hispanic or Latino,us,YLL,attributable,12.0818619744022,8.45591434410092,17.8390221667036
2000,Asian or Pacific Islander,All Origins,us,deaths,attributable,71.0876750163436,57.7974467706835,88.9781891635779
2000,Asian or Pacific Islander,All Origins,us,YLL,attributable,2178.1013271512,1787.13953645273,2717.67928167105
2000,Asian or Pacific Islander,Hispanic or Latino,us,deaths,attributable,8.69352247292048,6.84986314130461,11.2368130395743
2000,Asian or Pacific Islander,Hispanic or Latino,us,YLL,attributable,227.590118878021,179.708202034159,291.819604640733
2000,Black or African American,All Origins,us,deaths,attributable,148.254779744778,121.969094447402,181.622584051804
2000,Black or African American,All Origins,us,YLL,attributable,5215.55809245727,4289.54319547727,6371.7577610082
2000,Black or African American,Hispanic or Latino,us,deaths,attributable,36.1706958533555,28.7254074795976,45.4650000446105
2000,Black or African American,Hispanic or Latino,us,YLL,attributable,976.931690271913,781.067913237195,1227.47621356502
2000,Black or African American,Not Hispanic or Latino,us,deaths,attributable,8043.50129556649,6411.3188098558,10202.2072986811
2000,Black or African American,Not Hispanic or Latino,us,YLL,attributable,210666.009184894,168644.134080348,266515.132242796
2000,White,All Origins,us,deaths,attributable,210.815531330138,166.927366355498,268.510366456058
2000,White,All Origins,us,YLL,attributable,7781.07271384623,6171.58046773211,9907.75657954568
2000,White,Hispanic or Latino,us,deaths,attributable,2128.5773828723,1626.79443301918,2749.85601840171
2000,White,Hispanic or Latino,us,YLL,attributable,52727.8365967324,40620.8665018605,68181.2117239339
2000,White,Not Hispanic or Latino,us,deaths,attributable,49542.1926636555,38166.9960913018,65023.1447615241
2000,White,Not Hispanic or Latino,us,YLL,attributable,1049208.09904771,803648.999402316,1387849.6521499
