Year,Race,Hispanic.Origin,min_age,max_age,Nation,measure,attr,mean,lower,upper,source
2001,American Indian or Alaska Native,All Origins,0,4,us,age-adjusted Death,attributable,0.00881135840653738,0.00460807621313016,0.0138530075556505,nvss
2001,American Indian or Alaska Native,All Origins,0,4,us,Deaths,attributable,0.159291478423378,0.0833046664101768,0.250434263633246,nvss
2001,American Indian or Alaska Native,All Origins,0,4,us,YLL,attributable,14.0177314243357,7.3308531736269,22.0383430539302,nvss
2001,American Indian or Alaska Native,All Origins,5,9,us,age-adjusted Death,attributable,0.0269291667931152,0.0187101160019717,0.039256644823052,nvss
2001,American Indian or Alaska Native,All Origins,5,9,us,Deaths,attributable,0.184999515652353,0.1285358148938,0.269687522610534,nvss
2001,American Indian or Alaska Native,All Origins,5,9,us,YLL,attributable,15.5455242038282,10.8008748803712,22.66186425099,nvss
2001,American Indian or Alaska Native,All Origins,10,14,us,age-adjusted Death,attributable,0.0110950922847019,0.00574574396441648,0.0176049053098403,nvss
2001,American Indian or Alaska Native,All Origins,10,14,us,Deaths,attributable,0.0762216935472653,0.0394724374001518,0.120943175867539,nvss
2001,American Indian or Alaska Native,All Origins,10,14,us,YLL,attributable,6.02504550411127,3.12015150052554,9.56011476656303,nvss
2001,American Indian or Alaska Native,All Origins,18,19,us,age-adjusted Death,attributable,0.00691020587979666,0.00447625075115673,0.0103282133357595,nvss
2001,American Indian or Alaska Native,All Origins,18,19,us,Deaths,attributable,0.0498407914704883,0.0322855619845272,0.0744936310270186,nvss
2001,American Indian or Alaska Native,All Origins,18,19,us,YLL,attributable,3.69153543361586,2.39128016517663,5.51748618754932,nvss
2001,American Indian or Alaska Native,All Origins,20,20,us,age-adjusted Death,attributable,0.0362197962478074,0.0221318864313778,0.0637505918385725,nvss
2001,American Indian or Alaska Native,All Origins,20,20,us,Deaths,attributable,0.261240163215464,0.159629214478236,0.45980973783085,nvss
2001,American Indian or Alaska Native,All Origins,20,20,us,YLL,attributable,18.0536723228446,11.0315867815709,31.7763326874228,nvss
2001,American Indian or Alaska Native,All Origins,22,24,us,age-adjusted Death,attributable,0.0185694278246496,0.0114224679583159,0.0324303015637071,nvss
2001,American Indian or Alaska Native,All Origins,22,24,us,Deaths,attributable,0.133934501523402,0.0823860900082922,0.233907921945929,nvss
2001,American Indian or Alaska Native,All Origins,22,24,us,YLL,attributable,9.25588766085984,5.69350231091129,16.1648076029043,nvss
2001,American Indian or Alaska Native,All Origins,25,29,us,age-adjusted Death,attributable,0.0303233086498597,0.0192967007069243,0.0450140513398784,nvss
2001,American Indian or Alaska Native,All Origins,25,29,us,Deaths,attributable,0.223664570423651,0.14233236630093,0.332023413810705,nvss
2001,American Indian or Alaska Native,All Origins,25,29,us,YLL,attributable,14.3479256968139,9.13052170967129,21.2990696824943,nvss
2001,American Indian or Alaska Native,All Origins,30,34,us,age-adjusted Death,attributable,0.162027530535155,0.102872873155244,0.240257864675306,nvss
2001,American Indian or Alaska Native,All Origins,30,34,us,Deaths,attributable,1.19511424140446,0.758789789339853,1.77214078826304,nvss
2001,American Indian or Alaska Native,All Origins,30,34,us,YLL,attributable,70.7463138003349,44.9175306304126,104.904137162232,nvss
2001,American Indian or Alaska Native,All Origins,35,39,us,age-adjusted Death,attributable,0.438383474652563,0.301567563001008,0.708892908640561,nvss
2001,American Indian or Alaska Native,All Origins,35,39,us,Deaths,attributable,2.69585865116992,1.8545031248562,4.35936843200185,nvss
2001,American Indian or Alaska Native,All Origins,35,39,us,YLL,attributable,146.257377829973,100.611641526996,236.507131255809,nvss
2001,American Indian or Alaska Native,All Origins,40,44,us,age-adjusted Death,attributable,1.30462431280729,0.864372749384367,1.94423045376584,nvss
2001,American Indian or Alaska Native,All Origins,40,44,us,Deaths,attributable,8.02284516540134,5.31549861935416,11.956131541698,nvss
2001,American Indian or Alaska Native,All Origins,40,44,us,YLL,attributable,395.665808882761,262.146534986351,589.64523931679,nvss
2001,American Indian or Alaska Native,All Origins,45,49,us,age-adjusted Death,attributable,1.63142496502527,1.10240422677671,2.36016486892069,nvss
2001,American Indian or Alaska Native,All Origins,45,49,us,Deaths,attributable,12.0994420923417,8.17596664890498,17.5041321372956,nvss
2001,American Indian or Alaska Native,All Origins,45,49,us,YLL,attributable,537.618389207171,363.285347080423,777.766714556095,nvss
