Year,Race,Hispanic.Origin,Nation,measure,attr,mean,lower,upper,source
2008,American Indian or Alaska Native,All Origins,us,age-adjusted Death,attributable,17.2838496265769,11.7797249920539,25.6022766915124,nvss
2008,American Indian or Alaska Native,All Origins,us,Deaths,attributable,219.103666000858,148.213528129584,323.596930885935,nvss
2008,American Indian or Alaska Native,All Origins,us,YLL,attributable,6098.29535408321,4142.76624597016,9006.27989771523,nvss
2008,American Indian or Alaska Native,Hispanic or Latino,us,age-adjusted Death,attributable,0.682225207078762,0.502518198156087,0.924391778657363,nvss
2008,American Indian or Alaska Native,Hispanic or Latino,us,Deaths,attributable,8.66928125938072,6.33838220857084,11.8171987529531,nvss
2008,American Indian or Alaska Native,Hispanic or Latino,us,YLL,attributable,236.584708810989,174.943778708919,321.658568157546,nvss
2008,American Indian or Alaska Native,Not Hispanic or Latino,us,age-adjusted Death,attributable,63.1722174408963,42.0306887982989,95.5825199458406,nvss
2008,American Indian or Alaska Native,Not Hispanic or Latino,us,Deaths,attributable,802.172521539584,530.767398376387,1212.81182472907,nvss
2008,American Indian or Alaska Native,Not Hispanic or Latino,us,YLL,attributable,21930.0818176678,14603.5516081464,33147.3635710321,nvss
2008,Asian or Pacific Islander,All Origins,us,age-adjusted Death,attributable,75.5512926662718,55.7951979633617,102.434165078026,nvss
2008,Asian or Pacific Islander,All Origins,us,Deaths,attributable,1098.91003770912,817.697099954052,1483.61843112128,nvss
2008,Asian or Pacific Islander,All Origins,us,YLL,attributable,27088.1564125139,20044.6838252619,36628.0368257281,nvss
2008,Asian or Pacific Islander,Hispanic or Latino,us,age-adjusted Death,attributable,1.25101404971684,0.912506979732202,1.71795631912033,nvss
2008,Asian or Pacific Islander,Hispanic or Latino,us,Deaths,attributable,16.4470507279795,12.0440032110404,22.7278540226647,nvss
2008,Asian or Pacific Islander,Hispanic or Latino,us,YLL,attributable,452.165063459308,331.332075522106,617.632729004127,nvss
2008,Asian or Pacific Islander,Not Hispanic or Latino,us,age-adjusted Death,attributable,305.012621257342,225.734571886679,414.106467692164,nvss
2008,Asian or Pacific Islander,Not Hispanic or Latino,us,Deaths,attributable,4612.28399396839,3410.03961054328,6283.07751697022,nvss
2008,Asian or Pacific Islander,Not Hispanic or Latino,us,YLL,attributable,108005.490604579,80033.4706982298,146555.82561463,nvss
2008,Black or African American,All Origins,us,age-adjusted Death,attributable,523.381023641571,391.802641307817,700.327374486068,nvss
2008,Black or African American,All Origins,us,Deaths,attributable,6808.32997612359,5109.16954093945,9111.32617217406,nvss
2008,Black or African American,All Origins,us,YLL,attributable,185615.176636334,138470.167005097,248201.968748928,nvss
2008,Black or African American,Hispanic or Latino,us,age-adjusted Death,attributable,2.77725521608177,2.07137685440133,3.71157212630063,nvss
2008,Black or African American,Hispanic or Latino,us,Deaths,attributable,37.7220991015719,27.8297282768939,50.8568405332756,nvss
2008,Black or African American,Hispanic or Latino,us,YLL,attributable,1030.46779537612,772.459330692704,1372.40020941717,nvss
2008,Black or African American,Not Hispanic or Latino,us,age-adjusted Death,attributable,2125.77824860399,1571.38222833168,2841.98886214474,nvss
2008,Black or African American,Not Hispanic or Latino,us,Deaths,attributable,27864.9583733565,20673.5140337106,37411.8612578631,nvss
2008,Black or African American,Not Hispanic or Latino,us,YLL,attributable,742769.632860885,549896.067215719,993273.229644146,nvss
2008,White,All Origins,us,age-adjusted Death,attributable,2640.7896140277,1860.96238497007,3749.49754310936,nvss
2008,White,All Origins,us,Deaths,attributable,41833.3323606653,29439.2596884959,59099.1159785061,nvss
2008,White,All Origins,us,YLL,attributable,945366.884940294,664536.330853509,1342245.22174983,nvss
2008,White,Hispanic or Latino,us,age-adjusted Death,attributable,173.286733113396,125.625369934261,236.759903702042,nvss
2008,White,Hispanic or Latino,us,Deaths,attributable,2426.48052916416,1776.39383810895,3294.45646468586,nvss
2008,White,Hispanic or Latino,us,YLL,attributable,62345.0040303176,45279.2882736922,84888.091784948,nvss
2008,White,Not Hispanic or Latino,us,age-adjusted Death,attributable,2460.34180226649,1727.34801625006,3502.61054340293,nvss
2008,White,Not Hispanic or Latino,us,Deaths,attributable,39308.5203980937,27639.8528085014,55672.3187895365,nvss
2008,White,Not Hispanic or Latino,us,YLL,attributable,880549.10971081,617665.690281794,1253659.85801759,nvss
