Year,Race,Hispanic.Origin,Nation,measure,attr,mean,lower,upper
2000,American Indian or Alaska Native,All Origins,us,Deaths,attributable,194.607291920378,142.035897776433,264.827860627122
2000,American Indian or Alaska Native,All Origins,us,YLL,attributable,5426.30735606533,4004.77035934708,7416.17252533314
2000,American Indian or Alaska Native,Hispanic or Latino,us,Deaths,attributable,6.14355058720428,4.82382690779824,7.79769992718872
2000,American Indian or Alaska Native,Hispanic or Latino,us,YLL,attributable,161.239039593792,126.420029228335,206.623874487683
2000,American Indian or Alaska Native,Not Hispanic or Latino,us,Deaths,attributable,0.210483097038169,0.138722344956094,0.315195824988128
2000,American Indian or Alaska Native,Not Hispanic or Latino,us,YLL,attributable,18.5863966404804,12.2447868874003,27.8352241960443
2000,Asian or Pacific Islander,All Origins,us,Deaths,attributable,976.106873215544,776.617126641755,1228.53512910776
2000,Asian or Pacific Islander,All Origins,us,YLL,attributable,23835.0357848869,19194.1679733489,30137.2074687059
2000,Asian or Pacific Islander,Hispanic or Latino,us,Deaths,attributable,11.8556949969348,9.38534883130773,15.2023188643281
2000,Asian or Pacific Islander,Hispanic or Latino,us,YLL,attributable,314.044796586919,247.707718108479,402.628101620127
2000,Black or African American,All Origins,us,Deaths,attributable,8208.42303952114,6593.08642778277,10229.1973818449
2000,Black or African American,All Origins,us,YLL,attributable,218838.266918889,177435.34193403,274136.924386625
2000,Black or African American,Hispanic or Latino,us,Deaths,attributable,37.7084510751165,29.9165649322128,47.0001782933863
2000,Black or African American,Hispanic or Latino,us,YLL,attributable,1006.06981000347,804.691331533298,1253.23674752691
2000,Black or African American,Not Hispanic or Latino,us,Deaths,attributable,8357.7590691781,6722.8757427919,10512.5953022324
2000,Black or African American,Not Hispanic or Latino,us,YLL,attributable,220740.842804573,178362.436122396,276964.010723978
2000,White,All Origins,us,Deaths,attributable,54176.6050747197,41787.8892361508,70259.7668551977
2000,White,All Origins,us,YLL,attributable,1149264.48353377,888365.968439661,1506337.24169499
2000,White,Hispanic or Latino,us,Deaths,attributable,2253.56071360148,1730.00174958567,2883.16175285775
2000,White,Hispanic or Latino,us,YLL,attributable,56890.0792516575,44599.5965902614,72759.2015844582
2000,White,Not Hispanic or Latino,us,Deaths,attributable,51754.0584802171,39893.016486348,67165.0157373567
2000,White,Not Hispanic or Latino,us,YLL,attributable,1088530.96637642,840769.649528169,1428537.82740356
