Year,Race,Hispanic.Origin,Nation,measure,attr,mean,lower,upper,source
2016,American Indian or Alaska Native,All Origins,us,age-adjusted Death,attributable,13.1162615865113,6.7150129233072,23.2164781419914,wonder
2016,American Indian or Alaska Native,All Origins,us,Deaths,attributable,132.186494973882,67.3790615696843,235.767587045656,wonder
2016,American Indian or Alaska Native,All Origins,us,YLL,attributable,3517.50478097359,1798.15669680319,6234.04578856052,wonder
2016,Asian or Pacific Islander,All Origins,us,age-adjusted Death,attributable,64.421811944301,38.5509391251182,100.10944629952,wonder
2016,Asian or Pacific Islander,All Origins,us,Deaths,attributable,746.560148042266,443.442744495526,1159.95785045963,wonder
2016,Asian or Pacific Islander,All Origins,us,YLL,attributable,16754.3697767029,10081.8201874601,25933.467803843,wonder
2016,Black or African American,All Origins,us,age-adjusted Death,attributable,321.199539050053,185.638351436045,506.575579060636,wonder
2016,Black or African American,All Origins,us,Deaths,attributable,3261.66699425306,1866.898105883,5136.61426824677,wonder
2016,Black or African American,All Origins,us,YLL,attributable,85550.3071016265,49302.4252254896,134241.960397565,wonder
2016,White,All Origins,us,age-adjusted Death,attributable,1574.94633922112,801.147913731001,2698.63256041196,wonder
2016,White,All Origins,us,Deaths,attributable,18812.7582084513,9575.91829271326,31978.8235550977,wonder
2016,White,All Origins,us,YLL,attributable,399970.883979623,202504.10008051,684687.880947375,wonder
2016,White,Hispanic or Latino,us,age-adjusted Death,attributable,152.188924674712,90.2455032733122,240.405972062567,wonder
2016,White,Hispanic or Latino,us,Deaths,attributable,1655.89295965719,975.513557902463,2634.18333143244,wonder
2016,White,Hispanic or Latino,us,YLL,attributable,40367.4914801032,23888.3228710653,63679.1721079119,wonder
2016,White,Not Hispanic or Latino,us,age-adjusted Death,attributable,1413.54318388552,705.232505424201,2448.26235009152,wonder
2016,White,Not Hispanic or Latino,us,Deaths,attributable,17062.5369332663,8542.30673760745,29212.9409418607,wonder
2016,White,Not Hispanic or Latino,us,YLL,attributable,357251.309351449,177175.89681703,618699.10338456,wonder
