"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"State"	"State Code"	"Race"	"Race Code"	Population
	"< 1 year"	"0"	"2014"	"2014"	"Alabama"	"01"	"Black or African American"	"2054-5"	18081
	"< 1 year"	"0"	"2014"	"2014"	"Alaska"	"02"	"Black or African American"	"2054-5"	621
	"< 1 year"	"0"	"2014"	"2014"	"Arizona"	"04"	"Black or African American"	"2054-5"	5201
	"< 1 year"	"0"	"2014"	"2014"	"Arkansas"	"05"	"Black or African American"	"2054-5"	7678
	"< 1 year"	"0"	"2014"	"2014"	"California"	"06"	"Black or African American"	"2054-5"	30707
	"< 1 year"	"0"	"2014"	"2014"	"Colorado"	"08"	"Black or African American"	"2054-5"	3845
	"< 1 year"	"0"	"2014"	"2014"	"Connecticut"	"09"	"Black or African American"	"2054-5"	4753
	"< 1 year"	"0"	"2014"	"2014"	"Delaware"	"10"	"Black or African American"	"2054-5"	2937
	"< 1 year"	"0"	"2014"	"2014"	"District of Columbia"	"11"	"Black or African American"	"2054-5"	4512
	"< 1 year"	"0"	"2014"	"2014"	"Florida"	"12"	"Black or African American"	"2054-5"	49195
	"< 1 year"	"0"	"2014"	"2014"	"Georgia"	"13"	"Black or African American"	"2054-5"	45182
	"< 1 year"	"0"	"2014"	"2014"	"Hawaii"	"15"	"Black or African American"	"2054-5"	691
	"< 1 year"	"0"	"2014"	"2014"	"Idaho"	"16"	"Black or African American"	"2054-5"	353
	"< 1 year"	"0"	"2014"	"2014"	"Illinois"	"17"	"Black or African American"	"2054-5"	27118
	"< 1 year"	"0"	"2014"	"2014"	"Indiana"	"18"	"Black or African American"	"2054-5"	11465
	"< 1 year"	"0"	"2014"	"2014"	"Iowa"	"19"	"Black or African American"	"2054-5"	2915
	"< 1 year"	"0"	"2014"	"2014"	"Kansas"	"20"	"Black or African American"	"2054-5"	3390
	"< 1 year"	"0"	"2014"	"2014"	"Kentucky"	"21"	"Black or African American"	"2054-5"	6000
	"< 1 year"	"0"	"2014"	"2014"	"Louisiana"	"22"	"Black or African American"	"2054-5"	24032
	"< 1 year"	"0"	"2014"	"2014"	"Maine"	"23"	"Black or African American"	"2054-5"	535
	"< 1 year"	"0"	"2014"	"2014"	"Maryland"	"24"	"Black or African American"	"2054-5"	23535
	"< 1 year"	"0"	"2014"	"2014"	"Massachusetts"	"25"	"Black or African American"	"2054-5"	7406
	"< 1 year"	"0"	"2014"	"2014"	"Michigan"	"26"	"Black or African American"	"2054-5"	22737
	"< 1 year"	"0"	"2014"	"2014"	"Minnesota"	"27"	"Black or African American"	"2054-5"	8206
	"< 1 year"	"0"	"2014"	"2014"	"Mississippi"	"28"	"Black or African American"	"2054-5"	16545
	"< 1 year"	"0"	"2014"	"2014"	"Missouri"	"29"	"Black or African American"	"2054-5"	12404
	"< 1 year"	"0"	"2014"	"2014"	"Montana"	"30"	"Black or African American"	"2054-5"	164
	"< 1 year"	"0"	"2014"	"2014"	"Nebraska"	"31"	"Black or African American"	"2054-5"	2102
	"< 1 year"	"0"	"2014"	"2014"	"Nevada"	"32"	"Black or African American"	"2054-5"	4394
	"< 1 year"	"0"	"2014"	"2014"	"New Hampshire"	"33"	"Black or African American"	"2054-5"	328
	"< 1 year"	"0"	"2014"	"2014"	"New Jersey"	"34"	"Black or African American"	"2054-5"	15493
	"< 1 year"	"0"	"2014"	"2014"	"New Mexico"	"35"	"Black or African American"	"2054-5"	651
	"< 1 year"	"0"	"2014"	"2014"	"New York"	"36"	"Black or African American"	"2054-5"	37874
	"< 1 year"	"0"	"2014"	"2014"	"North Carolina"	"37"	"Black or African American"	"2054-5"	29348
	"< 1 year"	"0"	"2014"	"2014"	"North Dakota"	"38"	"Black or African American"	"2054-5"	535
	"< 1 year"	"0"	"2014"	"2014"	"Ohio"	"39"	"Black or African American"	"2054-5"	25928
	"< 1 year"	"0"	"2014"	"2014"	"Oklahoma"	"40"	"Black or African American"	"2054-5"	5618
	"< 1 year"	"0"	"2014"	"2014"	"Oregon"	"41"	"Black or African American"	"2054-5"	1674
	"< 1 year"	"0"	"2014"	"2014"	"Pennsylvania"	"42"	"Black or African American"	"2054-5"	21919
	"< 1 year"	"0"	"2014"	"2014"	"Rhode Island"	"44"	"Black or African American"	"2054-5"	1001
	"< 1 year"	"0"	"2014"	"2014"	"South Carolina"	"45"	"Black or African American"	"2054-5"	18236
	"< 1 year"	"0"	"2014"	"2014"	"South Dakota"	"46"	"Black or African American"	"2054-5"	480
	"< 1 year"	"0"	"2014"	"2014"	"Tennessee"	"47"	"Black or African American"	"2054-5"	17438
	"< 1 year"	"0"	"2014"	"2014"	"Texas"	"48"	"Black or African American"	"2054-5"	47168
	"< 1 year"	"0"	"2014"	"2014"	"Utah"	"49"	"Black or African American"	"2054-5"	889
	"< 1 year"	"0"	"2014"	"2014"	"Vermont"	"50"	"Black or African American"	"2054-5"	210
	"< 1 year"	"0"	"2014"	"2014"	"Virginia"	"51"	"Black or African American"	"2054-5"	22248
	"< 1 year"	"0"	"2014"	"2014"	"Washington"	"53"	"Black or African American"	"2054-5"	5798
	"< 1 year"	"0"	"2014"	"2014"	"West Virginia"	"54"	"Black or African American"	"2054-5"	1113
	"< 1 year"	"0"	"2014"	"2014"	"Wisconsin"	"55"	"Black or African American"	"2054-5"	7766
	"< 1 year"	"0"	"2014"	"2014"	"Wyoming"	"56"	"Black or African American"	"2054-5"	172
	"1 year"	"1"	"2014"	"2014"	"Alabama"	"01"	"Black or African American"	"2054-5"	18035
	"1 year"	"1"	"2014"	"2014"	"Alaska"	"02"	"Black or African American"	"2054-5"	622
	"1 year"	"1"	"2014"	"2014"	"Arizona"	"04"	"Black or African American"	"2054-5"	5298
	"1 year"	"1"	"2014"	"2014"	"Arkansas"	"05"	"Black or African American"	"2054-5"	7564
