"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"Race"	"Race Code"	"State"	"State Code"	Population
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"Alabama"	"01"	352
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"Alaska"	"02"	385
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"Arizona"	"04"	1152
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"Arkansas"	"05"	208
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"California"	"06"	56917
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"Colorado"	"08"	1122
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"Connecticut"	"09"	958
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"Delaware"	"10"	154
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"District of Columbia"	"11"	141
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"Florida"	"12"	2505
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"Georgia"	"13"	1378
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"Hawaii"	"15"	11041
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"Idaho"	"16"	151
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"Illinois"	"17"	5185
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"Indiana"	"18"	560
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"Iowa"	"19"	451
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"Kansas"	"20"	566
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"Kentucky"	"21"	291
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"Louisiana"	"22"	754
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"Maine"	"23"	134
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"Maryland"	"24"	2435
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"Massachusetts"	"25"	3133
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"Michigan"	"26"	2094
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"Minnesota"	"27"	2347
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"Mississippi"	"28"	240
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"Missouri"	"29"	680
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"Montana"	"30"	78
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"Nebraska"	"31"	231
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"Nevada"	"32"	661
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"New Hampshire"	"33"	184
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"New Jersey"	"34"	5330
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"New Mexico"	"35"	274
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"New York"	"36"	12344
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"North Carolina"	"37"	1036
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"North Dakota"	"38"	59
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"Ohio"	"39"	1464
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"Oklahoma"	"40"	586
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"Oregon"	"41"	1299
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"Pennsylvania"	"42"	2470
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"Rhode Island"	"44"	461
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"South Carolina"	"45"	350
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"South Dakota"	"46"	63
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"Tennessee"	"47"	519
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"Texas"	"48"	6144
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"Utah"	"49"	794
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"Vermont"	"50"	52
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"Virginia"	"51"	2649
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"Washington"	"53"	4000
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"West Virginia"	"54"	70
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"Wisconsin"	"55"	1731
	"< 1 year"	"0"	"1990"	"1990"	"Asian or Pacific Islander"	"A-PI"	"Wyoming"	"56"	35
	"< 1 year"	"0"	"1991"	"1991"	"Asian or Pacific Islander"	"A-PI"	"Alabama"	"01"	418
	"< 1 year"	"0"	"1991"	"1991"	"Asian or Pacific Islander"	"A-PI"	"Alaska"	"02"	496
	"< 1 year"	"0"	"1991"	"1991"	"Asian or Pacific Islander"	"A-PI"	"Arizona"	"04"	1098
	"< 1 year"	"0"	"1991"	"1991"	"Asian or Pacific Islander"	"A-PI"	"Arkansas"	"05"	203
	"< 1 year"	"0"	"1991"	"1991"	"Asian or Pacific Islander"	"A-PI"	"California"	"06"	60699
	"< 1 year"	"0"	"1991"	"1991"	"Asian or Pacific Islander"	"A-PI"	"Colorado"	"08"	1179
	"< 1 year"	"0"	"1991"	"1991"	"Asian or Pacific Islander"	"A-PI"	"Connecticut"	"09"	1201
	"< 1 year"	"0"	"1991"	"1991"	"Asian or Pacific Islander"	"A-PI"	"Delaware"	"10"	200
	"< 1 year"	"0"	"1991"	"1991"	"Asian or Pacific Islander"	"A-PI"	"District of Columbia"	"11"	802
	"< 1 year"	"0"	"1991"	"1991"	"Asian or Pacific Islander"	"A-PI"	"Florida"	"12"	2877
	"< 1 year"	"0"	"1991"	"1991"	"Asian or Pacific Islander"	"A-PI"	"Georgia"	"13"	1658
	"< 1 year"	"0"	"1991"	"1991"	"Asian or Pacific Islander"	"A-PI"	"Hawaii"	"15"	12775
	"< 1 year"	"0"	"1991"	"1991"	"Asian or Pacific Islander"	"A-PI"	"Idaho"	"16"	169
	"< 1 year"	"0"	"1991"	"1991"	"Asian or Pacific Islander"	"A-PI"	"Illinois"	"17"	5250
	"< 1 year"	"0"	"1991"	"1991"	"Asian or Pacific Islander"	"A-PI"	"Indiana"	"18"	722
	"< 1 year"	"0"	"1991"	"1991"	"Asian or Pacific Islander"	"A-PI"	"Iowa"	"19"	506
	"< 1 year"	"0"	"1991"	"1991"	"Asian or Pacific Islander"	"A-PI"	"Kansas"	"20"	781
	"< 1 year"	"0"	"1991"	"1991"	"Asian or Pacific Islander"	"A-PI"	"Kentucky"	"21"	274
	"< 1 year"	"0"	"1991"	"1991"	"Asian or Pacific Islander"	"A-PI"	"Louisiana"	"22"	929
	"< 1 year"	"0"	"1991"	"1991"	"Asian or Pacific Islander"	"A-PI"	"Maine"	"23"	137
	"< 1 year"	"0"	"1991"	"1991"	"Asian or Pacific Islander"	"A-PI"	"Maryland"	"24"	3071
	"< 1 year"	"0"	"1991"	"1991"	"Asian or Pacific Islander"	"A-PI"	"Massachusetts"	"25"	4931
	"< 1 year"	"0"	"1991"	"1991"	"Asian or Pacific Islander"	"A-PI"	"Michigan"	"26"	2095
	"< 1 year"	"0"	"1991"	"1991"	"Asian or Pacific Islander"	"A-PI"	"Minnesota"	"27"	2684
	"< 1 year"	"0"	"1991"	"1991"	"Asian or Pacific Islander"	"A-PI"	"Mississippi"	"28"	227
	"< 1 year"	"0"	"1991"	"1991"	"Asian or Pacific Islander"	"A-PI"	"Missouri"	"29"	861
	"< 1 year"	"0"	"1991"	"1991"	"Asian or Pacific Islander"	"A-PI"	"Montana"	"30"	84
	"< 1 year"	"0"	"1991"	"1991"	"Asian or Pacific Islander"	"A-PI"	"Nebraska"	"31"	300
	"< 1 year"	"0"	"1991"	"1991"	"Asian or Pacific Islander"	"A-PI"	"Nevada"	"32"	856
	"< 1 year"	"0"	"1991"	"1991"	"Asian or Pacific Islander"	"A-PI"	"New Hampshire"	"33"	139
	"< 1 year"	"0"	"1991"	"1991"	"Asian or Pacific Islander"	"A-PI"	"New Jersey"	"34"	4572
	"< 1 year"	"0"	"1991"	"1991"	"Asian or Pacific Islander"	"A-PI"	"New Mexico"	"35"	308
	"< 1 year"	"0"	"1991"	"1991"	"Asian or Pacific Islander"	"A-PI"	"New York"	"36"	14091
	"< 1 year"	"0"	"1991"	"1991"	"Asian or Pacific Islander"	"A-PI"	"North Carolina"	"37"	1153
	"< 1 year"	"0"	"1991"	"1991"	"Asian or Pacific Islander"	"A-PI"	"North Dakota"	"38"	92
	"< 1 year"	"0"	"1991"	"1991"	"Asian or Pacific Islander"	"A-PI"	"Ohio"	"39"	1935
	"< 1 year"	"0"	"1991"	"1991"	"Asian or Pacific Islander"	"A-PI"	"Oklahoma"	"40"	736
	"< 1 year"	"0"	"1991"	"1991"	"Asian or Pacific Islander"	"A-PI"	"Oregon"	"41"	1764
