"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"State"	"State Code"	Population
	"< 1 year"	"0"	"1990"	"1990"	"Alabama"	"01"	59777
	"< 1 year"	"0"	"1990"	"1990"	"Alaska"	"02"	12009
	"< 1 year"	"0"	"1990"	"1990"	"Arizona"	"04"	65051
	"< 1 year"	"0"	"1990"	"1990"	"Arkansas"	"05"	34451
	"< 1 year"	"0"	"1990"	"1990"	"California"	"06"	561534
	"< 1 year"	"0"	"1990"	"1990"	"Colorado"	"08"	53507
	"< 1 year"	"0"	"1990"	"1990"	"Connecticut"	"09"	49637
	"< 1 year"	"0"	"1990"	"1990"	"Delaware"	"10"	10689
	"< 1 year"	"0"	"1990"	"1990"	"District of Columbia"	"11"	8890
	"< 1 year"	"0"	"1990"	"1990"	"Florida"	"12"	188577
	"< 1 year"	"0"	"1990"	"1990"	"Georgia"	"13"	107583
	"< 1 year"	"0"	"1990"	"1990"	"Hawaii"	"15"	18787
	"< 1 year"	"0"	"1990"	"1990"	"Idaho"	"16"	16739
	"< 1 year"	"0"	"1990"	"1990"	"Illinois"	"17"	184854
	"< 1 year"	"0"	"1990"	"1990"	"Indiana"	"18"	83029
	"< 1 year"	"0"	"1990"	"1990"	"Iowa"	"19"	39388
	"< 1 year"	"0"	"1990"	"1990"	"Kansas"	"20"	38549
	"< 1 year"	"0"	"1990"	"1990"	"Kentucky"	"21"	51946
	"< 1 year"	"0"	"1990"	"1990"	"Louisiana"	"22"	68088
	"< 1 year"	"0"	"1990"	"1990"	"Maine"	"23"	17615
	"< 1 year"	"0"	"1990"	"1990"	"Maryland"	"24"	78443
	"< 1 year"	"0"	"1990"	"1990"	"Massachusetts"	"25"	91286
	"< 1 year"	"0"	"1990"	"1990"	"Michigan"	"26"	152156
	"< 1 year"	"0"	"1990"	"1990"	"Minnesota"	"27"	69489
	"< 1 year"	"0"	"1990"	"1990"	"Mississippi"	"28"	40663
	"< 1 year"	"0"	"1990"	"1990"	"Missouri"	"29"	76618
	"< 1 year"	"0"	"1990"	"1990"	"Montana"	"30"	11956
	"< 1 year"	"0"	"1990"	"1990"	"Nebraska"	"31"	24561
	"< 1 year"	"0"	"1990"	"1990"	"Nevada"	"32"	21010
	"< 1 year"	"0"	"1990"	"1990"	"New Hampshire"	"33"	17919
	"< 1 year"	"0"	"1990"	"1990"	"New Jersey"	"34"	118631
	"< 1 year"	"0"	"1990"	"1990"	"New Mexico"	"35"	26943
	"< 1 year"	"0"	"1990"	"1990"	"New York"	"36"	281768
	"< 1 year"	"0"	"1990"	"1990"	"North Carolina"	"37"	100269
	"< 1 year"	"0"	"1990"	"1990"	"North Dakota"	"38"	9444
	"< 1 year"	"0"	"1990"	"1990"	"Ohio"	"39"	163619
	"< 1 year"	"0"	"1990"	"1990"	"Oklahoma"	"40"	46853
	"< 1 year"	"0"	"1990"	"1990"	"Oregon"	"41"	43054
	"< 1 year"	"0"	"1990"	"1990"	"Pennsylvania"	"42"	167749
	"< 1 year"	"0"	"1990"	"1990"	"Rhode Island"	"44"	14835
	"< 1 year"	"0"	"1990"	"1990"	"South Carolina"	"45"	55344
	"< 1 year"	"0"	"1990"	"1990"	"South Dakota"	"46"	11117
	"< 1 year"	"0"	"1990"	"1990"	"Tennessee"	"47"	71428
	"< 1 year"	"0"	"1990"	"1990"	"Texas"	"48"	297856
	"< 1 year"	"0"	"1990"	"1990"	"Utah"	"49"	36134
	"< 1 year"	"0"	"1990"	"1990"	"Vermont"	"50"	8555
	"< 1 year"	"0"	"1990"	"1990"	"Virginia"	"51"	96069
	"< 1 year"	"0"	"1990"	"1990"	"Washington"	"53"	79536
	"< 1 year"	"0"	"1990"	"1990"	"West Virginia"	"54"	21612
	"< 1 year"	"0"	"1990"	"1990"	"Wisconsin"	"55"	73817
	"< 1 year"	"0"	"1990"	"1990"	"Wyoming"	"56"	7054
	"< 1 year"	"0"	"1991"	"1991"	"Alabama"	"01"	60359
	"< 1 year"	"0"	"1991"	"1991"	"Alaska"	"02"	11439
	"< 1 year"	"0"	"1991"	"1991"	"Arizona"	"04"	67267
	"< 1 year"	"0"	"1991"	"1991"	"Arkansas"	"05"	34485
	"< 1 year"	"0"	"1991"	"1991"	"California"	"06"	598068
	"< 1 year"	"0"	"1991"	"1991"	"Colorado"	"08"	53108
	"< 1 year"	"0"	"1991"	"1991"	"Connecticut"	"09"	47712
	"< 1 year"	"0"	"1991"	"1991"	"Delaware"	"10"	10781
	"< 1 year"	"0"	"1991"	"1991"	"District of Columbia"	"11"	8975
	"< 1 year"	"0"	"1991"	"1991"	"Florida"	"12"	192096
	"< 1 year"	"0"	"1991"	"1991"	"Georgia"	"13"	107379
	"< 1 year"	"0"	"1991"	"1991"	"Hawaii"	"15"	19205
	"< 1 year"	"0"	"1991"	"1991"	"Idaho"	"16"	16488
	"< 1 year"	"0"	"1991"	"1991"	"Illinois"	"17"	187020
	"< 1 year"	"0"	"1991"	"1991"	"Indiana"	"18"	82480
	"< 1 year"	"0"	"1991"	"1991"	"Iowa"	"19"	37946
	"< 1 year"	"0"	"1991"	"1991"	"Kansas"	"20"	36934
	"< 1 year"	"0"	"1991"	"1991"	"Kentucky"	"21"	52171
	"< 1 year"	"0"	"1991"	"1991"	"Louisiana"	"22"	68648
	"< 1 year"	"0"	"1991"	"1991"	"Maine"	"23"	16350
	"< 1 year"	"0"	"1991"	"1991"	"Maryland"	"24"	78278
	"< 1 year"	"0"	"1991"	"1991"	"Massachusetts"	"25"	86782
	"< 1 year"	"0"	"1991"	"1991"	"Michigan"	"26"	144990
	"< 1 year"	"0"	"1991"	"1991"	"Minnesota"	"27"	65378
	"< 1 year"	"0"	"1991"	"1991"	"Mississippi"	"28"	40913
	"< 1 year"	"0"	"1991"	"1991"	"Missouri"	"29"	75997
	"< 1 year"	"0"	"1991"	"1991"	"Montana"	"30"	11259
	"< 1 year"	"0"	"1991"	"1991"	"Nebraska"	"31"	23255
	"< 1 year"	"0"	"1991"	"1991"	"Nevada"	"32"	21791
	"< 1 year"	"0"	"1991"	"1991"	"New Hampshire"	"33"	16110
	"< 1 year"	"0"	"1991"	"1991"	"New Jersey"	"34"	118667
	"< 1 year"	"0"	"1991"	"1991"	"New Mexico"	"35"	27182
	"< 1 year"	"0"	"1991"	"1991"	"New York"	"36"	284488
	"< 1 year"	"0"	"1991"	"1991"	"North Carolina"	"37"	100632
	"< 1 year"	"0"	"1991"	"1991"	"North Dakota"	"38"	8468
	"< 1 year"	"0"	"1991"	"1991"	"Ohio"	"39"	160453
	"< 1 year"	"0"	"1991"	"1991"	"Oklahoma"	"40"	46679
	"< 1 year"	"0"	"1991"	"1991"	"Oregon"	"41"	41921
	"< 1 year"	"0"	"1991"	"1991"	"Pennsylvania"	"42"	163197
	"< 1 year"	"0"	"1991"	"1991"	"Rhode Island"	"44"	14571
	"< 1 year"	"0"	"1991"	"1991"	"South Carolina"	"45"	55863
	"< 1 year"	"0"	"1991"	"1991"	"South Dakota"	"46"	10606
	"< 1 year"	"0"	"1991"	"1991"	"Tennessee"	"47"	72124
	"< 1 year"	"0"	"1991"	"1991"	"Texas"	"48"	310439
	"< 1 year"	"0"	"1991"	"1991"	"Utah"	"49"	35533
	"< 1 year"	"0"	"1991"	"1991"	"Vermont"	"50"	7880
	"< 1 year"	"0"	"1991"	"1991"	"Virginia"	"51"	94927
	"< 1 year"	"0"	"1991"	"1991"	"Washington"	"53"	78845
	"< 1 year"	"0"	"1991"	"1991"	"West Virginia"	"54"	21741
	"< 1 year"	"0"	"1991"	"1991"	"Wisconsin"	"55"	69267
	"< 1 year"	"0"	"1991"	"1991"	"Wyoming"	"56"	6633
	"< 1 year"	"0"	"1992"	"1992"	"Alabama"	"01"	60575
	"< 1 year"	"0"	"1992"	"1992"	"Alaska"	"02"	11073
	"< 1 year"	"0"	"1992"	"1992"	"Arizona"	"04"	67196
	"< 1 year"	"0"	"1992"	"1992"	"Arkansas"	"05"	34375
	"< 1 year"	"0"	"1992"	"1992"	"California"	"06"	583437
	"< 1 year"	"0"	"1992"	"1992"	"Colorado"	"08"	53653
	"< 1 year"	"0"	"1992"	"1992"	"Connecticut"	"09"	46900
	"< 1 year"	"0"	"1992"	"1992"	"Delaware"	"10"	10543
	"< 1 year"	"0"	"1992"	"1992"	"District of Columbia"	"11"	8497
	"< 1 year"	"0"	"1992"	"1992"	"Florida"	"12"	188055
	"< 1 year"	"0"	"1992"	"1992"	"Georgia"	"13"	107799
	"< 1 year"	"0"	"1992"	"1992"	"Hawaii"	"15"	18987
	"< 1 year"	"0"	"1992"	"1992"	"Idaho"	"16"	17000
	"< 1 year"	"0"	"1992"	"1992"	"Illinois"	"17"	187167
	"< 1 year"	"0"	"1992"	"1992"	"Indiana"	"18"	82930
	"< 1 year"	"0"	"1992"	"1992"	"Iowa"	"19"	37821
	"< 1 year"	"0"	"1992"	"1992"	"Kansas"	"20"	37012
	"< 1 year"	"0"	"1992"	"1992"	"Kentucky"	"21"	52649
	"< 1 year"	"0"	"1992"	"1992"	"Louisiana"	"22"	68939
	"< 1 year"	"0"	"1992"	"1992"	"Maine"	"23"	15812
	"< 1 year"	"0"	"1992"	"1992"	"Maryland"	"24"	76719
	"< 1 year"	"0"	"1992"	"1992"	"Massachusetts"	"25"	85124
	"< 1 year"	"0"	"1992"	"1992"	"Michigan"	"26"	141841
	"< 1 year"	"0"	"1992"	"1992"	"Minnesota"	"27"	65031
	"< 1 year"	"0"	"1992"	"1992"	"Mississippi"	"28"	41737
	"< 1 year"	"0"	"1992"	"1992"	"Missouri"	"29"	75143
	"< 1 year"	"0"	"1992"	"1992"	"Montana"	"30"	11366
	"< 1 year"	"0"	"1992"	"1992"	"Nebraska"	"31"	22845
	"< 1 year"	"0"	"1992"	"1992"	"Nevada"	"32"	21524
	"< 1 year"	"0"	"1992"	"1992"	"New Hampshire"	"33"	15808
	"< 1 year"	"0"	"1992"	"1992"	"New Jersey"	"34"	118172
	"< 1 year"	"0"	"1992"	"1992"	"New Mexico"	"35"	27514
	"< 1 year"	"0"	"1992"	"1992"	"New York"	"36"	281929
