"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"State"	"State Code"	"Race"	"Race Code"	Population
	"< 1 year"	"0"	"2001"	"2001"	"Alabama"	"01"	"White"	"2106-3"	41232
	"< 1 year"	"0"	"2001"	"2001"	"Alaska"	"02"	"White"	"2106-3"	6206
	"< 1 year"	"0"	"2001"	"2001"	"Arizona"	"04"	"White"	"2106-3"	71685
	"< 1 year"	"0"	"2001"	"2001"	"Arkansas"	"05"	"White"	"2106-3"	28361
	"< 1 year"	"0"	"2001"	"2001"	"California"	"06"	"White"	"2106-3"	417749
	"< 1 year"	"0"	"2001"	"2001"	"Colorado"	"08"	"White"	"2106-3"	59547
	"< 1 year"	"0"	"2001"	"2001"	"Connecticut"	"09"	"White"	"2106-3"	35090
	"< 1 year"	"0"	"2001"	"2001"	"Delaware"	"10"	"White"	"2106-3"	7616
	"< 1 year"	"0"	"2001"	"2001"	"District of Columbia"	"11"	"White"	"2106-3"	2462
	"< 1 year"	"0"	"2001"	"2001"	"Florida"	"12"	"White"	"2106-3"	149531
	"< 1 year"	"0"	"2001"	"2001"	"Georgia"	"13"	"White"	"2106-3"	85817
	"< 1 year"	"0"	"2001"	"2001"	"Hawaii"	"15"	"White"	"2106-3"	4378
	"< 1 year"	"0"	"2001"	"2001"	"Idaho"	"16"	"White"	"2106-3"	19731
	"< 1 year"	"0"	"2001"	"2001"	"Illinois"	"17"	"White"	"2106-3"	139768
	"< 1 year"	"0"	"2001"	"2001"	"Indiana"	"18"	"White"	"2106-3"	75125
	"< 1 year"	"0"	"2001"	"2001"	"Iowa"	"19"	"White"	"2106-3"	34973
	"< 1 year"	"0"	"2001"	"2001"	"Kansas"	"20"	"White"	"2106-3"	33679
	"< 1 year"	"0"	"2001"	"2001"	"Kentucky"	"21"	"White"	"2106-3"	48442
	"< 1 year"	"0"	"2001"	"2001"	"Louisiana"	"22"	"White"	"2106-3"	37112
	"< 1 year"	"0"	"2001"	"2001"	"Maine"	"23"	"White"	"2106-3"	13135
	"< 1 year"	"0"	"2001"	"2001"	"Maryland"	"24"	"White"	"2106-3"	44698
	"< 1 year"	"0"	"2001"	"2001"	"Massachusetts"	"25"	"White"	"2106-3"	66183
	"< 1 year"	"0"	"2001"	"2001"	"Michigan"	"26"	"White"	"2106-3"	104542
	"< 1 year"	"0"	"2001"	"2001"	"Minnesota"	"27"	"White"	"2106-3"	57568
	"< 1 year"	"0"	"2001"	"2001"	"Mississippi"	"28"	"White"	"2106-3"	23235
	"< 1 year"	"0"	"2001"	"2001"	"Missouri"	"29"	"White"	"2106-3"	61466
	"< 1 year"	"0"	"2001"	"2001"	"Montana"	"30"	"White"	"2106-3"	9139
	"< 1 year"	"0"	"2001"	"2001"	"Nebraska"	"31"	"White"	"2106-3"	21650
	"< 1 year"	"0"	"2001"	"2001"	"Nevada"	"32"	"White"	"2106-3"	25698
	"< 1 year"	"0"	"2001"	"2001"	"New Hampshire"	"33"	"White"	"2106-3"	13990
	"< 1 year"	"0"	"2001"	"2001"	"New Jersey"	"34"	"White"	"2106-3"	80868
	"< 1 year"	"0"	"2001"	"2001"	"New Mexico"	"35"	"White"	"2106-3"	21597
	"< 1 year"	"0"	"2001"	"2001"	"New York"	"36"	"White"	"2106-3"	177060
	"< 1 year"	"0"	"2001"	"2001"	"North Carolina"	"37"	"White"	"2106-3"	85541
	"< 1 year"	"0"	"2001"	"2001"	"North Dakota"	"38"	"White"	"2106-3"	6354
	"< 1 year"	"0"	"2001"	"2001"	"Ohio"	"39"	"White"	"2106-3"	124763
	"< 1 year"	"0"	"2001"	"2001"	"Oklahoma"	"40"	"White"	"2106-3"	36389
	"< 1 year"	"0"	"2001"	"2001"	"Oregon"	"41"	"White"	"2106-3"	40997
	"< 1 year"	"0"	"2001"	"2001"	"Pennsylvania"	"42"	"White"	"2106-3"	118420
	"< 1 year"	"0"	"2001"	"2001"	"Rhode Island"	"44"	"White"	"2106-3"	10437
	"< 1 year"	"0"	"2001"	"2001"	"South Carolina"	"45"	"White"	"2106-3"	35641
	"< 1 year"	"0"	"2001"	"2001"	"South Dakota"	"46"	"White"	"2106-3"	8096
	"< 1 year"	"0"	"2001"	"2001"	"Tennessee"	"47"	"White"	"2106-3"	60054
	"< 1 year"	"0"	"2001"	"2001"	"Texas"	"48"	"White"	"2106-3"	303280
	"< 1 year"	"0"	"2001"	"2001"	"Utah"	"49"	"White"	"2106-3"	43078
	"< 1 year"	"0"	"2001"	"2001"	"Vermont"	"50"	"White"	"2106-3"	6333
	"< 1 year"	"0"	"2001"	"2001"	"Virginia"	"51"	"White"	"2106-3"	70252
	"< 1 year"	"0"	"2001"	"2001"	"Washington"	"53"	"White"	"2106-3"	67203
	"< 1 year"	"0"	"2001"	"2001"	"West Virginia"	"54"	"White"	"2106-3"	19459
	"< 1 year"	"0"	"2001"	"2001"	"Wisconsin"	"55"	"White"	"2106-3"	57908
	"< 1 year"	"0"	"2001"	"2001"	"Wyoming"	"56"	"White"	"2106-3"	5611
	"1 year"	"1"	"2001"	"2001"	"Alabama"	"01"	"White"	"2106-3"	39584
	"1 year"	"1"	"2001"	"2001"	"Alaska"	"02"	"White"	"2106-3"	6108
	"1 year"	"1"	"2001"	"2001"	"Arizona"	"04"	"White"	"2106-3"	68204
	"1 year"	"1"	"2001"	"2001"	"Arkansas"	"05"	"White"	"2106-3"	28040
	"1 year"	"1"	"2001"	"2001"	"California"	"06"	"White"	"2106-3"	387933
	"1 year"	"1"	"2001"	"2001"	"Colorado"	"08"	"White"	"2106-3"	55782
	"1 year"	"1"	"2001"	"2001"	"Connecticut"	"09"	"White"	"2106-3"	35039
