"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"State"	"State Code"	"Race"	"Race Code"	Population
	"< 1 year"	"0"	"2002"	"2002"	"Alabama"	"01"	"White"	"2106-3"	39989
	"< 1 year"	"0"	"2002"	"2002"	"Alaska"	"02"	"White"	"2106-3"	6145
	"< 1 year"	"0"	"2002"	"2002"	"Arizona"	"04"	"White"	"2106-3"	71765
	"< 1 year"	"0"	"2002"	"2002"	"Arkansas"	"05"	"White"	"2106-3"	28836
	"< 1 year"	"0"	"2002"	"2002"	"California"	"06"	"White"	"2106-3"	411323
	"< 1 year"	"0"	"2002"	"2002"	"Colorado"	"08"	"White"	"2106-3"	59166
	"< 1 year"	"0"	"2002"	"2002"	"Connecticut"	"09"	"White"	"2106-3"	34018
	"< 1 year"	"0"	"2002"	"2002"	"Delaware"	"10"	"White"	"2106-3"	7469
	"< 1 year"	"0"	"2002"	"2002"	"District of Columbia"	"11"	"White"	"2106-3"	2425
	"< 1 year"	"0"	"2002"	"2002"	"Florida"	"12"	"White"	"2106-3"	149805
	"< 1 year"	"0"	"2002"	"2002"	"Georgia"	"13"	"White"	"2106-3"	84371
	"< 1 year"	"0"	"2002"	"2002"	"Hawaii"	"15"	"White"	"2106-3"	4582
	"< 1 year"	"0"	"2002"	"2002"	"Idaho"	"16"	"White"	"2106-3"	19697
	"< 1 year"	"0"	"2002"	"2002"	"Illinois"	"17"	"White"	"2106-3"	135929
	"< 1 year"	"0"	"2002"	"2002"	"Indiana"	"18"	"White"	"2106-3"	71962
	"< 1 year"	"0"	"2002"	"2002"	"Iowa"	"19"	"White"	"2106-3"	34089
	"< 1 year"	"0"	"2002"	"2002"	"Kansas"	"20"	"White"	"2106-3"	33304
	"< 1 year"	"0"	"2002"	"2002"	"Kentucky"	"21"	"White"	"2106-3"	47071
	"< 1 year"	"0"	"2002"	"2002"	"Louisiana"	"22"	"White"	"2106-3"	36674
	"< 1 year"	"0"	"2002"	"2002"	"Maine"	"23"	"White"	"2106-3"	12825
	"< 1 year"	"0"	"2002"	"2002"	"Maryland"	"24"	"White"	"2106-3"	44498
	"< 1 year"	"0"	"2002"	"2002"	"Massachusetts"	"25"	"White"	"2106-3"	64454
	"< 1 year"	"0"	"2002"	"2002"	"Michigan"	"26"	"White"	"2106-3"	101447
	"< 1 year"	"0"	"2002"	"2002"	"Minnesota"	"27"	"White"	"2106-3"	55308
	"< 1 year"	"0"	"2002"	"2002"	"Mississippi"	"28"	"White"	"2106-3"	22382
	"< 1 year"	"0"	"2002"	"2002"	"Missouri"	"29"	"White"	"2106-3"	61076
	"< 1 year"	"0"	"2002"	"2002"	"Montana"	"30"	"White"	"2106-3"	9290
	"< 1 year"	"0"	"2002"	"2002"	"Nebraska"	"31"	"White"	"2106-3"	21836
	"< 1 year"	"0"	"2002"	"2002"	"Nevada"	"32"	"White"	"2106-3"	26226
	"< 1 year"	"0"	"2002"	"2002"	"New Hampshire"	"33"	"White"	"2106-3"	13892
	"< 1 year"	"0"	"2002"	"2002"	"New Jersey"	"34"	"White"	"2106-3"	81864
