"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"State"	"State Code"	"Race"	"Race Code"	Population
	"< 1 year"	"0"	"2004"	"2004"	"Alabama"	"01"	"White"	"2106-3"	40363
	"< 1 year"	"0"	"2004"	"2004"	"Alaska"	"02"	"White"	"2106-3"	6228
	"< 1 year"	"0"	"2004"	"2004"	"Arizona"	"04"	"White"	"2106-3"	73679
	"< 1 year"	"0"	"2004"	"2004"	"Arkansas"	"05"	"White"	"2106-3"	29534
	"< 1 year"	"0"	"2004"	"2004"	"California"	"06"	"White"	"2106-3"	415473
	"< 1 year"	"0"	"2004"	"2004"	"Colorado"	"08"	"White"	"2106-3"	59146
	"< 1 year"	"0"	"2004"	"2004"	"Connecticut"	"09"	"White"	"2106-3"	33559
	"< 1 year"	"0"	"2004"	"2004"	"Delaware"	"10"	"White"	"2106-3"	7485
	"< 1 year"	"0"	"2004"	"2004"	"District of Columbia"	"11"	"White"	"2106-3"	2008
	"< 1 year"	"0"	"2004"	"2004"	"Florida"	"12"	"White"	"2106-3"	152788
	"< 1 year"	"0"	"2004"	"2004"	"Georgia"	"13"	"White"	"2106-3"	86946
	"< 1 year"	"0"	"2004"	"2004"	"Hawaii"	"15"	"White"	"2106-3"	5493
	"< 1 year"	"0"	"2004"	"2004"	"Idaho"	"16"	"White"	"2106-3"	21151
	"< 1 year"	"0"	"2004"	"2004"	"Illinois"	"17"	"White"	"2106-3"	135407
	"< 1 year"	"0"	"2004"	"2004"	"Indiana"	"18"	"White"	"2106-3"	73917
	"< 1 year"	"0"	"2004"	"2004"	"Iowa"	"19"	"White"	"2106-3"	34582
	"< 1 year"	"0"	"2004"	"2004"	"Kansas"	"20"	"White"	"2106-3"	33562
	"< 1 year"	"0"	"2004"	"2004"	"Kentucky"	"21"	"White"	"2106-3"	48464
	"< 1 year"	"0"	"2004"	"2004"	"Louisiana"	"22"	"White"	"2106-3"	37317
	"< 1 year"	"0"	"2004"	"2004"	"Maine"	"23"	"White"	"2106-3"	13370
	"< 1 year"	"0"	"2004"	"2004"	"Maryland"	"24"	"White"	"2106-3"	43432
	"< 1 year"	"0"	"2004"	"2004"	"Massachusetts"	"25"	"White"	"2106-3"	61541
	"< 1 year"	"0"	"2004"	"2004"	"Michigan"	"26"	"White"	"2106-3"	100421
	"< 1 year"	"0"	"2004"	"2004"	"Minnesota"	"27"	"White"	"2106-3"	56482
	"< 1 year"	"0"	"2004"	"2004"	"Mississippi"	"28"	"White"	"2106-3"	23593
	"< 1 year"	"0"	"2004"	"2004"	"Missouri"	"29"	"White"	"2106-3"	62234
	"< 1 year"	"0"	"2004"	"2004"	"Montana"	"30"	"White"	"2106-3"	9545
	"< 1 year"	"0"	"2004"	"2004"	"Nebraska"	"31"	"White"	"2106-3"	22685
	"< 1 year"	"0"	"2004"	"2004"	"Nevada"	"32"	"White"	"2106-3"	27809
	"< 1 year"	"0"	"2004"	"2004"	"New Hampshire"	"33"	"White"	"2106-3"	13551
	"< 1 year"	"0"	"2004"	"2004"	"New Jersey"	"34"	"White"	"2106-3"	83455
	"< 1 year"	"0"	"2004"	"2004"	"New Mexico"	"35"	"White"	"2106-3"	22158
	"< 1 year"	"0"	"2004"	"2004"	"New York"	"36"	"White"	"2106-3"	175680
	"< 1 year"	"0"	"2004"	"2004"	"North Carolina"	"37"	"White"	"2106-3"	84986
	"< 1 year"	"0"	"2004"	"2004"	"North Dakota"	"38"	"White"	"2106-3"	6760
	"< 1 year"	"0"	"2004"	"2004"	"Ohio"	"39"	"White"	"2106-3"	118383
	"< 1 year"	"0"	"2004"	"2004"	"Oklahoma"	"40"	"White"	"2106-3"	36710
