"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"State"	"State Code"	"Race"	"Race Code"	Population
	"< 1 year"	"0"	"2013"	"2013"	"Alabama"	"01"	"White"	"2106-3"	37874
	"< 1 year"	"0"	"2013"	"2013"	"Alaska"	"02"	"White"	"2106-3"	7046
	"< 1 year"	"0"	"2013"	"2013"	"Arizona"	"04"	"White"	"2106-3"	69206
	"< 1 year"	"0"	"2013"	"2013"	"Arkansas"	"05"	"White"	"2106-3"	28627
	"< 1 year"	"0"	"2013"	"2013"	"California"	"06"	"White"	"2106-3"	382918
	"< 1 year"	"0"	"2013"	"2013"	"Colorado"	"08"	"White"	"2106-3"	56361
	"< 1 year"	"0"	"2013"	"2013"	"Connecticut"	"09"	"White"	"2106-3"	28259
	"< 1 year"	"0"	"2013"	"2013"	"Delaware"	"10"	"White"	"2106-3"	7000
	"< 1 year"	"0"	"2013"	"2013"	"District of Columbia"	"11"	"White"	"2106-3"	3521
	"< 1 year"	"0"	"2013"	"2013"	"Florida"	"12"	"White"	"2106-3"	151944
	"< 1 year"	"0"	"2013"	"2013"	"Georgia"	"13"	"White"	"2106-3"	74410
	"< 1 year"	"0"	"2013"	"2013"	"Hawaii"	"15"	"White"	"2106-3"	5949
	"< 1 year"	"0"	"2013"	"2013"	"Idaho"	"16"	"White"	"2106-3"	20774
	"< 1 year"	"0"	"2013"	"2013"	"Illinois"	"17"	"White"	"2106-3"	117898
	"< 1 year"	"0"	"2013"	"2013"	"Indiana"	"18"	"White"	"2106-3"	68872
	"< 1 year"	"0"	"2013"	"2013"	"Iowa"	"19"	"White"	"2106-3"	34292
	"< 1 year"	"0"	"2013"	"2013"	"Kansas"	"20"	"White"	"2106-3"	33839
	"< 1 year"	"0"	"2013"	"2013"	"Kentucky"	"21"	"White"	"2106-3"	48125
	"< 1 year"	"0"	"2013"	"2013"	"Louisiana"	"22"	"White"	"2106-3"	35341
	"< 1 year"	"0"	"2013"	"2013"	"Maine"	"23"	"White"	"2106-3"	12004
	"< 1 year"	"0"	"2013"	"2013"	"Maryland"	"24"	"White"	"2106-3"	41268
	"< 1 year"	"0"	"2013"	"2013"	"Massachusetts"	"25"	"White"	"2106-3"	56206
	"< 1 year"	"0"	"2013"	"2013"	"Michigan"	"26"	"White"	"2106-3"	84654
	"< 1 year"	"0"	"2013"	"2013"	"Minnesota"	"27"	"White"	"2106-3"	54235
	"< 1 year"	"0"	"2013"	"2013"	"Mississippi"	"28"	"White"	"2106-3"	20646
	"< 1 year"	"0"	"2013"	"2013"	"Missouri"	"29"	"White"	"2106-3"	59469
	"< 1 year"	"0"	"2013"	"2013"	"Montana"	"30"	"White"	"2106-3"	10359
	"< 1 year"	"0"	"2013"	"2013"	"Nebraska"	"31"	"White"	"2106-3"	21986
	"< 1 year"	"0"	"2013"	"2013"	"Nevada"	"32"	"White"	"2106-3"	26758
	"< 1 year"	"0"	"2013"	"2013"	"New Hampshire"	"33"	"White"	"2106-3"	11814
	"< 1 year"	"0"	"2013"	"2013"	"New Jersey"	"34"	"White"	"2106-3"	72300
	"< 1 year"	"0"	"2013"	"2013"	"New Mexico"	"35"	"White"	"2106-3"	20156
	"< 1 year"	"0"	"2013"	"2013"	"New York"	"36"	"White"	"2106-3"	161570
	"< 1 year"	"0"	"2013"	"2013"	"North Carolina"	"37"	"White"	"2106-3"	78416
	"< 1 year"	"0"	"2013"	"2013"	"North Dakota"	"38"	"White"	"2106-3"	8360
	"< 1 year"	"0"	"2013"	"2013"	"Ohio"	"39"	"White"	"2106-3"	107773
	"< 1 year"	"0"	"2013"	"2013"	"Oklahoma"	"40"	"White"	"2106-3"	37687
	"< 1 year"	"0"	"2013"	"2013"	"Oregon"	"41"	"White"	"2106-3"	39376
	"< 1 year"	"0"	"2013"	"2013"	"Pennsylvania"	"42"	"White"	"2106-3"	107060
	"< 1 year"	"0"	"2013"	"2013"	"Rhode Island"	"44"	"White"	"2106-3"	8332
	"< 1 year"	"0"	"2013"	"2013"	"South Carolina"	"45"	"White"	"2106-3"	36022
	"< 1 year"	"0"	"2013"	"2013"	"South Dakota"	"46"	"White"	"2106-3"	9320
	"< 1 year"	"0"	"2013"	"2013"	"Tennessee"	"47"	"White"	"2106-3"	58929
	"< 1 year"	"0"	"2013"	"2013"	"Texas"	"48"	"White"	"2106-3"	314063
	"< 1 year"	"0"	"2013"	"2013"	"Utah"	"49"	"White"	"2106-3"	46768
	"< 1 year"	"0"	"2013"	"2013"	"Vermont"	"50"	"White"	"2106-3"	5642
	"< 1 year"	"0"	"2013"	"2013"	"Virginia"	"51"	"White"	"2106-3"	70612
	"< 1 year"	"0"	"2013"	"2013"	"Washington"	"53"	"White"	"2106-3"	68326
	"< 1 year"	"0"	"2013"	"2013"	"West Virginia"	"54"	"White"	"2106-3"	19381
	"< 1 year"	"0"	"2013"	"2013"	"Wisconsin"	"55"	"White"	"2106-3"	54459
	"< 1 year"	"0"	"2013"	"2013"	"Wyoming"	"56"	"White"	"2106-3"	6833
	"1 year"	"1"	"2013"	"2013"	"Alabama"	"01"	"White"	"2106-3"	38809
	"1 year"	"1"	"2013"	"2013"	"Alaska"	"02"	"White"	"2106-3"	6323
	"1 year"	"1"	"2013"	"2013"	"Arizona"	"04"	"White"	"2106-3"	69117
	"1 year"	"1"	"2013"	"2013"	"Arkansas"	"05"	"White"	"2106-3"	29554
	"1 year"	"1"	"2013"	"2013"	"California"	"06"	"White"	"2106-3"	385535
	"1 year"	"1"	"2013"	"2013"	"Colorado"	"08"	"White"	"2106-3"	57280
	"1 year"	"1"	"2013"	"2013"	"Connecticut"	"09"	"White"	"2106-3"	29226
	"1 year"	"1"	"2013"	"2013"	"Delaware"	"10"	"White"	"2106-3"	7469
	"1 year"	"1"	"2013"	"2013"	"District of Columbia"	"11"	"White"	"2106-3"	3243
	"1 year"	"1"	"2013"	"2013"	"Florida"	"12"	"White"	"2106-3"	154244
