"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"State"	"State Code"	"Race"	"Race Code"	Population
	"< 1 year"	"0"	"2004"	"2004"	"Alabama"	"01"	"Asian or Pacific Islander"	"A-PI"	668
	"< 1 year"	"0"	"2004"	"2004"	"Alaska"	"02"	"Asian or Pacific Islander"	"A-PI"	509
	"< 1 year"	"0"	"2004"	"2004"	"Arizona"	"04"	"Asian or Pacific Islander"	"A-PI"	2089
	"< 1 year"	"0"	"2004"	"2004"	"Arkansas"	"05"	"Asian or Pacific Islander"	"A-PI"	593
	"< 1 year"	"0"	"2004"	"2004"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	56861
	"< 1 year"	"0"	"2004"	"2004"	"Colorado"	"08"	"Asian or Pacific Islander"	"A-PI"	1796
	"< 1 year"	"0"	"2004"	"2004"	"Connecticut"	"09"	"Asian or Pacific Islander"	"A-PI"	1990
	"< 1 year"	"0"	"2004"	"2004"	"Delaware"	"10"	"Asian or Pacific Islander"	"A-PI"	475
	"< 1 year"	"0"	"2004"	"2004"	"District of Columbia"	"11"	"Asian or Pacific Islander"	"A-PI"	144
	"< 1 year"	"0"	"2004"	"2004"	"Florida"	"12"	"Asian or Pacific Islander"	"A-PI"	4929
	"< 1 year"	"0"	"2004"	"2004"	"Georgia"	"13"	"Asian or Pacific Islander"	"A-PI"	4512
	"< 1 year"	"0"	"2004"	"2004"	"Hawaii"	"15"	"Asian or Pacific Islander"	"A-PI"	9384
	"< 1 year"	"0"	"2004"	"2004"	"Idaho"	"16"	"Asian or Pacific Islander"	"A-PI"	245
	"< 1 year"	"0"	"2004"	"2004"	"Illinois"	"17"	"Asian or Pacific Islander"	"A-PI"	8144
	"< 1 year"	"0"	"2004"	"2004"	"Indiana"	"18"	"Asian or Pacific Islander"	"A-PI"	1386
	"< 1 year"	"0"	"2004"	"2004"	"Iowa"	"19"	"Asian or Pacific Islander"	"A-PI"	778
	"< 1 year"	"0"	"2004"	"2004"	"Kansas"	"20"	"Asian or Pacific Islander"	"A-PI"	1061
	"< 1 year"	"0"	"2004"	"2004"	"Kentucky"	"21"	"Asian or Pacific Islander"	"A-PI"	738
	"< 1 year"	"0"	"2004"	"2004"	"Louisiana"	"22"	"Asian or Pacific Islander"	"A-PI"	1059
	"< 1 year"	"0"	"2004"	"2004"	"Maine"	"23"	"Asian or Pacific Islander"	"A-PI"	173
	"< 1 year"	"0"	"2004"	"2004"	"Maryland"	"24"	"Asian or Pacific Islander"	"A-PI"	4138
	"< 1 year"	"0"	"2004"	"2004"	"Massachusetts"	"25"	"Asian or Pacific Islander"	"A-PI"	4845
	"< 1 year"	"0"	"2004"	"2004"	"Michigan"	"26"	"Asian or Pacific Islander"	"A-PI"	4103
	"< 1 year"	"0"	"2004"	"2004"	"Minnesota"	"27"	"Asian or Pacific Islander"	"A-PI"	3766
	"< 1 year"	"0"	"2004"	"2004"	"Mississippi"	"28"	"Asian or Pacific Islander"	"A-PI"	352
	"< 1 year"	"0"	"2004"	"2004"	"Missouri"	"29"	"Asian or Pacific Islander"	"A-PI"	1515
	"< 1 year"	"0"	"2004"	"2004"	"Montana"	"30"	"Asian or Pacific Islander"	"A-PI"	78
	"< 1 year"	"0"	"2004"	"2004"	"Nebraska"	"31"	"Asian or Pacific Islander"	"A-PI"	567
	"< 1 year"	"0"	"2004"	"2004"	"Nevada"	"32"	"Asian or Pacific Islander"	"A-PI"	1946
	"< 1 year"	"0"	"2004"	"2004"	"New Hampshire"	"33"	"Asian or Pacific Islander"	"A-PI"	562
	"< 1 year"	"0"	"2004"	"2004"	"New Jersey"	"34"	"Asian or Pacific Islander"	"A-PI"	10415
	"< 1 year"	"0"	"2004"	"2004"	"New Mexico"	"35"	"Asian or Pacific Islander"	"A-PI"	274
	"< 1 year"	"0"	"2004"	"2004"	"New York"	"36"	"Asian or Pacific Islander"	"A-PI"	18514
	"< 1 year"	"0"	"2004"	"2004"	"North Carolina"	"37"	"Asian or Pacific Islander"	"A-PI"	2889
	"< 1 year"	"0"	"2004"	"2004"	"North Dakota"	"38"	"Asian or Pacific Islander"	"A-PI"	72
	"< 1 year"	"0"	"2004"	"2004"	"Ohio"	"39"	"Asian or Pacific Islander"	"A-PI"	2887
	"< 1 year"	"0"	"2004"	"2004"	"Oklahoma"	"40"	"Asian or Pacific Islander"	"A-PI"	910
	"< 1 year"	"0"	"2004"	"2004"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	1951
	"< 1 year"	"0"	"2004"	"2004"	"Pennsylvania"	"42"	"Asian or Pacific Islander"	"A-PI"	4650
	"< 1 year"	"0"	"2004"	"2004"	"Rhode Island"	"44"	"Asian or Pacific Islander"	"A-PI"	457
	"< 1 year"	"0"	"2004"	"2004"	"South Carolina"	"45"	"Asian or Pacific Islander"	"A-PI"	739
	"< 1 year"	"0"	"2004"	"2004"	"South Dakota"	"46"	"Asian or Pacific Islander"	"A-PI"	126
