"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"State"	"State Code"	"Race"	"Race Code"	Population
	"< 1 year"	"0"	"2002"	"2002"	"Alabama"	"01"	"Asian or Pacific Islander"	"A-PI"	464
	"< 1 year"	"0"	"2002"	"2002"	"Alaska"	"02"	"Asian or Pacific Islander"	"A-PI"	434
	"< 1 year"	"0"	"2002"	"2002"	"Arizona"	"04"	"Asian or Pacific Islander"	"A-PI"	1711
	"< 1 year"	"0"	"2002"	"2002"	"Arkansas"	"05"	"Asian or Pacific Islander"	"A-PI"	488
	"< 1 year"	"0"	"2002"	"2002"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	54750
	"< 1 year"	"0"	"2002"	"2002"	"Colorado"	"08"	"Asian or Pacific Islander"	"A-PI"	1850
	"< 1 year"	"0"	"2002"	"2002"	"Connecticut"	"09"	"Asian or Pacific Islander"	"A-PI"	1757
	"< 1 year"	"0"	"2002"	"2002"	"Delaware"	"10"	"Asian or Pacific Islander"	"A-PI"	348
	"< 1 year"	"0"	"2002"	"2002"	"District of Columbia"	"11"	"Asian or Pacific Islander"	"A-PI"	184
	"< 1 year"	"0"	"2002"	"2002"	"Florida"	"12"	"Asian or Pacific Islander"	"A-PI"	4611
	"< 1 year"	"0"	"2002"	"2002"	"Georgia"	"13"	"Asian or Pacific Islander"	"A-PI"	3888
	"< 1 year"	"0"	"2002"	"2002"	"Hawaii"	"15"	"Asian or Pacific Islander"	"A-PI"	8900
	"< 1 year"	"0"	"2002"	"2002"	"Idaho"	"16"	"Asian or Pacific Islander"	"A-PI"	239
	"< 1 year"	"0"	"2002"	"2002"	"Illinois"	"17"	"Asian or Pacific Islander"	"A-PI"	7537
	"< 1 year"	"0"	"2002"	"2002"	"Indiana"	"18"	"Asian or Pacific Islander"	"A-PI"	1211
	"< 1 year"	"0"	"2002"	"2002"	"Iowa"	"19"	"Asian or Pacific Islander"	"A-PI"	796
	"< 1 year"	"0"	"2002"	"2002"	"Kansas"	"20"	"Asian or Pacific Islander"	"A-PI"	941
	"< 1 year"	"0"	"2002"	"2002"	"Kentucky"	"21"	"Asian or Pacific Islander"	"A-PI"	698
	"< 1 year"	"0"	"2002"	"2002"	"Louisiana"	"22"	"Asian or Pacific Islander"	"A-PI"	955
	"< 1 year"	"0"	"2002"	"2002"	"Maine"	"23"	"Asian or Pacific Islander"	"A-PI"	165
	"< 1 year"	"0"	"2002"	"2002"	"Maryland"	"24"	"Asian or Pacific Islander"	"A-PI"	3362
	"< 1 year"	"0"	"2002"	"2002"	"Massachusetts"	"25"	"Asian or Pacific Islander"	"A-PI"	4767
	"< 1 year"	"0"	"2002"	"2002"	"Michigan"	"26"	"Asian or Pacific Islander"	"A-PI"	3749
	"< 1 year"	"0"	"2002"	"2002"	"Minnesota"	"27"	"Asian or Pacific Islander"	"A-PI"	3478
	"< 1 year"	"0"	"2002"	"2002"	"Mississippi"	"28"	"Asian or Pacific Islander"	"A-PI"	336
	"< 1 year"	"0"	"2002"	"2002"	"Missouri"	"29"	"Asian or Pacific Islander"	"A-PI"	1330
	"< 1 year"	"0"	"2002"	"2002"	"Montana"	"30"	"Asian or Pacific Islander"	"A-PI"	73
	"< 1 year"	"0"	"2002"	"2002"	"Nebraska"	"31"	"Asian or Pacific Islander"	"A-PI"	486
	"< 1 year"	"0"	"2002"	"2002"	"Nevada"	"32"	"Asian or Pacific Islander"	"A-PI"	1707
	"< 1 year"	"0"	"2002"	"2002"	"New Hampshire"	"33"	"Asian or Pacific Islander"	"A-PI"	477
	"< 1 year"	"0"	"2002"	"2002"	"New Jersey"	"34"	"Asian or Pacific Islander"	"A-PI"	9566
	"< 1 year"	"0"	"2002"	"2002"	"New Mexico"	"35"	"Asian or Pacific Islander"	"A-PI"	318
	"< 1 year"	"0"	"2002"	"2002"	"New York"	"36"	"Asian or Pacific Islander"	"A-PI"	17784
