"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"State"	"State Code"	"Race"	"Race Code"	Population
	"< 1 year"	"0"	"2003"	"2003"	"Alabama"	"01"	"White"	"2106-3"	39873
	"< 1 year"	"0"	"2003"	"2003"	"Alaska"	"02"	"White"	"2106-3"	6133
	"< 1 year"	"0"	"2003"	"2003"	"Arizona"	"04"	"White"	"2106-3"	72810
	"< 1 year"	"0"	"2003"	"2003"	"Arkansas"	"05"	"White"	"2106-3"	28758
	"< 1 year"	"0"	"2003"	"2003"	"California"	"06"	"White"	"2106-3"	416281
	"< 1 year"	"0"	"2003"	"2003"	"Colorado"	"08"	"White"	"2106-3"	59528
	"< 1 year"	"0"	"2003"	"2003"	"Connecticut"	"09"	"White"	"2106-3"	34174
	"< 1 year"	"0"	"2003"	"2003"	"Delaware"	"10"	"White"	"2106-3"	7691
	"< 1 year"	"0"	"2003"	"2003"	"District of Columbia"	"11"	"White"	"2106-3"	2077
	"< 1 year"	"0"	"2003"	"2003"	"Florida"	"12"	"White"	"2106-3"	150879
	"< 1 year"	"0"	"2003"	"2003"	"Georgia"	"13"	"White"	"2106-3"	84874
	"< 1 year"	"0"	"2003"	"2003"	"Hawaii"	"15"	"White"	"2106-3"	4884
	"< 1 year"	"0"	"2003"	"2003"	"Idaho"	"16"	"White"	"2106-3"	20139
	"< 1 year"	"0"	"2003"	"2003"	"Illinois"	"17"	"White"	"2106-3"	135034
	"< 1 year"	"0"	"2003"	"2003"	"Indiana"	"18"	"White"	"2106-3"	72454
	"< 1 year"	"0"	"2003"	"2003"	"Iowa"	"19"	"White"	"2106-3"	34845
	"< 1 year"	"0"	"2003"	"2003"	"Kansas"	"20"	"White"	"2106-3"	33715
	"< 1 year"	"0"	"2003"	"2003"	"Kentucky"	"21"	"White"	"2106-3"	47592
	"< 1 year"	"0"	"2003"	"2003"	"Louisiana"	"22"	"White"	"2106-3"	36990
	"< 1 year"	"0"	"2003"	"2003"	"Maine"	"23"	"White"	"2106-3"	13057
	"< 1 year"	"0"	"2003"	"2003"	"Maryland"	"24"	"White"	"2106-3"	43926
	"< 1 year"	"0"	"2003"	"2003"	"Massachusetts"	"25"	"White"	"2106-3"	63103
	"< 1 year"	"0"	"2003"	"2003"	"Michigan"	"26"	"White"	"2106-3"	99987
	"< 1 year"	"0"	"2003"	"2003"	"Minnesota"	"27"	"White"	"2106-3"	56420
	"< 1 year"	"0"	"2003"	"2003"	"Mississippi"	"28"	"White"	"2106-3"	23007
	"< 1 year"	"0"	"2003"	"2003"	"Missouri"	"29"	"White"	"2106-3"	61168
	"< 1 year"	"0"	"2003"	"2003"	"Montana"	"30"	"White"	"2106-3"	9451
	"< 1 year"	"0"	"2003"	"2003"	"Nebraska"	"31"	"White"	"2106-3"	22445
	"< 1 year"	"0"	"2003"	"2003"	"Nevada"	"32"	"White"	"2106-3"	26590
	"< 1 year"	"0"	"2003"	"2003"	"New Hampshire"	"33"	"White"	"2106-3"	13606
	"< 1 year"	"0"	"2003"	"2003"	"New Jersey"	"34"	"White"	"2106-3"	83274
	"< 1 year"	"0"	"2003"	"2003"	"New Mexico"	"35"	"White"	"2106-3"	22150
	"< 1 year"	"0"	"2003"	"2003"	"New York"	"36"	"White"	"2106-3"	175908
	"< 1 year"	"0"	"2003"	"2003"	"North Carolina"	"37"	"White"	"2106-3"	83705
	"< 1 year"	"0"	"2003"	"2003"	"North Dakota"	"38"	"White"	"2106-3"	6540
	"< 1 year"	"0"	"2003"	"2003"	"Ohio"	"39"	"White"	"2106-3"	118315
	"< 1 year"	"0"	"2003"	"2003"	"Oklahoma"	"40"	"White"	"2106-3"	36849
	"< 1 year"	"0"	"2003"	"2003"	"Oregon"	"41"	"White"	"2106-3"	40458
