"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"State"	"State Code"	"Race"	"Race Code"	Population
	"< 1 year"	"0"	"2007"	"2007"	"Alabama"	"01"	"Asian or Pacific Islander"	"A-PI"	753
	"< 1 year"	"0"	"2007"	"2007"	"Alaska"	"02"	"Asian or Pacific Islander"	"A-PI"	629
	"< 1 year"	"0"	"2007"	"2007"	"Arizona"	"04"	"Asian or Pacific Islander"	"A-PI"	2557
	"< 1 year"	"0"	"2007"	"2007"	"Arkansas"	"05"	"Asian or Pacific Islander"	"A-PI"	718
	"< 1 year"	"0"	"2007"	"2007"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	58187
	"< 1 year"	"0"	"2007"	"2007"	"Colorado"	"08"	"Asian or Pacific Islander"	"A-PI"	1783
	"< 1 year"	"0"	"2007"	"2007"	"Connecticut"	"09"	"Asian or Pacific Islander"	"A-PI"	2183
	"< 1 year"	"0"	"2007"	"2007"	"Delaware"	"10"	"Asian or Pacific Islander"	"A-PI"	533
	"< 1 year"	"0"	"2007"	"2007"	"District of Columbia"	"11"	"Asian or Pacific Islander"	"A-PI"	131
	"< 1 year"	"0"	"2007"	"2007"	"Florida"	"12"	"Asian or Pacific Islander"	"A-PI"	5396
	"< 1 year"	"0"	"2007"	"2007"	"Georgia"	"13"	"Asian or Pacific Islander"	"A-PI"	5183
	"< 1 year"	"0"	"2007"	"2007"	"Hawaii"	"15"	"Asian or Pacific Islander"	"A-PI"	9654
	"< 1 year"	"0"	"2007"	"2007"	"Idaho"	"16"	"Asian or Pacific Islander"	"A-PI"	252
	"< 1 year"	"0"	"2007"	"2007"	"Illinois"	"17"	"Asian or Pacific Islander"	"A-PI"	8700
	"< 1 year"	"0"	"2007"	"2007"	"Indiana"	"18"	"Asian or Pacific Islander"	"A-PI"	1560
	"< 1 year"	"0"	"2007"	"2007"	"Iowa"	"19"	"Asian or Pacific Islander"	"A-PI"	797
	"< 1 year"	"0"	"2007"	"2007"	"Kansas"	"20"	"Asian or Pacific Islander"	"A-PI"	1054
	"< 1 year"	"0"	"2007"	"2007"	"Kentucky"	"21"	"Asian or Pacific Islander"	"A-PI"	856
	"< 1 year"	"0"	"2007"	"2007"	"Louisiana"	"22"	"Asian or Pacific Islander"	"A-PI"	1006
	"< 1 year"	"0"	"2007"	"2007"	"Maine"	"23"	"Asian or Pacific Islander"	"A-PI"	175
	"< 1 year"	"0"	"2007"	"2007"	"Maryland"	"24"	"Asian or Pacific Islander"	"A-PI"	4357
	"< 1 year"	"0"	"2007"	"2007"	"Massachusetts"	"25"	"Asian or Pacific Islander"	"A-PI"	5100
	"< 1 year"	"0"	"2007"	"2007"	"Michigan"	"26"	"Asian or Pacific Islander"	"A-PI"	4033
	"< 1 year"	"0"	"2007"	"2007"	"Minnesota"	"27"	"Asian or Pacific Islander"	"A-PI"	4508
	"< 1 year"	"0"	"2007"	"2007"	"Mississippi"	"28"	"Asian or Pacific Islander"	"A-PI"	317
	"< 1 year"	"0"	"2007"	"2007"	"Missouri"	"29"	"Asian or Pacific Islander"	"A-PI"	1630
	"< 1 year"	"0"	"2007"	"2007"	"Montana"	"30"	"Asian or Pacific Islander"	"A-PI"	74
	"< 1 year"	"0"	"2007"	"2007"	"Nebraska"	"31"	"Asian or Pacific Islander"	"A-PI"	532
	"< 1 year"	"0"	"2007"	"2007"	"Nevada"	"32"	"Asian or Pacific Islander"	"A-PI"	2197
	"< 1 year"	"0"	"2007"	"2007"	"New Hampshire"	"33"	"Asian or Pacific Islander"	"A-PI"	598
	"< 1 year"	"0"	"2007"	"2007"	"New Jersey"	"34"	"Asian or Pacific Islander"	"A-PI"	10902
	"< 1 year"	"0"	"2007"	"2007"	"New Mexico"	"35"	"Asian or Pacific Islander"	"A-PI"	302
	"< 1 year"	"0"	"2007"	"2007"	"New York"	"36"	"Asian or Pacific Islander"	"A-PI"	19211
	"< 1 year"	"0"	"2007"	"2007"	"North Carolina"	"37"	"Asian or Pacific Islander"	"A-PI"	3773
	"< 1 year"	"0"	"2007"	"2007"	"North Dakota"	"38"	"Asian or Pacific Islander"	"A-PI"	78
	"< 1 year"	"0"	"2007"	"2007"	"Ohio"	"39"	"Asian or Pacific Islander"	"A-PI"	2966
	"< 1 year"	"0"	"2007"	"2007"	"Oklahoma"	"40"	"Asian or Pacific Islander"	"A-PI"	938
	"< 1 year"	"0"	"2007"	"2007"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	1953
	"< 1 year"	"0"	"2007"	"2007"	"Pennsylvania"	"42"	"Asian or Pacific Islander"	"A-PI"	5379
	"< 1 year"	"0"	"2007"	"2007"	"Rhode Island"	"44"	"Asian or Pacific Islander"	"A-PI"	467
	"< 1 year"	"0"	"2007"	"2007"	"South Carolina"	"45"	"Asian or Pacific Islander"	"A-PI"	928
	"< 1 year"	"0"	"2007"	"2007"	"South Dakota"	"46"	"Asian or Pacific Islander"	"A-PI"	104
