"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"State"	"State Code"	"Race"	"Race Code"	Population
	"< 1 year"	"0"	"2004"	"2004"	"Alabama"	"01"	"Black or African American"	"2054-5"	17374
	"< 1 year"	"0"	"2004"	"2004"	"Alaska"	"02"	"Black or African American"	"2054-5"	531
	"< 1 year"	"0"	"2004"	"2004"	"Arizona"	"04"	"Black or African American"	"2054-5"	3867
	"< 1 year"	"0"	"2004"	"2004"	"Arkansas"	"05"	"Black or African American"	"2054-5"	7081
	"< 1 year"	"0"	"2004"	"2004"	"California"	"06"	"Black or African American"	"2054-5"	31903
	"< 1 year"	"0"	"2004"	"2004"	"Colorado"	"08"	"Black or African American"	"2054-5"	3151
	"< 1 year"	"0"	"2004"	"2004"	"Connecticut"	"09"	"Black or African American"	"2054-5"	4965
	"< 1 year"	"0"	"2004"	"2004"	"Delaware"	"10"	"Black or African American"	"2054-5"	2811
	"< 1 year"	"0"	"2004"	"2004"	"District of Columbia"	"11"	"Black or African American"	"2054-5"	4266
	"< 1 year"	"0"	"2004"	"2004"	"Florida"	"12"	"Black or African American"	"2054-5"	46048
	"< 1 year"	"0"	"2004"	"2004"	"Georgia"	"13"	"Black or African American"	"2054-5"	41104
	"< 1 year"	"0"	"2004"	"2004"	"Hawaii"	"15"	"Black or African American"	"2054-5"	622
	"< 1 year"	"0"	"2004"	"2004"	"Idaho"	"16"	"Black or African American"	"2054-5"	258
	"< 1 year"	"0"	"2004"	"2004"	"Illinois"	"17"	"Black or African American"	"2054-5"	29818
	"< 1 year"	"0"	"2004"	"2004"	"Indiana"	"18"	"Black or African American"	"2054-5"	10490
	"< 1 year"	"0"	"2004"	"2004"	"Iowa"	"19"	"Black or African American"	"2054-5"	2202
	"< 1 year"	"0"	"2004"	"2004"	"Kansas"	"20"	"Black or African American"	"2054-5"	3238
	"< 1 year"	"0"	"2004"	"2004"	"Kentucky"	"21"	"Black or African American"	"2054-5"	5378
	"< 1 year"	"0"	"2004"	"2004"	"Louisiana"	"22"	"Black or African American"	"2054-5"	25291
	"< 1 year"	"0"	"2004"	"2004"	"Maine"	"23"	"Black or African American"	"2054-5"	458
	"< 1 year"	"0"	"2004"	"2004"	"Maryland"	"24"	"Black or African American"	"2054-5"	23543
	"< 1 year"	"0"	"2004"	"2004"	"Massachusetts"	"25"	"Black or African American"	"2054-5"	6813
	"< 1 year"	"0"	"2004"	"2004"	"Michigan"	"26"	"Black or African American"	"2054-5"	22789
	"< 1 year"	"0"	"2004"	"2004"	"Minnesota"	"27"	"Black or African American"	"2054-5"	6873
	"< 1 year"	"0"	"2004"	"2004"	"Mississippi"	"28"	"Black or African American"	"2054-5"	17380
	"< 1 year"	"0"	"2004"	"2004"	"Missouri"	"29"	"Black or African American"	"2054-5"	11745
	"< 1 year"	"0"	"2004"	"2004"	"Montana"	"30"	"Black or African American"	"2054-5"	155
	"< 1 year"	"0"	"2004"	"2004"	"Nebraska"	"31"	"Black or African American"	"2054-5"	1816
