"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"State"	"State Code"	"Race"	"Race Code"	Population
	"< 1 year"	"0"	"2006"	"2006"	"Alabama"	"01"	"White"	"2106-3"	41749
	"< 1 year"	"0"	"2006"	"2006"	"Alaska"	"02"	"White"	"2106-3"	6452
	"< 1 year"	"0"	"2006"	"2006"	"Arizona"	"04"	"White"	"2106-3"	77823
	"< 1 year"	"0"	"2006"	"2006"	"Arkansas"	"05"	"White"	"2106-3"	30957
	"< 1 year"	"0"	"2006"	"2006"	"California"	"06"	"White"	"2106-3"	413232
	"< 1 year"	"0"	"2006"	"2006"	"Colorado"	"08"	"White"	"2106-3"	60457
	"< 1 year"	"0"	"2006"	"2006"	"Connecticut"	"09"	"White"	"2106-3"	31756
	"< 1 year"	"0"	"2006"	"2006"	"Delaware"	"10"	"White"	"2106-3"	7603
	"< 1 year"	"0"	"2006"	"2006"	"District of Columbia"	"11"	"White"	"2106-3"	2079
	"< 1 year"	"0"	"2006"	"2006"	"Florida"	"12"	"White"	"2106-3"	156343
	"< 1 year"	"0"	"2006"	"2006"	"Georgia"	"13"	"White"	"2106-3"	88169
	"< 1 year"	"0"	"2006"	"2006"	"Hawaii"	"15"	"White"	"2106-3"	5572
	"< 1 year"	"0"	"2006"	"2006"	"Idaho"	"16"	"White"	"2106-3"	22554
	"< 1 year"	"0"	"2006"	"2006"	"Illinois"	"17"	"White"	"2106-3"	129304
	"< 1 year"	"0"	"2006"	"2006"	"Indiana"	"18"	"White"	"2106-3"	73572
	"< 1 year"	"0"	"2006"	"2006"	"Iowa"	"19"	"White"	"2106-3"	36218
	"< 1 year"	"0"	"2006"	"2006"	"Kansas"	"20"	"White"	"2106-3"	33832
	"< 1 year"	"0"	"2006"	"2006"	"Kentucky"	"21"	"White"	"2106-3"	49104
	"< 1 year"	"0"	"2006"	"2006"	"Louisiana"	"22"	"White"	"2106-3"	31868
	"< 1 year"	"0"	"2006"	"2006"	"Maine"	"23"	"White"	"2106-3"	13111
	"< 1 year"	"0"	"2006"	"2006"	"Maryland"	"24"	"White"	"2106-3"	41532
	"< 1 year"	"0"	"2006"	"2006"	"Massachusetts"	"25"	"White"	"2106-3"	59017
	"< 1 year"	"0"	"2006"	"2006"	"Michigan"	"26"	"White"	"2106-3"	95952
	"< 1 year"	"0"	"2006"	"2006"	"Minnesota"	"27"	"White"	"2106-3"	55020
	"< 1 year"	"0"	"2006"	"2006"	"Mississippi"	"28"	"White"	"2106-3"	22768
	"< 1 year"	"0"	"2006"	"2006"	"Missouri"	"29"	"White"	"2106-3"	63172
	"< 1 year"	"0"	"2006"	"2006"	"Montana"	"30"	"White"	"2106-3"	9974
	"< 1 year"	"0"	"2006"	"2006"	"Nebraska"	"31"	"White"	"2106-3"	21977
	"< 1 year"	"0"	"2006"	"2006"	"Nevada"	"32"	"White"	"2106-3"	30053
	"< 1 year"	"0"	"2006"	"2006"	"New Hampshire"	"33"	"White"	"2106-3"	13954
	"< 1 year"	"0"	"2006"	"2006"	"New Jersey"	"34"	"White"	"2106-3"	76091
	"< 1 year"	"0"	"2006"	"2006"	"New Mexico"	"35"	"White"	"2106-3"	22564
	"< 1 year"	"0"	"2006"	"2006"	"New York"	"36"	"White"	"2106-3"	163480
	"< 1 year"	"0"	"2006"	"2006"	"North Carolina"	"37"	"White"	"2106-3"	88228
	"< 1 year"	"0"	"2006"	"2006"	"North Dakota"	"38"	"White"	"2106-3"	7029
	"< 1 year"	"0"	"2006"	"2006"	"Ohio"	"39"	"White"	"2106-3"	114975
	"< 1 year"	"0"	"2006"	"2006"	"Oklahoma"	"40"	"White"	"2106-3"	37336
	"< 1 year"	"0"	"2006"	"2006"	"Oregon"	"41"	"White"	"2106-3"	41551
	"< 1 year"	"0"	"2006"	"2006"	"Pennsylvania"	"42"	"White"	"2106-3"	112080
	"< 1 year"	"0"	"2006"	"2006"	"Rhode Island"	"44"	"White"	"2106-3"	9672
	"< 1 year"	"0"	"2006"	"2006"	"South Carolina"	"45"	"White"	"2106-3"	37100
	"< 1 year"	"0"	"2006"	"2006"	"South Dakota"	"46"	"White"	"2106-3"	8595
	"< 1 year"	"0"	"2006"	"2006"	"Tennessee"	"47"	"White"	"2106-3"	60427
	"< 1 year"	"0"	"2006"	"2006"	"Texas"	"48"	"White"	"2106-3"	312243
	"< 1 year"	"0"	"2006"	"2006"	"Utah"	"49"	"White"	"2106-3"	47497
	"< 1 year"	"0"	"2006"	"2006"	"Vermont"	"50"	"White"	"2106-3"	5796
	"< 1 year"	"0"	"2006"	"2006"	"Virginia"	"51"	"White"	"2106-3"	72416
	"< 1 year"	"0"	"2006"	"2006"	"Washington"	"53"	"White"	"2106-3"	68162
	"< 1 year"	"0"	"2006"	"2006"	"West Virginia"	"54"	"White"	"2106-3"	19838
	"< 1 year"	"0"	"2006"	"2006"	"Wisconsin"	"55"	"White"	"2106-3"	57681
	"< 1 year"	"0"	"2006"	"2006"	"Wyoming"	"56"	"White"	"2106-3"	6746
	"1 year"	"1"	"2006"	"2006"	"Alabama"	"01"	"White"	"2106-3"	40060
	"1 year"	"1"	"2006"	"2006"	"Alaska"	"02"	"White"	"2106-3"	6210
	"1 year"	"1"	"2006"	"2006"	"Arizona"	"04"	"White"	"2106-3"	79196
	"1 year"	"1"	"2006"	"2006"	"Arkansas"	"05"	"White"	"2106-3"	29786
	"1 year"	"1"	"2006"	"2006"	"California"	"06"	"White"	"2106-3"	403380
	"1 year"	"1"	"2006"	"2006"	"Colorado"	"08"	"White"	"2106-3"	60295
	"1 year"	"1"	"2006"	"2006"	"Connecticut"	"09"	"White"	"2106-3"	32493
	"1 year"	"1"	"2006"	"2006"	"Delaware"	"10"	"White"	"2106-3"	7526
	"1 year"	"1"	"2006"	"2006"	"District of Columbia"	"11"	"White"	"2106-3"	1977
	"1 year"	"1"	"2006"	"2006"	"Florida"	"12"	"White"	"2106-3"	153464
