"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"State"	"State Code"	"Race"	"Race Code"	Population
	"< 1 year"	"0"	"2005"	"2005"	"Alabama"	"01"	"White"	"2106-3"	41089
	"< 1 year"	"0"	"2005"	"2005"	"Alaska"	"02"	"White"	"2106-3"	6253
	"< 1 year"	"0"	"2005"	"2005"	"Arizona"	"04"	"White"	"2106-3"	76302
	"< 1 year"	"0"	"2005"	"2005"	"Arkansas"	"05"	"White"	"2106-3"	30182
	"< 1 year"	"0"	"2005"	"2005"	"California"	"06"	"White"	"2106-3"	415910
	"< 1 year"	"0"	"2005"	"2005"	"Colorado"	"08"	"White"	"2106-3"	59859
	"< 1 year"	"0"	"2005"	"2005"	"Connecticut"	"09"	"White"	"2106-3"	32353
	"< 1 year"	"0"	"2005"	"2005"	"Delaware"	"10"	"White"	"2106-3"	7544
	"< 1 year"	"0"	"2005"	"2005"	"District of Columbia"	"11"	"White"	"2106-3"	2139
	"< 1 year"	"0"	"2005"	"2005"	"Florida"	"12"	"White"	"2106-3"	151693
	"< 1 year"	"0"	"2005"	"2005"	"Georgia"	"13"	"White"	"2106-3"	87640
	"< 1 year"	"0"	"2005"	"2005"	"Hawaii"	"15"	"White"	"2106-3"	5290
	"< 1 year"	"0"	"2005"	"2005"	"Idaho"	"16"	"White"	"2106-3"	21625
	"< 1 year"	"0"	"2005"	"2005"	"Illinois"	"17"	"White"	"2106-3"	130970
	"< 1 year"	"0"	"2005"	"2005"	"Indiana"	"18"	"White"	"2106-3"	72427
	"< 1 year"	"0"	"2005"	"2005"	"Iowa"	"19"	"White"	"2106-3"	34686
	"< 1 year"	"0"	"2005"	"2005"	"Kansas"	"20"	"White"	"2106-3"	33335
	"< 1 year"	"0"	"2005"	"2005"	"Kentucky"	"21"	"White"	"2106-3"	48512
	"< 1 year"	"0"	"2005"	"2005"	"Louisiana"	"22"	"White"	"2106-3"	36944
	"< 1 year"	"0"	"2005"	"2005"	"Maine"	"23"	"White"	"2106-3"	13051
	"< 1 year"	"0"	"2005"	"2005"	"Maryland"	"24"	"White"	"2106-3"	42365
	"< 1 year"	"0"	"2005"	"2005"	"Massachusetts"	"25"	"White"	"2106-3"	59211
	"< 1 year"	"0"	"2005"	"2005"	"Michigan"	"26"	"White"	"2106-3"	97024
	"< 1 year"	"0"	"2005"	"2005"	"Minnesota"	"27"	"White"	"2106-3"	54372
	"< 1 year"	"0"	"2005"	"2005"	"Mississippi"	"28"	"White"	"2106-3"	23626
	"< 1 year"	"0"	"2005"	"2005"	"Missouri"	"29"	"White"	"2106-3"	62054
	"< 1 year"	"0"	"2005"	"2005"	"Montana"	"30"	"White"	"2106-3"	9618
	"< 1 year"	"0"	"2005"	"2005"	"Nebraska"	"31"	"White"	"2106-3"	22096
	"< 1 year"	"0"	"2005"	"2005"	"Nevada"	"32"	"White"	"2106-3"	28610
	"< 1 year"	"0"	"2005"	"2005"	"New Hampshire"	"33"	"White"	"2106-3"	14134
	"< 1 year"	"0"	"2005"	"2005"	"New Jersey"	"34"	"White"	"2106-3"	79280
	"< 1 year"	"0"	"2005"	"2005"	"New Mexico"	"35"	"White"	"2106-3"	22888
	"< 1 year"	"0"	"2005"	"2005"	"New York"	"36"	"White"	"2106-3"	164872
	"< 1 year"	"0"	"2005"	"2005"	"North Carolina"	"37"	"White"	"2106-3"	86534
	"< 1 year"	"0"	"2005"	"2005"	"North Dakota"	"38"	"White"	"2106-3"	6747
	"< 1 year"	"0"	"2005"	"2005"	"Ohio"	"39"	"White"	"2106-3"	114409
	"< 1 year"	"0"	"2005"	"2005"	"Oklahoma"	"40"	"White"	"2106-3"	36986
	"< 1 year"	"0"	"2005"	"2005"	"Oregon"	"41"	"White"	"2106-3"	40513
	"< 1 year"	"0"	"2005"	"2005"	"Pennsylvania"	"42"	"White"	"2106-3"	110906
	"< 1 year"	"0"	"2005"	"2005"	"Rhode Island"	"44"	"White"	"2106-3"	9692
	"< 1 year"	"0"	"2005"	"2005"	"South Carolina"	"45"	"White"	"2106-3"	35533
	"< 1 year"	"0"	"2005"	"2005"	"South Dakota"	"46"	"White"	"2106-3"	8692
	"< 1 year"	"0"	"2005"	"2005"	"Tennessee"	"47"	"White"	"2106-3"	58511
	"< 1 year"	"0"	"2005"	"2005"	"Texas"	"48"	"White"	"2106-3"	309826
	"< 1 year"	"0"	"2005"	"2005"	"Utah"	"49"	"White"	"2106-3"	45534
	"< 1 year"	"0"	"2005"	"2005"	"Vermont"	"50"	"White"	"2106-3"	6075
	"< 1 year"	"0"	"2005"	"2005"	"Virginia"	"51"	"White"	"2106-3"	71897
	"< 1 year"	"0"	"2005"	"2005"	"Washington"	"53"	"White"	"2106-3"	64661
	"< 1 year"	"0"	"2005"	"2005"	"West Virginia"	"54"	"White"	"2106-3"	19537
	"< 1 year"	"0"	"2005"	"2005"	"Wisconsin"	"55"	"White"	"2106-3"	57402
	"< 1 year"	"0"	"2005"	"2005"	"Wyoming"	"56"	"White"	"2106-3"	6362
	"1 year"	"1"	"2005"	"2005"	"Alabama"	"01"	"White"	"2106-3"	39640
	"1 year"	"1"	"2005"	"2005"	"Alaska"	"02"	"White"	"2106-3"	6188
	"1 year"	"1"	"2005"	"2005"	"Arizona"	"04"	"White"	"2106-3"	75873
	"1 year"	"1"	"2005"	"2005"	"Arkansas"	"05"	"White"	"2106-3"	29375
	"1 year"	"1"	"2005"	"2005"	"California"	"06"	"White"	"2106-3"	405271
	"1 year"	"1"	"2005"	"2005"	"Colorado"	"08"	"White"	"2106-3"	59169
	"1 year"	"1"	"2005"	"2005"	"Connecticut"	"09"	"White"	"2106-3"	33564
	"1 year"	"1"	"2005"	"2005"	"Delaware"	"10"	"White"	"2106-3"	7481
	"1 year"	"1"	"2005"	"2005"	"District of Columbia"	"11"	"White"	"2106-3"	1922
	"1 year"	"1"	"2005"	"2005"	"Florida"	"12"	"White"	"2106-3"	154847
	"1 year"	"1"	"2005"	"2005"	"Georgia"	"13"	"White"	"2106-3"	86693
	"1 year"	"1"	"2005"	"2005"	"Hawaii"	"15"	"White"	"2106-3"	5239
	"1 year"	"1"	"2005"	"2005"	"Idaho"	"16"	"White"	"2106-3"	21443
	"1 year"	"1"	"2005"	"2005"	"Illinois"	"17"	"White"	"2106-3"	133245
	"1 year"	"1"	"2005"	"2005"	"Indiana"	"18"	"White"	"2106-3"	73504
