"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"State"	"State Code"	"Race"	"Race Code"	Population
	"< 1 year"	"0"	"2014"	"2014"	"Alabama"	"01"	"White"	"2106-3"	38884
	"< 1 year"	"0"	"2014"	"2014"	"Alaska"	"02"	"White"	"2106-3"	6977
	"< 1 year"	"0"	"2014"	"2014"	"Arizona"	"04"	"White"	"2106-3"	69000
	"< 1 year"	"0"	"2014"	"2014"	"Arkansas"	"05"	"White"	"2106-3"	28645
	"< 1 year"	"0"	"2014"	"2014"	"California"	"06"	"White"	"2106-3"	381547
	"< 1 year"	"0"	"2014"	"2014"	"Colorado"	"08"	"White"	"2106-3"	56915
	"< 1 year"	"0"	"2014"	"2014"	"Connecticut"	"09"	"White"	"2106-3"	28183
	"< 1 year"	"0"	"2014"	"2014"	"Delaware"	"10"	"White"	"2106-3"	7217
	"< 1 year"	"0"	"2014"	"2014"	"District of Columbia"	"11"	"White"	"2106-3"	3650
	"< 1 year"	"0"	"2014"	"2014"	"Florida"	"12"	"White"	"2106-3"	157990
	"< 1 year"	"0"	"2014"	"2014"	"Georgia"	"13"	"White"	"2106-3"	74934
	"< 1 year"	"0"	"2014"	"2014"	"Hawaii"	"15"	"White"	"2106-3"	5996
	"< 1 year"	"0"	"2014"	"2014"	"Idaho"	"16"	"White"	"2106-3"	20728
	"< 1 year"	"0"	"2014"	"2014"	"Illinois"	"17"	"White"	"2106-3"	117707
	"< 1 year"	"0"	"2014"	"2014"	"Indiana"	"18"	"White"	"2106-3"	69222
	"< 1 year"	"0"	"2014"	"2014"	"Iowa"	"19"	"White"	"2106-3"	34887
	"< 1 year"	"0"	"2014"	"2014"	"Kansas"	"20"	"White"	"2106-3"	33356
	"< 1 year"	"0"	"2014"	"2014"	"Kentucky"	"21"	"White"	"2106-3"	47559
	"< 1 year"	"0"	"2014"	"2014"	"Louisiana"	"22"	"White"	"2106-3"	36655
	"< 1 year"	"0"	"2014"	"2014"	"Maine"	"23"	"White"	"2106-3"	11794
	"< 1 year"	"0"	"2014"	"2014"	"Maryland"	"24"	"White"	"2106-3"	42169
	"< 1 year"	"0"	"2014"	"2014"	"Massachusetts"	"25"	"White"	"2106-3"	56192
	"< 1 year"	"0"	"2014"	"2014"	"Michigan"	"26"	"White"	"2106-3"	85548
	"< 1 year"	"0"	"2014"	"2014"	"Minnesota"	"27"	"White"	"2106-3"	54699
	"< 1 year"	"0"	"2014"	"2014"	"Mississippi"	"28"	"White"	"2106-3"	20364
	"< 1 year"	"0"	"2014"	"2014"	"Missouri"	"29"	"White"	"2106-3"	59701
	"< 1 year"	"0"	"2014"	"2014"	"Montana"	"30"	"White"	"2106-3"	10304
	"< 1 year"	"0"	"2014"	"2014"	"Nebraska"	"31"	"White"	"2106-3"	22099
	"< 1 year"	"0"	"2014"	"2014"	"Nevada"	"32"	"White"	"2106-3"	27087
	"< 1 year"	"0"	"2014"	"2014"	"New Hampshire"	"33"	"White"	"2106-3"	11471
	"< 1 year"	"0"	"2014"	"2014"	"New Jersey"	"34"	"White"	"2106-3"	71813
	"< 1 year"	"0"	"2014"	"2014"	"New Mexico"	"35"	"White"	"2106-3"	19588
	"< 1 year"	"0"	"2014"	"2014"	"New York"	"36"	"White"	"2106-3"	160276
	"< 1 year"	"0"	"2014"	"2014"	"North Carolina"	"37"	"White"	"2106-3"	78025
