"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"State"	"State Code"	"Race"	"Race Code"	Population
	"< 1 year"	"0"	"2007"	"2007"	"Alabama"	"01"	"White"	"2106-3"	43088
	"< 1 year"	"0"	"2007"	"2007"	"Alaska"	"02"	"White"	"2106-3"	6606
	"< 1 year"	"0"	"2007"	"2007"	"Arizona"	"04"	"White"	"2106-3"	78965
	"< 1 year"	"0"	"2007"	"2007"	"Arkansas"	"05"	"White"	"2106-3"	31627
	"< 1 year"	"0"	"2007"	"2007"	"California"	"06"	"White"	"2106-3"	415685
	"< 1 year"	"0"	"2007"	"2007"	"Colorado"	"08"	"White"	"2106-3"	61335
	"< 1 year"	"0"	"2007"	"2007"	"Connecticut"	"09"	"White"	"2106-3"	31704
	"< 1 year"	"0"	"2007"	"2007"	"Delaware"	"10"	"White"	"2106-3"	7676
	"< 1 year"	"0"	"2007"	"2007"	"District of Columbia"	"11"	"White"	"2106-3"	2456
	"< 1 year"	"0"	"2007"	"2007"	"Florida"	"12"	"White"	"2106-3"	159548
	"< 1 year"	"0"	"2007"	"2007"	"Georgia"	"13"	"White"	"2106-3"	90816
	"< 1 year"	"0"	"2007"	"2007"	"Hawaii"	"15"	"White"	"2106-3"	5629
	"< 1 year"	"0"	"2007"	"2007"	"Idaho"	"16"	"White"	"2106-3"	23462
	"< 1 year"	"0"	"2007"	"2007"	"Illinois"	"17"	"White"	"2106-3"	130410
	"< 1 year"	"0"	"2007"	"2007"	"Indiana"	"18"	"White"	"2106-3"	74382
	"< 1 year"	"0"	"2007"	"2007"	"Iowa"	"19"	"White"	"2106-3"	36647
	"< 1 year"	"0"	"2007"	"2007"	"Kansas"	"20"	"White"	"2106-3"	35150
	"< 1 year"	"0"	"2007"	"2007"	"Kentucky"	"21"	"White"	"2106-3"	50446
	"< 1 year"	"0"	"2007"	"2007"	"Louisiana"	"22"	"White"	"2106-3"	38159
	"< 1 year"	"0"	"2007"	"2007"	"Maine"	"23"	"White"	"2106-3"	13325
	"< 1 year"	"0"	"2007"	"2007"	"Maryland"	"24"	"White"	"2106-3"	42370
