"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"State"	"State Code"	"Race"	"Race Code"	Population
	"< 1 year"	"0"	"2016"	"2016"	"Alabama"	"01"	"White"	"2106-3"	36748
	"< 1 year"	"0"	"2016"	"2016"	"Alaska"	"02"	"White"	"2106-3"	6851
	"< 1 year"	"0"	"2016"	"2016"	"Arizona"	"04"	"White"	"2106-3"	70585
	"< 1 year"	"0"	"2016"	"2016"	"Arkansas"	"05"	"White"	"2106-3"	28362
	"< 1 year"	"0"	"2016"	"2016"	"California"	"06"	"White"	"2106-3"	373934
	"< 1 year"	"0"	"2016"	"2016"	"Colorado"	"08"	"White"	"2106-3"	58152
	"< 1 year"	"0"	"2016"	"2016"	"Connecticut"	"09"	"White"	"2106-3"	27166
	"< 1 year"	"0"	"2016"	"2016"	"Delaware"	"10"	"White"	"2106-3"	7094
	"< 1 year"	"0"	"2016"	"2016"	"District of Columbia"	"11"	"White"	"2106-3"	4681
	"< 1 year"	"0"	"2016"	"2016"	"Florida"	"12"	"White"	"2106-3"	163512
	"< 1 year"	"0"	"2016"	"2016"	"Georgia"	"13"	"White"	"2106-3"	73870
	"< 1 year"	"0"	"2016"	"2016"	"Hawaii"	"15"	"White"	"2106-3"	5861
	"< 1 year"	"0"	"2016"	"2016"	"Idaho"	"16"	"White"	"2106-3"	21282
	"< 1 year"	"0"	"2016"	"2016"	"Illinois"	"17"	"White"	"2106-3"	115728
	"< 1 year"	"0"	"2016"	"2016"	"Indiana"	"18"	"White"	"2106-3"	69047
	"< 1 year"	"0"	"2016"	"2016"	"Iowa"	"19"	"White"	"2106-3"	35359
	"< 1 year"	"0"	"2016"	"2016"	"Kansas"	"20"	"White"	"2106-3"	32025
	"< 1 year"	"0"	"2016"	"2016"	"Kentucky"	"21"	"White"	"2106-3"	47208
	"< 1 year"	"0"	"2016"	"2016"	"Louisiana"	"22"	"White"	"2106-3"	36761
	"< 1 year"	"0"	"2016"	"2016"	"Maine"	"23"	"White"	"2106-3"	11964
	"< 1 year"	"0"	"2016"	"2016"	"Maryland"	"24"	"White"	"2106-3"	41407
	"< 1 year"	"0"	"2016"	"2016"	"Massachusetts"	"25"	"White"	"2106-3"	56359
	"< 1 year"	"0"	"2016"	"2016"	"Michigan"	"26"	"White"	"2106-3"	85446
	"< 1 year"	"0"	"2016"	"2016"	"Minnesota"	"27"	"White"	"2106-3"	56911
	"< 1 year"	"0"	"2016"	"2016"	"Mississippi"	"28"	"White"	"2106-3"	19294
	"< 1 year"	"0"	"2016"	"2016"	"Missouri"	"29"	"White"	"2106-3"	59361
	"< 1 year"	"0"	"2016"	"2016"	"Montana"	"30"	"White"	"2106-3"	10724
	"< 1 year"	"0"	"2016"	"2016"	"Nebraska"	"31"	"White"	"2106-3"	23114
	"< 1 year"	"0"	"2016"	"2016"	"Nevada"	"32"	"White"	"2106-3"	27299
	"< 1 year"	"0"	"2016"	"2016"	"New Hampshire"	"33"	"White"	"2106-3"	11528
	"< 1 year"	"0"	"2016"	"2016"	"New Jersey"	"34"	"White"	"2106-3"	71213
	"< 1 year"	"0"	"2016"	"2016"	"New Mexico"	"35"	"White"	"2106-3"	20079
	"< 1 year"	"0"	"2016"	"2016"	"New York"	"36"	"White"	"2106-3"	154080
	"< 1 year"	"0"	"2016"	"2016"	"North Carolina"	"37"	"White"	"2106-3"	81147
	"< 1 year"	"0"	"2016"	"2016"	"North Dakota"	"38"	"White"	"2106-3"	9656
	"< 1 year"	"0"	"2016"	"2016"	"Ohio"	"39"	"White"	"2106-3"	108267
	"< 1 year"	"0"	"2016"	"2016"	"Oklahoma"	"40"	"White"	"2106-3"	37446
	"< 1 year"	"0"	"2016"	"2016"	"Oregon"	"41"	"White"	"2106-3"	40367
	"< 1 year"	"0"	"2016"	"2016"	"Pennsylvania"	"42"	"White"	"2106-3"	110393
	"< 1 year"	"0"	"2016"	"2016"	"Rhode Island"	"44"	"White"	"2106-3"	8645
	"< 1 year"	"0"	"2016"	"2016"	"South Carolina"	"45"	"White"	"2106-3"	36967
	"< 1 year"	"0"	"2016"	"2016"	"South Dakota"	"46"	"White"	"2106-3"	9733
	"< 1 year"	"0"	"2016"	"2016"	"Tennessee"	"47"	"White"	"2106-3"	60691
	"< 1 year"	"0"	"2016"	"2016"	"Texas"	"48"	"White"	"2106-3"	323186
	"< 1 year"	"0"	"2016"	"2016"	"Utah"	"49"	"White"	"2106-3"	46303
	"< 1 year"	"0"	"2016"	"2016"	"Vermont"	"50"	"White"	"2106-3"	5668
	"< 1 year"	"0"	"2016"	"2016"	"Virginia"	"51"	"White"	"2106-3"	67644
	"< 1 year"	"0"	"2016"	"2016"	"Washington"	"53"	"White"	"2106-3"	71857
	"< 1 year"	"0"	"2016"	"2016"	"West Virginia"	"54"	"White"	"2106-3"	18181
	"< 1 year"	"0"	"2016"	"2016"	"Wisconsin"	"55"	"White"	"2106-3"	55339
	"< 1 year"	"0"	"2016"	"2016"	"Wyoming"	"56"	"White"	"2106-3"	6764
	"1 year"	"1"	"2016"	"2016"	"Alabama"	"01"	"White"	"2106-3"	37789
	"1 year"	"1"	"2016"	"2016"	"Alaska"	"02"	"White"	"2106-3"	6726
	"1 year"	"1"	"2016"	"2016"	"Arizona"	"04"	"White"	"2106-3"	70938
	"1 year"	"1"	"2016"	"2016"	"Arkansas"	"05"	"White"	"2106-3"	28606
	"1 year"	"1"	"2016"	"2016"	"California"	"06"	"White"	"2106-3"	374769
	"1 year"	"1"	"2016"	"2016"	"Colorado"	"08"	"White"	"2106-3"	57860
	"1 year"	"1"	"2016"	"2016"	"Connecticut"	"09"	"White"	"2106-3"	27787
	"1 year"	"1"	"2016"	"2016"	"Delaware"	"10"	"White"	"2106-3"	7071
	"1 year"	"1"	"2016"	"2016"	"District of Columbia"	"11"	"White"	"2106-3"	4040
	"1 year"	"1"	"2016"	"2016"	"Florida"	"12"	"White"	"2106-3"	163186
	"1 year"	"1"	"2016"	"2016"	"Georgia"	"13"	"White"	"2106-3"	75703
	"1 year"	"1"	"2016"	"2016"	"Hawaii"	"15"	"White"	"2106-3"	5651
	"1 year"	"1"	"2016"	"2016"	"Idaho"	"16"	"White"	"2106-3"	21484
	"1 year"	"1"	"2016"	"2016"	"Illinois"	"17"	"White"	"2106-3"	116492
	"1 year"	"1"	"2016"	"2016"	"Indiana"	"18"	"White"	"2106-3"	69334
	"1 year"	"1"	"2016"	"2016"	"Iowa"	"19"	"White"	"2106-3"	35272
	"1 year"	"1"	"2016"	"2016"	"Kansas"	"20"	"White"	"2106-3"	32664
	"1 year"	"1"	"2016"	"2016"	"Kentucky"	"21"	"White"	"2106-3"	47478
	"1 year"	"1"	"2016"	"2016"	"Louisiana"	"22"	"White"	"2106-3"	36440
	"1 year"	"1"	"2016"	"2016"	"Maine"	"23"	"White"	"2106-3"	11919
	"1 year"	"1"	"2016"	"2016"	"Maryland"	"24"	"White"	"2106-3"	41771
	"1 year"	"1"	"2016"	"2016"	"Massachusetts"	"25"	"White"	"2106-3"	55570
	"1 year"	"1"	"2016"	"2016"	"Michigan"	"26"	"White"	"2106-3"	86068
	"1 year"	"1"	"2016"	"2016"	"Minnesota"	"27"	"White"	"2106-3"	55919
	"1 year"	"1"	"2016"	"2016"	"Mississippi"	"28"	"White"	"2106-3"	19894
	"1 year"	"1"	"2016"	"2016"	"Missouri"	"29"	"White"	"2106-3"	59386
	"1 year"	"1"	"2016"	"2016"	"Montana"	"30"	"White"	"2106-3"	10726
	"1 year"	"1"	"2016"	"2016"	"Nebraska"	"31"	"White"	"2106-3"	23087
	"1 year"	"1"	"2016"	"2016"	"Nevada"	"32"	"White"	"2106-3"	27320
	"1 year"	"1"	"2016"	"2016"	"New Hampshire"	"33"	"White"	"2106-3"	11686
	"1 year"	"1"	"2016"	"2016"	"New Jersey"	"34"	"White"	"2106-3"	70896
	"1 year"	"1"	"2016"	"2016"	"New Mexico"	"35"	"White"	"2106-3"	20238
	"1 year"	"1"	"2016"	"2016"	"New York"	"36"	"White"	"2106-3"	155524
	"1 year"	"1"	"2016"	"2016"	"North Carolina"	"37"	"White"	"2106-3"	81271
	"1 year"	"1"	"2016"	"2016"	"North Dakota"	"38"	"White"	"2106-3"	9543
	"1 year"	"1"	"2016"	"2016"	"Ohio"	"39"	"White"	"2106-3"	107997
	"1 year"	"1"	"2016"	"2016"	"Oklahoma"	"40"	"White"	"2106-3"	38441
	"1 year"	"1"	"2016"	"2016"	"Oregon"	"41"	"White"	"2106-3"	40779
	"1 year"	"1"	"2016"	"2016"	"Pennsylvania"	"42"	"White"	"2106-3"	109871
	"1 year"	"1"	"2016"	"2016"	"Rhode Island"	"44"	"White"	"2106-3"	8613
	"1 year"	"1"	"2016"	"2016"	"South Carolina"	"45"	"White"	"2106-3"	37375
	"1 year"	"1"	"2016"	"2016"	"South Dakota"	"46"	"White"	"2106-3"	9622
	"1 year"	"1"	"2016"	"2016"	"Tennessee"	"47"	"White"	"2106-3"	61252
	"1 year"	"1"	"2016"	"2016"	"Texas"	"48"	"White"	"2106-3"	325678
	"1 year"	"1"	"2016"	"2016"	"Utah"	"49"	"White"	"2106-3"	46537
	"1 year"	"1"	"2016"	"2016"	"Vermont"	"50"	"White"	"2106-3"	5748
	"1 year"	"1"	"2016"	"2016"	"Virginia"	"51"	"White"	"2106-3"	68768
	"1 year"	"1"	"2016"	"2016"	"Washington"	"53"	"White"	"2106-3"	72010
	"1 year"	"1"	"2016"	"2016"	"West Virginia"	"54"	"White"	"2106-3"	18334
	"1 year"	"1"	"2016"	"2016"	"Wisconsin"	"55"	"White"	"2106-3"	55101
	"1 year"	"1"	"2016"	"2016"	"Wyoming"	"56"	"White"	"2106-3"	6929
	"2 years"	"2"	"2016"	"2016"	"Alabama"	"01"	"White"	"2106-3"	39151
	"2 years"	"2"	"2016"	"2016"	"Alaska"	"02"	"White"	"2106-3"	6799
	"2 years"	"2"	"2016"	"2016"	"Arizona"	"04"	"White"	"2106-3"	69640
	"2 years"	"2"	"2016"	"2016"	"Arkansas"	"05"	"White"	"2106-3"	28720
	"2 years"	"2"	"2016"	"2016"	"California"	"06"	"White"	"2106-3"	378077
	"2 years"	"2"	"2016"	"2016"	"Colorado"	"08"	"White"	"2106-3"	57912
	"2 years"	"2"	"2016"	"2016"	"Connecticut"	"09"	"White"	"2106-3"	28528
	"2 years"	"2"	"2016"	"2016"	"Delaware"	"10"	"White"	"2106-3"	7212
	"2 years"	"2"	"2016"	"2016"	"District of Columbia"	"11"	"White"	"2106-3"	3343
	"2 years"	"2"	"2016"	"2016"	"Florida"	"12"	"White"	"2106-3"	162574
	"2 years"	"2"	"2016"	"2016"	"Georgia"	"13"	"White"	"2106-3"	75787
	"2 years"	"2"	"2016"	"2016"	"Hawaii"	"15"	"White"	"2106-3"	5910
	"2 years"	"2"	"2016"	"2016"	"Idaho"	"16"	"White"	"2106-3"	21025
	"2 years"	"2"	"2016"	"2016"	"Illinois"	"17"	"White"	"2106-3"	116612
	"2 years"	"2"	"2016"	"2016"	"Indiana"	"18"	"White"	"2106-3"	69718
	"2 years"	"2"	"2016"	"2016"	"Iowa"	"19"	"White"	"2106-3"	35214
	"2 years"	"2"	"2016"	"2016"	"Kansas"	"20"	"White"	"2106-3"	33150
	"2 years"	"2"	"2016"	"2016"	"Kentucky"	"21"	"White"	"2106-3"	47307
	"2 years"	"2"	"2016"	"2016"	"Louisiana"	"22"	"White"	"2106-3"	36589
	"2 years"	"2"	"2016"	"2016"	"Maine"	"23"	"White"	"2106-3"	11941
	"2 years"	"2"	"2016"	"2016"	"Maryland"	"24"	"White"	"2106-3"	41896
	"2 years"	"2"	"2016"	"2016"	"Massachusetts"	"25"	"White"	"2106-3"	55866
	"2 years"	"2"	"2016"	"2016"	"Michigan"	"26"	"White"	"2106-3"	86961
	"2 years"	"2"	"2016"	"2016"	"Minnesota"	"27"	"White"	"2106-3"	54979
	"2 years"	"2"	"2016"	"2016"	"Mississippi"	"28"	"White"	"2106-3"	20213
	"2 years"	"2"	"2016"	"2016"	"Missouri"	"29"	"White"	"2106-3"	60080
	"2 years"	"2"	"2016"	"2016"	"Montana"	"30"	"White"	"2106-3"	10453
	"2 years"	"2"	"2016"	"2016"	"Nebraska"	"31"	"White"	"2106-3"	22233
	"2 years"	"2"	"2016"	"2016"	"Nevada"	"32"	"White"	"2106-3"	27732
	"2 years"	"2"	"2016"	"2016"	"New Hampshire"	"33"	"White"	"2106-3"	11851
	"2 years"	"2"	"2016"	"2016"	"New Jersey"	"34"	"White"	"2106-3"	72332
	"2 years"	"2"	"2016"	"2016"	"New Mexico"	"35"	"White"	"2106-3"	19623
	"2 years"	"2"	"2016"	"2016"	"New York"	"36"	"White"	"2106-3"	155993
	"2 years"	"2"	"2016"	"2016"	"North Carolina"	"37"	"White"	"2106-3"	78892
	"2 years"	"2"	"2016"	"2016"	"North Dakota"	"38"	"White"	"2106-3"	9055
	"2 years"	"2"	"2016"	"2016"	"Ohio"	"39"	"White"	"2106-3"	108438
	"2 years"	"2"	"2016"	"2016"	"Oklahoma"	"40"	"White"	"2106-3"	37743
	"2 years"	"2"	"2016"	"2016"	"Oregon"	"41"	"White"	"2106-3"	40941
	"2 years"	"2"	"2016"	"2016"	"Pennsylvania"	"42"	"White"	"2106-3"	109238
	"2 years"	"2"	"2016"	"2016"	"Rhode Island"	"44"	"White"	"2106-3"	8354
	"2 years"	"2"	"2016"	"2016"	"South Carolina"	"45"	"White"	"2106-3"	37688
	"2 years"	"2"	"2016"	"2016"	"South Dakota"	"46"	"White"	"2106-3"	9394
	"2 years"	"2"	"2016"	"2016"	"Tennessee"	"47"	"White"	"2106-3"	59744
	"2 years"	"2"	"2016"	"2016"	"Texas"	"48"	"White"	"2106-3"	326580
	"2 years"	"2"	"2016"	"2016"	"Utah"	"49"	"White"	"2106-3"	46092
	"2 years"	"2"	"2016"	"2016"	"Vermont"	"50"	"White"	"2106-3"	5787
	"2 years"	"2"	"2016"	"2016"	"Virginia"	"51"	"White"	"2106-3"	69756
	"2 years"	"2"	"2016"	"2016"	"Washington"	"53"	"White"	"2106-3"	70353
	"2 years"	"2"	"2016"	"2016"	"West Virginia"	"54"	"White"	"2106-3"	18819
