"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"State"	"State Code"	"Race"	"Race Code"	Population
	"< 1 year"	"0"	"2011"	"2011"	"Alabama"	"01"	"White"	"2106-3"	39716
	"< 1 year"	"0"	"2011"	"2011"	"Alaska"	"02"	"White"	"2106-3"	7180
	"< 1 year"	"0"	"2011"	"2011"	"Arizona"	"04"	"White"	"2106-3"	68742
	"< 1 year"	"0"	"2011"	"2011"	"Arkansas"	"05"	"White"	"2106-3"	29548
	"< 1 year"	"0"	"2011"	"2011"	"California"	"06"	"White"	"2106-3"	400348
	"< 1 year"	"0"	"2011"	"2011"	"Colorado"	"08"	"White"	"2106-3"	57893
	"< 1 year"	"0"	"2011"	"2011"	"Connecticut"	"09"	"White"	"2106-3"	29545
	"< 1 year"	"0"	"2011"	"2011"	"Delaware"	"10"	"White"	"2106-3"	7435
	"< 1 year"	"0"	"2011"	"2011"	"District of Columbia"	"11"	"White"	"2106-3"	3337
	"< 1 year"	"0"	"2011"	"2011"	"Florida"	"12"	"White"	"2106-3"	152103
	"< 1 year"	"0"	"2011"	"2011"	"Georgia"	"13"	"White"	"2106-3"	76614
	"< 1 year"	"0"	"2011"	"2011"	"Hawaii"	"15"	"White"	"2106-3"	5973
	"< 1 year"	"0"	"2011"	"2011"	"Idaho"	"16"	"White"	"2106-3"	21191
	"< 1 year"	"0"	"2011"	"2011"	"Illinois"	"17"	"White"	"2106-3"	123445
	"< 1 year"	"0"	"2011"	"2011"	"Indiana"	"18"	"White"	"2106-3"	69387
	"< 1 year"	"0"	"2011"	"2011"	"Iowa"	"19"	"White"	"2106-3"	33716
	"< 1 year"	"0"	"2011"	"2011"	"Kansas"	"20"	"White"	"2106-3"	34333
	"< 1 year"	"0"	"2011"	"2011"	"Kentucky"	"21"	"White"	"2106-3"	47522
	"< 1 year"	"0"	"2011"	"2011"	"Louisiana"	"22"	"White"	"2106-3"	35399
	"< 1 year"	"0"	"2011"	"2011"	"Maine"	"23"	"White"	"2106-3"	11772
	"< 1 year"	"0"	"2011"	"2011"	"Maryland"	"24"	"White"	"2106-3"	42381
	"< 1 year"	"0"	"2011"	"2011"	"Massachusetts"	"25"	"White"	"2106-3"	57496
	"< 1 year"	"0"	"2011"	"2011"	"Michigan"	"26"	"White"	"2106-3"	84994
	"< 1 year"	"0"	"2011"	"2011"	"Minnesota"	"27"	"White"	"2106-3"	54090
	"< 1 year"	"0"	"2011"	"2011"	"Mississippi"	"28"	"White"	"2106-3"	21523
	"< 1 year"	"0"	"2011"	"2011"	"Missouri"	"29"	"White"	"2106-3"	60465
	"< 1 year"	"0"	"2011"	"2011"	"Montana"	"30"	"White"	"2106-3"	10004
	"< 1 year"	"0"	"2011"	"2011"	"Nebraska"	"31"	"White"	"2106-3"	21822
	"< 1 year"	"0"	"2011"	"2011"	"Nevada"	"32"	"White"	"2106-3"	27581
	"< 1 year"	"0"	"2011"	"2011"	"New Hampshire"	"33"	"White"	"2106-3"	12271
