"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"State"	"State Code"	"Race"	"Race Code"	Population
	"< 1 year"	"0"	"2015"	"2015"	"Alabama"	"01"	"White"	"2106-3"	37706
	"< 1 year"	"0"	"2015"	"2015"	"Alaska"	"02"	"White"	"2106-3"	6877
	"< 1 year"	"0"	"2015"	"2015"	"Arizona"	"04"	"White"	"2106-3"	70415
	"< 1 year"	"0"	"2015"	"2015"	"Arkansas"	"05"	"White"	"2106-3"	28536
	"< 1 year"	"0"	"2015"	"2015"	"California"	"06"	"White"	"2106-3"	376767
	"< 1 year"	"0"	"2015"	"2015"	"Colorado"	"08"	"White"	"2106-3"	57528
	"< 1 year"	"0"	"2015"	"2015"	"Connecticut"	"09"	"White"	"2106-3"	27500
	"< 1 year"	"0"	"2015"	"2015"	"Delaware"	"10"	"White"	"2106-3"	7019
	"< 1 year"	"0"	"2015"	"2015"	"District of Columbia"	"11"	"White"	"2106-3"	4254
	"< 1 year"	"0"	"2015"	"2015"	"Florida"	"12"	"White"	"2106-3"	160974
	"< 1 year"	"0"	"2015"	"2015"	"Georgia"	"13"	"White"	"2106-3"	75242
	"< 1 year"	"0"	"2015"	"2015"	"Hawaii"	"15"	"White"	"2106-3"	5838
	"< 1 year"	"0"	"2015"	"2015"	"Idaho"	"16"	"White"	"2106-3"	21141
	"< 1 year"	"0"	"2015"	"2015"	"Illinois"	"17"	"White"	"2106-3"	117103
	"< 1 year"	"0"	"2015"	"2015"	"Indiana"	"18"	"White"	"2106-3"	69056
	"< 1 year"	"0"	"2015"	"2015"	"Iowa"	"19"	"White"	"2106-3"	35132
	"< 1 year"	"0"	"2015"	"2015"	"Kansas"	"20"	"White"	"2106-3"	32648
	"< 1 year"	"0"	"2015"	"2015"	"Kentucky"	"21"	"White"	"2106-3"	47413
	"< 1 year"	"0"	"2015"	"2015"	"Louisiana"	"22"	"White"	"2106-3"	36543
	"< 1 year"	"0"	"2015"	"2015"	"Maine"	"23"	"White"	"2106-3"	11781
	"< 1 year"	"0"	"2015"	"2015"	"Maryland"	"24"	"White"	"2106-3"	41834
	"< 1 year"	"0"	"2015"	"2015"	"Massachusetts"	"25"	"White"	"2106-3"	55701
	"< 1 year"	"0"	"2015"	"2015"	"Michigan"	"26"	"White"	"2106-3"	85125
	"< 1 year"	"0"	"2015"	"2015"	"Minnesota"	"27"	"White"	"2106-3"	55653
	"< 1 year"	"0"	"2015"	"2015"	"Mississippi"	"28"	"White"	"2106-3"	19884
	"< 1 year"	"0"	"2015"	"2015"	"Missouri"	"29"	"White"	"2106-3"	59204
	"< 1 year"	"0"	"2015"	"2015"	"Montana"	"30"	"White"	"2106-3"	10751
	"< 1 year"	"0"	"2015"	"2015"	"Nebraska"	"31"	"White"	"2106-3"	23043
	"< 1 year"	"0"	"2015"	"2015"	"Nevada"	"32"	"White"	"2106-3"	26997
	"< 1 year"	"0"	"2015"	"2015"	"New Hampshire"	"33"	"White"	"2106-3"	11542
	"< 1 year"	"0"	"2015"	"2015"	"New Jersey"	"34"	"White"	"2106-3"	70646
	"< 1 year"	"0"	"2015"	"2015"	"New Mexico"	"35"	"White"	"2106-3"	20137
	"< 1 year"	"0"	"2015"	"2015"	"New York"	"36"	"White"	"2106-3"	157936
