"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"State"	"State Code"	"Race"	"Race Code"	Population
	"< 1 year"	"0"	"2008"	"2008"	"Alabama"	"01"	"White"	"2106-3"	43352
	"< 1 year"	"0"	"2008"	"2008"	"Alaska"	"02"	"White"	"2106-3"	6709
	"< 1 year"	"0"	"2008"	"2008"	"Arizona"	"04"	"White"	"2106-3"	77673
	"< 1 year"	"0"	"2008"	"2008"	"Arkansas"	"05"	"White"	"2106-3"	31644
	"< 1 year"	"0"	"2008"	"2008"	"California"	"06"	"White"	"2106-3"	413673
	"< 1 year"	"0"	"2008"	"2008"	"Colorado"	"08"	"White"	"2106-3"	59855
	"< 1 year"	"0"	"2008"	"2008"	"Connecticut"	"09"	"White"	"2106-3"	30613
	"< 1 year"	"0"	"2008"	"2008"	"Delaware"	"10"	"White"	"2106-3"	7469
	"< 1 year"	"0"	"2008"	"2008"	"District of Columbia"	"11"	"White"	"2106-3"	2568
	"< 1 year"	"0"	"2008"	"2008"	"Florida"	"12"	"White"	"2106-3"	155567
	"< 1 year"	"0"	"2008"	"2008"	"Georgia"	"13"	"White"	"2106-3"	87114
	"< 1 year"	"0"	"2008"	"2008"	"Hawaii"	"15"	"White"	"2106-3"	5531
	"< 1 year"	"0"	"2008"	"2008"	"Idaho"	"16"	"White"	"2106-3"	23300
	"< 1 year"	"0"	"2008"	"2008"	"Illinois"	"17"	"White"	"2106-3"	127193
	"< 1 year"	"0"	"2008"	"2008"	"Indiana"	"18"	"White"	"2106-3"	73636
	"< 1 year"	"0"	"2008"	"2008"	"Iowa"	"19"	"White"	"2106-3"	36316
	"< 1 year"	"0"	"2008"	"2008"	"Kansas"	"20"	"White"	"2106-3"	35290
	"< 1 year"	"0"	"2008"	"2008"	"Kentucky"	"21"	"White"	"2106-3"	50477
	"< 1 year"	"0"	"2008"	"2008"	"Louisiana"	"22"	"White"	"2106-3"	38878
	"< 1 year"	"0"	"2008"	"2008"	"Maine"	"23"	"White"	"2106-3"	12794
	"< 1 year"	"0"	"2008"	"2008"	"Maryland"	"24"	"White"	"2106-3"	42515
	"< 1 year"	"0"	"2008"	"2008"	"Massachusetts"	"25"	"White"	"2106-3"	57878
	"< 1 year"	"0"	"2008"	"2008"	"Michigan"	"26"	"White"	"2106-3"	91198
	"< 1 year"	"0"	"2008"	"2008"	"Minnesota"	"27"	"White"	"2106-3"	54569
	"< 1 year"	"0"	"2008"	"2008"	"Mississippi"	"28"	"White"	"2106-3"	24728
	"< 1 year"	"0"	"2008"	"2008"	"Missouri"	"29"	"White"	"2106-3"	63929
	"< 1 year"	"0"	"2008"	"2008"	"Montana"	"30"	"White"	"2106-3"	10338
	"< 1 year"	"0"	"2008"	"2008"	"Nebraska"	"31"	"White"	"2106-3"	21829
	"< 1 year"	"0"	"2008"	"2008"	"Nevada"	"32"	"White"	"2106-3"	30169
	"< 1 year"	"0"	"2008"	"2008"	"New Hampshire"	"33"	"White"	"2106-3"	12732
	"< 1 year"	"0"	"2008"	"2008"	"New Jersey"	"34"	"White"	"2106-3"	76374
	"< 1 year"	"0"	"2008"	"2008"	"New Mexico"	"35"	"White"	"2106-3"	23008
	"< 1 year"	"0"	"2008"	"2008"	"New York"	"36"	"White"	"2106-3"	167857
	"< 1 year"	"0"	"2008"	"2008"	"North Carolina"	"37"	"White"	"2106-3"	90827
	"< 1 year"	"0"	"2008"	"2008"	"North Dakota"	"38"	"White"	"2106-3"	7071
	"< 1 year"	"0"	"2008"	"2008"	"Ohio"	"39"	"White"	"2106-3"	113094
	"< 1 year"	"0"	"2008"	"2008"	"Oklahoma"	"40"	"White"	"2106-3"	38194
	"< 1 year"	"0"	"2008"	"2008"	"Oregon"	"41"	"White"	"2106-3"	42430
	"< 1 year"	"0"	"2008"	"2008"	"Pennsylvania"	"42"	"White"	"2106-3"	111194
	"< 1 year"	"0"	"2008"	"2008"	"Rhode Island"	"44"	"White"	"2106-3"	9479
	"< 1 year"	"0"	"2008"	"2008"	"South Carolina"	"45"	"White"	"2106-3"	39863
	"< 1 year"	"0"	"2008"	"2008"	"South Dakota"	"46"	"White"	"2106-3"	8768
	"< 1 year"	"0"	"2008"	"2008"	"Tennessee"	"47"	"White"	"2106-3"	62660
	"< 1 year"	"0"	"2008"	"2008"	"Texas"	"48"	"White"	"2106-3"	318894
	"< 1 year"	"0"	"2008"	"2008"	"Utah"	"49"	"White"	"2106-3"	48432
	"< 1 year"	"0"	"2008"	"2008"	"Vermont"	"50"	"White"	"2106-3"	6058
	"< 1 year"	"0"	"2008"	"2008"	"Virginia"	"51"	"White"	"2106-3"	72716
	"< 1 year"	"0"	"2008"	"2008"	"Washington"	"53"	"White"	"2106-3"	70219
