"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"State"	"State Code"	"Race"	"Race Code"	Population
	"< 1 year"	"0"	"2006"	"2006"	"Alabama"	"01"	"Black or African American"	"2054-5"	17767
	"< 1 year"	"0"	"2006"	"2006"	"Alaska"	"02"	"Black or African American"	"2054-5"	498
	"< 1 year"	"0"	"2006"	"2006"	"Arizona"	"04"	"Black or African American"	"2054-5"	4463
	"< 1 year"	"0"	"2006"	"2006"	"Arkansas"	"05"	"Black or African American"	"2054-5"	7260
	"< 1 year"	"0"	"2006"	"2006"	"California"	"06"	"Black or African American"	"2054-5"	31868
	"< 1 year"	"0"	"2006"	"2006"	"Colorado"	"08"	"Black or African American"	"2054-5"	3351
	"< 1 year"	"0"	"2006"	"2006"	"Connecticut"	"09"	"Black or African American"	"2054-5"	4892
	"< 1 year"	"0"	"2006"	"2006"	"Delaware"	"10"	"Black or African American"	"2054-5"	2960
	"< 1 year"	"0"	"2006"	"2006"	"District of Columbia"	"11"	"Black or African American"	"2054-5"	4291
	"< 1 year"	"0"	"2006"	"2006"	"Florida"	"12"	"Black or African American"	"2054-5"	48991
	"< 1 year"	"0"	"2006"	"2006"	"Georgia"	"13"	"Black or African American"	"2054-5"	44554
	"< 1 year"	"0"	"2006"	"2006"	"Hawaii"	"15"	"Black or African American"	"2054-5"	523
	"< 1 year"	"0"	"2006"	"2006"	"Idaho"	"16"	"Black or African American"	"2054-5"	273
	"< 1 year"	"0"	"2006"	"2006"	"Illinois"	"17"	"Black or African American"	"2054-5"	28996
	"< 1 year"	"0"	"2006"	"2006"	"Indiana"	"18"	"Black or African American"	"2054-5"	11143
	"< 1 year"	"0"	"2006"	"2006"	"Iowa"	"19"	"Black or African American"	"2054-5"	2603
	"< 1 year"	"0"	"2006"	"2006"	"Kansas"	"20"	"Black or African American"	"2054-5"	3344
	"< 1 year"	"0"	"2006"	"2006"	"Kentucky"	"21"	"Black or African American"	"2054-5"	5779
	"< 1 year"	"0"	"2006"	"2006"	"Louisiana"	"22"	"Black or African American"	"2054-5"	18625
	"< 1 year"	"0"	"2006"	"2006"	"Maine"	"23"	"Black or African American"	"2054-5"	539
	"< 1 year"	"0"	"2006"	"2006"	"Maryland"	"24"	"Black or African American"	"2054-5"	23843
	"< 1 year"	"0"	"2006"	"2006"	"Massachusetts"	"25"	"Black or African American"	"2054-5"	7429
	"< 1 year"	"0"	"2006"	"2006"	"Michigan"	"26"	"Black or African American"	"2054-5"	22552
	"< 1 year"	"0"	"2006"	"2006"	"Minnesota"	"27"	"Black or African American"	"2054-5"	7739
	"< 1 year"	"0"	"2006"	"2006"	"Mississippi"	"28"	"Black or African American"	"2054-5"	17989
	"< 1 year"	"0"	"2006"	"2006"	"Missouri"	"29"	"Black or African American"	"2054-5"	12231
	"< 1 year"	"0"	"2006"	"2006"	"Montana"	"30"	"Black or African American"	"2054-5"	167
	"< 1 year"	"0"	"2006"	"2006"	"Nebraska"	"31"	"Black or African American"	"2054-5"	1979
	"< 1 year"	"0"	"2006"	"2006"	"Nevada"	"32"	"Black or African American"	"2054-5"	3729
	"< 1 year"	"0"	"2006"	"2006"	"New Hampshire"	"33"	"Black or African American"	"2054-5"	400
	"< 1 year"	"0"	"2006"	"2006"	"New Jersey"	"34"	"Black or African American"	"2054-5"	15161
	"< 1 year"	"0"	"2006"	"2006"	"New Mexico"	"35"	"Black or African American"	"2054-5"	629
	"< 1 year"	"0"	"2006"	"2006"	"New York"	"36"	"Black or African American"	"2054-5"	37592
	"< 1 year"	"0"	"2006"	"2006"	"North Carolina"	"37"	"Black or African American"	"2054-5"	28367
	"< 1 year"	"0"	"2006"	"2006"	"North Dakota"	"38"	"Black or African American"	"2054-5"	224
	"< 1 year"	"0"	"2006"	"2006"	"Ohio"	"39"	"Black or African American"	"2054-5"	25209
	"< 1 year"	"0"	"2006"	"2006"	"Oklahoma"	"40"	"Black or African American"	"2054-5"	5109
	"< 1 year"	"0"	"2006"	"2006"	"Oregon"	"41"	"Black or African American"	"2054-5"	1515
	"< 1 year"	"0"	"2006"	"2006"	"Pennsylvania"	"42"	"Black or African American"	"2054-5"	21909
	"< 1 year"	"0"	"2006"	"2006"	"Rhode Island"	"44"	"Black or African American"	"2054-5"	1289
	"< 1 year"	"0"	"2006"	"2006"	"South Carolina"	"45"	"Black or African American"	"2054-5"	18966
	"< 1 year"	"0"	"2006"	"2006"	"South Dakota"	"46"	"Black or African American"	"2054-5"	378
