"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"State"	"State Code"	"Race"	"Race Code"	Population
	"< 1 year"	"0"	"2003"	"2003"	"Alabama"	"01"	"Asian or Pacific Islander"	"A-PI"	545
	"< 1 year"	"0"	"2003"	"2003"	"Alaska"	"02"	"Asian or Pacific Islander"	"A-PI"	510
	"< 1 year"	"0"	"2003"	"2003"	"Arizona"	"04"	"Asian or Pacific Islander"	"A-PI"	1881
	"< 1 year"	"0"	"2003"	"2003"	"Arkansas"	"05"	"Asian or Pacific Islander"	"A-PI"	542
	"< 1 year"	"0"	"2003"	"2003"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	57027
	"< 1 year"	"0"	"2003"	"2003"	"Colorado"	"08"	"Asian or Pacific Islander"	"A-PI"	1885
	"< 1 year"	"0"	"2003"	"2003"	"Connecticut"	"09"	"Asian or Pacific Islander"	"A-PI"	1864
	"< 1 year"	"0"	"2003"	"2003"	"Delaware"	"10"	"Asian or Pacific Islander"	"A-PI"	476
	"< 1 year"	"0"	"2003"	"2003"	"District of Columbia"	"11"	"Asian or Pacific Islander"	"A-PI"	153
	"< 1 year"	"0"	"2003"	"2003"	"Florida"	"12"	"Asian or Pacific Islander"	"A-PI"	4830
	"< 1 year"	"0"	"2003"	"2003"	"Georgia"	"13"	"Asian or Pacific Islander"	"A-PI"	3999
	"< 1 year"	"0"	"2003"	"2003"	"Hawaii"	"15"	"Asian or Pacific Islander"	"A-PI"	9088
	"< 1 year"	"0"	"2003"	"2003"	"Idaho"	"16"	"Asian or Pacific Islander"	"A-PI"	253
	"< 1 year"	"0"	"2003"	"2003"	"Illinois"	"17"	"Asian or Pacific Islander"	"A-PI"	8128
	"< 1 year"	"0"	"2003"	"2003"	"Indiana"	"18"	"Asian or Pacific Islander"	"A-PI"	1324
	"< 1 year"	"0"	"2003"	"2003"	"Iowa"	"19"	"Asian or Pacific Islander"	"A-PI"	816
	"< 1 year"	"0"	"2003"	"2003"	"Kansas"	"20"	"Asian or Pacific Islander"	"A-PI"	1017
	"< 1 year"	"0"	"2003"	"2003"	"Kentucky"	"21"	"Asian or Pacific Islander"	"A-PI"	649
	"< 1 year"	"0"	"2003"	"2003"	"Louisiana"	"22"	"Asian or Pacific Islander"	"A-PI"	991
	"< 1 year"	"0"	"2003"	"2003"	"Maine"	"23"	"Asian or Pacific Islander"	"A-PI"	192
	"< 1 year"	"0"	"2003"	"2003"	"Maryland"	"24"	"Asian or Pacific Islander"	"A-PI"	3889
	"< 1 year"	"0"	"2003"	"2003"	"Massachusetts"	"25"	"Asian or Pacific Islander"	"A-PI"	4809
	"< 1 year"	"0"	"2003"	"2003"	"Michigan"	"26"	"Asian or Pacific Islander"	"A-PI"	4153
	"< 1 year"	"0"	"2003"	"2003"	"Minnesota"	"27"	"Asian or Pacific Islander"	"A-PI"	3465
	"< 1 year"	"0"	"2003"	"2003"	"Mississippi"	"28"	"Asian or Pacific Islander"	"A-PI"	241
	"< 1 year"	"0"	"2003"	"2003"	"Missouri"	"29"	"Asian or Pacific Islander"	"A-PI"	1427
	"< 1 year"	"0"	"2003"	"2003"	"Montana"	"30"	"Asian or Pacific Islander"	"A-PI"	70
	"< 1 year"	"0"	"2003"	"2003"	"Nebraska"	"31"	"Asian or Pacific Islander"	"A-PI"	491
	"< 1 year"	"0"	"2003"	"2003"	"Nevada"	"32"	"Asian or Pacific Islander"	"A-PI"	1779
	"< 1 year"	"0"	"2003"	"2003"	"New Hampshire"	"33"	"Asian or Pacific Islander"	"A-PI"	542
	"< 1 year"	"0"	"2003"	"2003"	"New Jersey"	"34"	"Asian or Pacific Islander"	"A-PI"	10275
	"< 1 year"	"0"	"2003"	"2003"	"New Mexico"	"35"	"Asian or Pacific Islander"	"A-PI"	293
	"< 1 year"	"0"	"2003"	"2003"	"New York"	"36"	"Asian or Pacific Islander"	"A-PI"	18529
	"< 1 year"	"0"	"2003"	"2003"	"North Carolina"	"37"	"Asian or Pacific Islander"	"A-PI"	2833
	"< 1 year"	"0"	"2003"	"2003"	"North Dakota"	"38"	"Asian or Pacific Islander"	"A-PI"	70
	"< 1 year"	"0"	"2003"	"2003"	"Ohio"	"39"	"Asian or Pacific Islander"	"A-PI"	2805
	"< 1 year"	"0"	"2003"	"2003"	"Oklahoma"	"40"	"Asian or Pacific Islander"	"A-PI"	914
	"< 1 year"	"0"	"2003"	"2003"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	1936
	"< 1 year"	"0"	"2003"	"2003"	"Pennsylvania"	"42"	"Asian or Pacific Islander"	"A-PI"	4555
	"< 1 year"	"0"	"2003"	"2003"	"Rhode Island"	"44"	"Asian or Pacific Islander"	"A-PI"	485
	"< 1 year"	"0"	"2003"	"2003"	"South Carolina"	"45"	"Asian or Pacific Islander"	"A-PI"	753
	"< 1 year"	"0"	"2003"	"2003"	"South Dakota"	"46"	"Asian or Pacific Islander"	"A-PI"	105
	"< 1 year"	"0"	"2003"	"2003"	"Tennessee"	"47"	"Asian or Pacific Islander"	"A-PI"	1291
	"< 1 year"	"0"	"2003"	"2003"	"Texas"	"48"	"Asian or Pacific Islander"	"A-PI"	12197
	"< 1 year"	"0"	"2003"	"2003"	"Utah"	"49"	"Asian or Pacific Islander"	"A-PI"	1228
	"< 1 year"	"0"	"2003"	"2003"	"Vermont"	"50"	"Asian or Pacific Islander"	"A-PI"	86
	"< 1 year"	"0"	"2003"	"2003"	"Virginia"	"51"	"Asian or Pacific Islander"	"A-PI"	5612
	"< 1 year"	"0"	"2003"	"2003"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	5967
	"< 1 year"	"0"	"2003"	"2003"	"West Virginia"	"54"	"Asian or Pacific Islander"	"A-PI"	128
	"< 1 year"	"0"	"2003"	"2003"	"Wisconsin"	"55"	"Asian or Pacific Islander"	"A-PI"	2236
	"< 1 year"	"0"	"2003"	"2003"	"Wyoming"	"56"	"Asian or Pacific Islander"	"A-PI"	49
	"1 year"	"1"	"2003"	"2003"	"Alabama"	"01"	"Asian or Pacific Islander"	"A-PI"	514
	"1 year"	"1"	"2003"	"2003"	"Alaska"	"02"	"Asian or Pacific Islander"	"A-PI"	465
	"1 year"	"1"	"2003"	"2003"	"Arizona"	"04"	"Asian or Pacific Islander"	"A-PI"	1877
	"1 year"	"1"	"2003"	"2003"	"Arkansas"	"05"	"Asian or Pacific Islander"	"A-PI"	538
	"1 year"	"1"	"2003"	"2003"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	55265
	"1 year"	"1"	"2003"	"2003"	"Colorado"	"08"	"Asian or Pacific Islander"	"A-PI"	1961
	"1 year"	"1"	"2003"	"2003"	"Connecticut"	"09"	"Asian or Pacific Islander"	"A-PI"	1880
	"1 year"	"1"	"2003"	"2003"	"Delaware"	"10"	"Asian or Pacific Islander"	"A-PI"	357
	"1 year"	"1"	"2003"	"2003"	"District of Columbia"	"11"	"Asian or Pacific Islander"	"A-PI"	185
	"1 year"	"1"	"2003"	"2003"	"Florida"	"12"	"Asian or Pacific Islander"	"A-PI"	4975
	"1 year"	"1"	"2003"	"2003"	"Georgia"	"13"	"Asian or Pacific Islander"	"A-PI"	4075
	"1 year"	"1"	"2003"	"2003"	"Hawaii"	"15"	"Asian or Pacific Islander"	"A-PI"	8730
	"1 year"	"1"	"2003"	"2003"	"Idaho"	"16"	"Asian or Pacific Islander"	"A-PI"	278
	"1 year"	"1"	"2003"	"2003"	"Illinois"	"17"	"Asian or Pacific Islander"	"A-PI"	7600
	"1 year"	"1"	"2003"	"2003"	"Indiana"	"18"	"Asian or Pacific Islander"	"A-PI"	1343
	"1 year"	"1"	"2003"	"2003"	"Iowa"	"19"	"Asian or Pacific Islander"	"A-PI"	837
	"1 year"	"1"	"2003"	"2003"	"Kansas"	"20"	"Asian or Pacific Islander"	"A-PI"	975
	"1 year"	"1"	"2003"	"2003"	"Kentucky"	"21"	"Asian or Pacific Islander"	"A-PI"	738
	"1 year"	"1"	"2003"	"2003"	"Louisiana"	"22"	"Asian or Pacific Islander"	"A-PI"	983
	"1 year"	"1"	"2003"	"2003"	"Maine"	"23"	"Asian or Pacific Islander"	"A-PI"	186
	"1 year"	"1"	"2003"	"2003"	"Maryland"	"24"	"Asian or Pacific Islander"	"A-PI"	3557
	"1 year"	"1"	"2003"	"2003"	"Massachusetts"	"25"	"Asian or Pacific Islander"	"A-PI"	4804
	"1 year"	"1"	"2003"	"2003"	"Michigan"	"26"	"Asian or Pacific Islander"	"A-PI"	3895
	"1 year"	"1"	"2003"	"2003"	"Minnesota"	"27"	"Asian or Pacific Islander"	"A-PI"	3635
	"1 year"	"1"	"2003"	"2003"	"Mississippi"	"28"	"Asian or Pacific Islander"	"A-PI"	357
	"1 year"	"1"	"2003"	"2003"	"Missouri"	"29"	"Asian or Pacific Islander"	"A-PI"	1396
	"1 year"	"1"	"2003"	"2003"	"Montana"	"30"	"Asian or Pacific Islander"	"A-PI"	78
	"1 year"	"1"	"2003"	"2003"	"Nebraska"	"31"	"Asian or Pacific Islander"	"A-PI"	516
	"1 year"	"1"	"2003"	"2003"	"Nevada"	"32"	"Asian or Pacific Islander"	"A-PI"	1804
	"1 year"	"1"	"2003"	"2003"	"New Hampshire"	"33"	"Asian or Pacific Islander"	"A-PI"	489
	"1 year"	"1"	"2003"	"2003"	"New Jersey"	"34"	"Asian or Pacific Islander"	"A-PI"	9757
	"1 year"	"1"	"2003"	"2003"	"New Mexico"	"35"	"Asian or Pacific Islander"	"A-PI"	346
	"1 year"	"1"	"2003"	"2003"	"New York"	"36"	"Asian or Pacific Islander"	"A-PI"	17193
	"1 year"	"1"	"2003"	"2003"	"North Carolina"	"37"	"Asian or Pacific Islander"	"A-PI"	2793
	"1 year"	"1"	"2003"	"2003"	"North Dakota"	"38"	"Asian or Pacific Islander"	"A-PI"	73
	"1 year"	"1"	"2003"	"2003"	"Ohio"	"39"	"Asian or Pacific Islander"	"A-PI"	2695
	"1 year"	"1"	"2003"	"2003"	"Oklahoma"	"40"	"Asian or Pacific Islander"	"A-PI"	885
	"1 year"	"1"	"2003"	"2003"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	2016
	"1 year"	"1"	"2003"	"2003"	"Pennsylvania"	"42"	"Asian or Pacific Islander"	"A-PI"	4161
	"1 year"	"1"	"2003"	"2003"	"Rhode Island"	"44"	"Asian or Pacific Islander"	"A-PI"	474
	"1 year"	"1"	"2003"	"2003"	"South Carolina"	"45"	"Asian or Pacific Islander"	"A-PI"	742
	"1 year"	"1"	"2003"	"2003"	"South Dakota"	"46"	"Asian or Pacific Islander"	"A-PI"	127
	"1 year"	"1"	"2003"	"2003"	"Tennessee"	"47"	"Asian or Pacific Islander"	"A-PI"	1266
	"1 year"	"1"	"2003"	"2003"	"Texas"	"48"	"Asian or Pacific Islander"	"A-PI"	11842
	"1 year"	"1"	"2003"	"2003"	"Utah"	"49"	"Asian or Pacific Islander"	"A-PI"	1242
	"1 year"	"1"	"2003"	"2003"	"Vermont"	"50"	"Asian or Pacific Islander"	"A-PI"	111
	"1 year"	"1"	"2003"	"2003"	"Virginia"	"51"	"Asian or Pacific Islander"	"A-PI"	5427
	"1 year"	"1"	"2003"	"2003"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	5941
	"1 year"	"1"	"2003"	"2003"	"West Virginia"	"54"	"Asian or Pacific Islander"	"A-PI"	152
	"1 year"	"1"	"2003"	"2003"	"Wisconsin"	"55"	"Asian or Pacific Islander"	"A-PI"	2194
	"1 year"	"1"	"2003"	"2003"	"Wyoming"	"56"	"Asian or Pacific Islander"	"A-PI"	69
	"2 years"	"2"	"2003"	"2003"	"Alabama"	"01"	"Asian or Pacific Islander"	"A-PI"	567
	"2 years"	"2"	"2003"	"2003"	"Alaska"	"02"	"Asian or Pacific Islander"	"A-PI"	437
	"2 years"	"2"	"2003"	"2003"	"Arizona"	"04"	"Asian or Pacific Islander"	"A-PI"	1989
	"2 years"	"2"	"2003"	"2003"	"Arkansas"	"05"	"Asian or Pacific Islander"	"A-PI"	481
	"2 years"	"2"	"2003"	"2003"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	58267
	"2 years"	"2"	"2003"	"2003"	"Colorado"	"08"	"Asian or Pacific Islander"	"A-PI"	2099
	"2 years"	"2"	"2003"	"2003"	"Connecticut"	"09"	"Asian or Pacific Islander"	"A-PI"	1852
	"2 years"	"2"	"2003"	"2003"	"Delaware"	"10"	"Asian or Pacific Islander"	"A-PI"	406
	"2 years"	"2"	"2003"	"2003"	"District of Columbia"	"11"	"Asian or Pacific Islander"	"A-PI"	167
	"2 years"	"2"	"2003"	"2003"	"Florida"	"12"	"Asian or Pacific Islander"	"A-PI"	5379
	"2 years"	"2"	"2003"	"2003"	"Georgia"	"13"	"Asian or Pacific Islander"	"A-PI"	3880
	"2 years"	"2"	"2003"	"2003"	"Hawaii"	"15"	"Asian or Pacific Islander"	"A-PI"	8904
	"2 years"	"2"	"2003"	"2003"	"Idaho"	"16"	"Asian or Pacific Islander"	"A-PI"	257
	"2 years"	"2"	"2003"	"2003"	"Illinois"	"17"	"Asian or Pacific Islander"	"A-PI"	7840
	"2 years"	"2"	"2003"	"2003"	"Indiana"	"18"	"Asian or Pacific Islander"	"A-PI"	1385
	"2 years"	"2"	"2003"	"2003"	"Iowa"	"19"	"Asian or Pacific Islander"	"A-PI"	752
	"2 years"	"2"	"2003"	"2003"	"Kansas"	"20"	"Asian or Pacific Islander"	"A-PI"	1000
	"2 years"	"2"	"2003"	"2003"	"Kentucky"	"21"	"Asian or Pacific Islander"	"A-PI"	674
	"2 years"	"2"	"2003"	"2003"	"Louisiana"	"22"	"Asian or Pacific Islander"	"A-PI"	961
	"2 years"	"2"	"2003"	"2003"	"Maine"	"23"	"Asian or Pacific Islander"	"A-PI"	206
	"2 years"	"2"	"2003"	"2003"	"Maryland"	"24"	"Asian or Pacific Islander"	"A-PI"	3892
	"2 years"	"2"	"2003"	"2003"	"Massachusetts"	"25"	"Asian or Pacific Islander"	"A-PI"	4897
	"2 years"	"2"	"2003"	"2003"	"Michigan"	"26"	"Asian or Pacific Islander"	"A-PI"	3839
	"2 years"	"2"	"2003"	"2003"	"Minnesota"	"27"	"Asian or Pacific Islander"	"A-PI"	3508
	"2 years"	"2"	"2003"	"2003"	"Mississippi"	"28"	"Asian or Pacific Islander"	"A-PI"	366
	"2 years"	"2"	"2003"	"2003"	"Missouri"	"29"	"Asian or Pacific Islander"	"A-PI"	1434
	"2 years"	"2"	"2003"	"2003"	"Montana"	"30"	"Asian or Pacific Islander"	"A-PI"	96
	"2 years"	"2"	"2003"	"2003"	"Nebraska"	"31"	"Asian or Pacific Islander"	"A-PI"	525
	"2 years"	"2"	"2003"	"2003"	"Nevada"	"32"	"Asian or Pacific Islander"	"A-PI"	1820
	"2 years"	"2"	"2003"	"2003"	"New Hampshire"	"33"	"Asian or Pacific Islander"	"A-PI"	459
	"2 years"	"2"	"2003"	"2003"	"New Jersey"	"34"	"Asian or Pacific Islander"	"A-PI"	9954
	"2 years"	"2"	"2003"	"2003"	"New Mexico"	"35"	"Asian or Pacific Islander"	"A-PI"	348
	"2 years"	"2"	"2003"	"2003"	"New York"	"36"	"Asian or Pacific Islander"	"A-PI"	17316
	"2 years"	"2"	"2003"	"2003"	"North Carolina"	"37"	"Asian or Pacific Islander"	"A-PI"	2804
	"2 years"	"2"	"2003"	"2003"	"North Dakota"	"38"	"Asian or Pacific Islander"	"A-PI"	89
	"2 years"	"2"	"2003"	"2003"	"Ohio"	"39"	"Asian or Pacific Islander"	"A-PI"	2852
	"2 years"	"2"	"2003"	"2003"	"Oklahoma"	"40"	"Asian or Pacific Islander"	"A-PI"	916
	"2 years"	"2"	"2003"	"2003"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	2139
	"2 years"	"2"	"2003"	"2003"	"Pennsylvania"	"42"	"Asian or Pacific Islander"	"A-PI"	4319
	"2 years"	"2"	"2003"	"2003"	"Rhode Island"	"44"	"Asian or Pacific Islander"	"A-PI"	457
	"2 years"	"2"	"2003"	"2003"	"South Carolina"	"45"	"Asian or Pacific Islander"	"A-PI"	728
	"2 years"	"2"	"2003"	"2003"	"South Dakota"	"46"	"Asian or Pacific Islander"	"A-PI"	121
	"2 years"	"2"	"2003"	"2003"	"Tennessee"	"47"	"Asian or Pacific Islander"	"A-PI"	1311
	"2 years"	"2"	"2003"	"2003"	"Texas"	"48"	"Asian or Pacific Islander"	"A-PI"	12018
	"2 years"	"2"	"2003"	"2003"	"Utah"	"49"	"Asian or Pacific Islander"	"A-PI"	1255
	"2 years"	"2"	"2003"	"2003"	"Vermont"	"50"	"Asian or Pacific Islander"	"A-PI"	116
	"2 years"	"2"	"2003"	"2003"	"Virginia"	"51"	"Asian or Pacific Islander"	"A-PI"	5266
	"2 years"	"2"	"2003"	"2003"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	6221
	"2 years"	"2"	"2003"	"2003"	"West Virginia"	"54"	"Asian or Pacific Islander"	"A-PI"	150
	"2 years"	"2"	"2003"	"2003"	"Wisconsin"	"55"	"Asian or Pacific Islander"	"A-PI"	2329
	"2 years"	"2"	"2003"	"2003"	"Wyoming"	"56"	"Asian or Pacific Islander"	"A-PI"	53
	"3 years"	"3"	"2003"	"2003"	"Alabama"	"01"	"Asian or Pacific Islander"	"A-PI"	663
	"3 years"	"3"	"2003"	"2003"	"Alaska"	"02"	"Asian or Pacific Islander"	"A-PI"	568
	"3 years"	"3"	"2003"	"2003"	"Arizona"	"04"	"Asian or Pacific Islander"	"A-PI"	1839
	"3 years"	"3"	"2003"	"2003"	"Arkansas"	"05"	"Asian or Pacific Islander"	"A-PI"	497
	"3 years"	"3"	"2003"	"2003"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	52151
	"3 years"	"3"	"2003"	"2003"	"Colorado"	"08"	"Asian or Pacific Islander"	"A-PI"	1935
	"3 years"	"3"	"2003"	"2003"	"Connecticut"	"09"	"Asian or Pacific Islander"	"A-PI"	1818
	"3 years"	"3"	"2003"	"2003"	"Delaware"	"10"	"Asian or Pacific Islander"	"A-PI"	323
	"3 years"	"3"	"2003"	"2003"	"District of Columbia"	"11"	"Asian or Pacific Islander"	"A-PI"	183
	"3 years"	"3"	"2003"	"2003"	"Florida"	"12"	"Asian or Pacific Islander"	"A-PI"	4943
	"3 years"	"3"	"2003"	"2003"	"Georgia"	"13"	"Asian or Pacific Islander"	"A-PI"	3456
	"3 years"	"3"	"2003"	"2003"	"Hawaii"	"15"	"Asian or Pacific Islander"	"A-PI"	8780
	"3 years"	"3"	"2003"	"2003"	"Idaho"	"16"	"Asian or Pacific Islander"	"A-PI"	245
	"3 years"	"3"	"2003"	"2003"	"Illinois"	"17"	"Asian or Pacific Islander"	"A-PI"	7075
