"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"State"	"State Code"	"Race"	"Race Code"	Population
	"< 1 year"	"0"	"2001"	"2001"	"Alabama"	"01"	"Asian or Pacific Islander"	"A-PI"	503
	"< 1 year"	"0"	"2001"	"2001"	"Alaska"	"02"	"Asian or Pacific Islander"	"A-PI"	407
	"< 1 year"	"0"	"2001"	"2001"	"Arizona"	"04"	"Asian or Pacific Islander"	"A-PI"	1712
	"< 1 year"	"0"	"2001"	"2001"	"Arkansas"	"05"	"Asian or Pacific Islander"	"A-PI"	446
	"< 1 year"	"0"	"2001"	"2001"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	56863
	"< 1 year"	"0"	"2001"	"2001"	"Colorado"	"08"	"Asian or Pacific Islander"	"A-PI"	1872
	"< 1 year"	"0"	"2001"	"2001"	"Connecticut"	"09"	"Asian or Pacific Islander"	"A-PI"	1663
	"< 1 year"	"0"	"2001"	"2001"	"Delaware"	"10"	"Asian or Pacific Islander"	"A-PI"	352
	"< 1 year"	"0"	"2001"	"2001"	"District of Columbia"	"11"	"Asian or Pacific Islander"	"A-PI"	161
	"< 1 year"	"0"	"2001"	"2001"	"Florida"	"12"	"Asian or Pacific Islander"	"A-PI"	4588
	"< 1 year"	"0"	"2001"	"2001"	"Georgia"	"13"	"Asian or Pacific Islander"	"A-PI"	3542
	"< 1 year"	"0"	"2001"	"2001"	"Hawaii"	"15"	"Asian or Pacific Islander"	"A-PI"	9098
	"< 1 year"	"0"	"2001"	"2001"	"Idaho"	"16"	"Asian or Pacific Islander"	"A-PI"	230
	"< 1 year"	"0"	"2001"	"2001"	"Illinois"	"17"	"Asian or Pacific Islander"	"A-PI"	7619
	"< 1 year"	"0"	"2001"	"2001"	"Indiana"	"18"	"Asian or Pacific Islander"	"A-PI"	1141
	"< 1 year"	"0"	"2001"	"2001"	"Iowa"	"19"	"Asian or Pacific Islander"	"A-PI"	687
	"< 1 year"	"0"	"2001"	"2001"	"Kansas"	"20"	"Asian or Pacific Islander"	"A-PI"	917
	"< 1 year"	"0"	"2001"	"2001"	"Kentucky"	"21"	"Asian or Pacific Islander"	"A-PI"	594
	"< 1 year"	"0"	"2001"	"2001"	"Louisiana"	"22"	"Asian or Pacific Islander"	"A-PI"	902
	"< 1 year"	"0"	"2001"	"2001"	"Maine"	"23"	"Asian or Pacific Islander"	"A-PI"	174
	"< 1 year"	"0"	"2001"	"2001"	"Maryland"	"24"	"Asian or Pacific Islander"	"A-PI"	3529
	"< 1 year"	"0"	"2001"	"2001"	"Massachusetts"	"25"	"Asian or Pacific Islander"	"A-PI"	4673
	"< 1 year"	"0"	"2001"	"2001"	"Michigan"	"26"	"Asian or Pacific Islander"	"A-PI"	3614
	"< 1 year"	"0"	"2001"	"2001"	"Minnesota"	"27"	"Asian or Pacific Islander"	"A-PI"	3319
	"< 1 year"	"0"	"2001"	"2001"	"Mississippi"	"28"	"Asian or Pacific Islander"	"A-PI"	340
	"< 1 year"	"0"	"2001"	"2001"	"Missouri"	"29"	"Asian or Pacific Islander"	"A-PI"	1307
	"< 1 year"	"0"	"2001"	"2001"	"Montana"	"30"	"Asian or Pacific Islander"	"A-PI"	74
	"< 1 year"	"0"	"2001"	"2001"	"Nebraska"	"31"	"Asian or Pacific Islander"	"A-PI"	493
	"< 1 year"	"0"	"2001"	"2001"	"Nevada"	"32"	"Asian or Pacific Islander"	"A-PI"	1580
	"< 1 year"	"0"	"2001"	"2001"	"New Hampshire"	"33"	"Asian or Pacific Islander"	"A-PI"	412
	"< 1 year"	"0"	"2001"	"2001"	"New Jersey"	"34"	"Asian or Pacific Islander"	"A-PI"	9428
	"< 1 year"	"0"	"2001"	"2001"	"New Mexico"	"35"	"Asian or Pacific Islander"	"A-PI"	297
	"< 1 year"	"0"	"2001"	"2001"	"New York"	"36"	"Asian or Pacific Islander"	"A-PI"	17991
	"< 1 year"	"0"	"2001"	"2001"	"North Carolina"	"37"	"Asian or Pacific Islander"	"A-PI"	2612
	"< 1 year"	"0"	"2001"	"2001"	"North Dakota"	"38"	"Asian or Pacific Islander"	"A-PI"	66
