"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"State"	"State Code"	"Race"	"Race Code"	Population
	"< 1 year"	"0"	"2009"	"2009"	"Alabama"	"01"	"Asian or Pacific Islander"	"A-PI"	776
	"< 1 year"	"0"	"2009"	"2009"	"Alaska"	"02"	"Asian or Pacific Islander"	"A-PI"	707
	"< 1 year"	"0"	"2009"	"2009"	"Arizona"	"04"	"Asian or Pacific Islander"	"A-PI"	2510
	"< 1 year"	"0"	"2009"	"2009"	"Arkansas"	"05"	"Asian or Pacific Islander"	"A-PI"	723
	"< 1 year"	"0"	"2009"	"2009"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	56606
	"< 1 year"	"0"	"2009"	"2009"	"Colorado"	"08"	"Asian or Pacific Islander"	"A-PI"	1860
	"< 1 year"	"0"	"2009"	"2009"	"Connecticut"	"09"	"Asian or Pacific Islander"	"A-PI"	2254
	"< 1 year"	"0"	"2009"	"2009"	"Delaware"	"10"	"Asian or Pacific Islander"	"A-PI"	499
	"< 1 year"	"0"	"2009"	"2009"	"District of Columbia"	"11"	"Asian or Pacific Islander"	"A-PI"	191
	"< 1 year"	"0"	"2009"	"2009"	"Florida"	"12"	"Asian or Pacific Islander"	"A-PI"	5672
	"< 1 year"	"0"	"2009"	"2009"	"Georgia"	"13"	"Asian or Pacific Islander"	"A-PI"	4881
	"< 1 year"	"0"	"2009"	"2009"	"Hawaii"	"15"	"Asian or Pacific Islander"	"A-PI"	9965
	"< 1 year"	"0"	"2009"	"2009"	"Idaho"	"16"	"Asian or Pacific Islander"	"A-PI"	273
	"< 1 year"	"0"	"2009"	"2009"	"Illinois"	"17"	"Asian or Pacific Islander"	"A-PI"	8717
	"< 1 year"	"0"	"2009"	"2009"	"Indiana"	"18"	"Asian or Pacific Islander"	"A-PI"	1756
	"< 1 year"	"0"	"2009"	"2009"	"Iowa"	"19"	"Asian or Pacific Islander"	"A-PI"	779
	"< 1 year"	"0"	"2009"	"2009"	"Kansas"	"20"	"Asian or Pacific Islander"	"A-PI"	1127
	"< 1 year"	"0"	"2009"	"2009"	"Kentucky"	"21"	"Asian or Pacific Islander"	"A-PI"	884
	"< 1 year"	"0"	"2009"	"2009"	"Louisiana"	"22"	"Asian or Pacific Islander"	"A-PI"	1096
	"< 1 year"	"0"	"2009"	"2009"	"Maine"	"23"	"Asian or Pacific Islander"	"A-PI"	192
	"< 1 year"	"0"	"2009"	"2009"	"Maryland"	"24"	"Asian or Pacific Islander"	"A-PI"	4605
	"< 1 year"	"0"	"2009"	"2009"	"Massachusetts"	"25"	"Asian or Pacific Islander"	"A-PI"	5241
	"< 1 year"	"0"	"2009"	"2009"	"Michigan"	"26"	"Asian or Pacific Islander"	"A-PI"	3679
	"< 1 year"	"0"	"2009"	"2009"	"Minnesota"	"27"	"Asian or Pacific Islander"	"A-PI"	4426
	"< 1 year"	"0"	"2009"	"2009"	"Mississippi"	"28"	"Asian or Pacific Islander"	"A-PI"	350
	"< 1 year"	"0"	"2009"	"2009"	"Missouri"	"29"	"Asian or Pacific Islander"	"A-PI"	1721
	"< 1 year"	"0"	"2009"	"2009"	"Montana"	"30"	"Asian or Pacific Islander"	"A-PI"	75
	"< 1 year"	"0"	"2009"	"2009"	"Nebraska"	"31"	"Asian or Pacific Islander"	"A-PI"	585
	"< 1 year"	"0"	"2009"	"2009"	"Nevada"	"32"	"Asian or Pacific Islander"	"A-PI"	2265
