"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"State"	"State Code"	"Race"	"Race Code"	Population
	"< 1 year"	"0"	"2006"	"2006"	"Alabama"	"01"	"Asian or Pacific Islander"	"A-PI"	730
	"< 1 year"	"0"	"2006"	"2006"	"Alaska"	"02"	"Asian or Pacific Islander"	"A-PI"	547
	"< 1 year"	"0"	"2006"	"2006"	"Arizona"	"04"	"Asian or Pacific Islander"	"A-PI"	2453
	"< 1 year"	"0"	"2006"	"2006"	"Arkansas"	"05"	"Asian or Pacific Islander"	"A-PI"	677
	"< 1 year"	"0"	"2006"	"2006"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	56427
	"< 1 year"	"0"	"2006"	"2006"	"Colorado"	"08"	"Asian or Pacific Islander"	"A-PI"	1795
	"< 1 year"	"0"	"2006"	"2006"	"Connecticut"	"09"	"Asian or Pacific Islander"	"A-PI"	2041
	"< 1 year"	"0"	"2006"	"2006"	"Delaware"	"10"	"Asian or Pacific Islander"	"A-PI"	438
	"< 1 year"	"0"	"2006"	"2006"	"District of Columbia"	"11"	"Asian or Pacific Islander"	"A-PI"	128
	"< 1 year"	"0"	"2006"	"2006"	"Florida"	"12"	"Asian or Pacific Islander"	"A-PI"	5420
	"< 1 year"	"0"	"2006"	"2006"	"Georgia"	"13"	"Asian or Pacific Islander"	"A-PI"	4854
	"< 1 year"	"0"	"2006"	"2006"	"Hawaii"	"15"	"Asian or Pacific Islander"	"A-PI"	9119
	"< 1 year"	"0"	"2006"	"2006"	"Idaho"	"16"	"Asian or Pacific Islander"	"A-PI"	244
	"< 1 year"	"0"	"2006"	"2006"	"Illinois"	"17"	"Asian or Pacific Islander"	"A-PI"	8469
	"< 1 year"	"0"	"2006"	"2006"	"Indiana"	"18"	"Asian or Pacific Islander"	"A-PI"	1517
	"< 1 year"	"0"	"2006"	"2006"	"Iowa"	"19"	"Asian or Pacific Islander"	"A-PI"	824
	"< 1 year"	"0"	"2006"	"2006"	"Kansas"	"20"	"Asian or Pacific Islander"	"A-PI"	950
	"< 1 year"	"0"	"2006"	"2006"	"Kentucky"	"21"	"Asian or Pacific Islander"	"A-PI"	853
	"< 1 year"	"0"	"2006"	"2006"	"Louisiana"	"22"	"Asian or Pacific Islander"	"A-PI"	761
	"< 1 year"	"0"	"2006"	"2006"	"Maine"	"23"	"Asian or Pacific Islander"	"A-PI"	187
	"< 1 year"	"0"	"2006"	"2006"	"Maryland"	"24"	"Asian or Pacific Islander"	"A-PI"	4181
	"< 1 year"	"0"	"2006"	"2006"	"Massachusetts"	"25"	"Asian or Pacific Islander"	"A-PI"	4812
	"< 1 year"	"0"	"2006"	"2006"	"Michigan"	"26"	"Asian or Pacific Islander"	"A-PI"	3908
	"< 1 year"	"0"	"2006"	"2006"	"Minnesota"	"27"	"Asian or Pacific Islander"	"A-PI"	4045
	"< 1 year"	"0"	"2006"	"2006"	"Mississippi"	"28"	"Asian or Pacific Islander"	"A-PI"	309
	"< 1 year"	"0"	"2006"	"2006"	"Missouri"	"29"	"Asian or Pacific Islander"	"A-PI"	1630
	"< 1 year"	"0"	"2006"	"2006"	"Montana"	"30"	"Asian or Pacific Islander"	"A-PI"	63
	"< 1 year"	"0"	"2006"	"2006"	"Nebraska"	"31"	"Asian or Pacific Islander"	"A-PI"	497
	"< 1 year"	"0"	"2006"	"2006"	"Nevada"	"32"	"Asian or Pacific Islander"	"A-PI"	2125
	"< 1 year"	"0"	"2006"	"2006"	"New Hampshire"	"33"	"Asian or Pacific Islander"	"A-PI"	630
	"< 1 year"	"0"	"2006"	"2006"	"New Jersey"	"34"	"Asian or Pacific Islander"	"A-PI"	10480
	"< 1 year"	"0"	"2006"	"2006"	"New Mexico"	"35"	"Asian or Pacific Islander"	"A-PI"	288
	"< 1 year"	"0"	"2006"	"2006"	"New York"	"36"	"Asian or Pacific Islander"	"A-PI"	18146
	"< 1 year"	"0"	"2006"	"2006"	"North Carolina"	"37"	"Asian or Pacific Islander"	"A-PI"	3470
	"< 1 year"	"0"	"2006"	"2006"	"North Dakota"	"38"	"Asian or Pacific Islander"	"A-PI"	82
	"< 1 year"	"0"	"2006"	"2006"	"Ohio"	"39"	"Asian or Pacific Islander"	"A-PI"	2873
	"< 1 year"	"0"	"2006"	"2006"	"Oklahoma"	"40"	"Asian or Pacific Islander"	"A-PI"	929
	"< 1 year"	"0"	"2006"	"2006"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	1859
