"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"State"	"State Code"	"Race"	"Race Code"	Population
	"< 1 year"	"0"	"2004"	"2004"	"Alabama"	"01"	"White"	"2106-3"	37100
	"< 1 year"	"0"	"2004"	"2004"	"Alaska"	"02"	"White"	"2106-3"	5631
	"< 1 year"	"0"	"2004"	"2004"	"Arizona"	"04"	"White"	"2106-3"	38588
	"< 1 year"	"0"	"2004"	"2004"	"Arkansas"	"05"	"White"	"2106-3"	25946
	"< 1 year"	"0"	"2004"	"2004"	"California"	"06"	"White"	"2106-3"	165016
	"< 1 year"	"0"	"2004"	"2004"	"Colorado"	"08"	"White"	"2106-3"	39518
	"< 1 year"	"0"	"2004"	"2004"	"Connecticut"	"09"	"White"	"2106-3"	26878
	"< 1 year"	"0"	"2004"	"2004"	"Delaware"	"10"	"White"	"2106-3"	6210
	"< 1 year"	"0"	"2004"	"2004"	"District of Columbia"	"11"	"White"	"2106-3"	1718
	"< 1 year"	"0"	"2004"	"2004"	"Florida"	"12"	"White"	"2106-3"	103554
	"< 1 year"	"0"	"2004"	"2004"	"Georgia"	"13"	"White"	"2106-3"	68627
	"< 1 year"	"0"	"2004"	"2004"	"Hawaii"	"15"	"White"	"2106-3"	4458
	"< 1 year"	"0"	"2004"	"2004"	"Idaho"	"16"	"White"	"2106-3"	17886
	"< 1 year"	"0"	"2004"	"2004"	"Illinois"	"17"	"White"	"2106-3"	94894
	"< 1 year"	"0"	"2004"	"2004"	"Indiana"	"18"	"White"	"2106-3"	65956
	"< 1 year"	"0"	"2004"	"2004"	"Iowa"	"19"	"White"	"2106-3"	31494
	"< 1 year"	"0"	"2004"	"2004"	"Kansas"	"20"	"White"	"2106-3"	27598
	"< 1 year"	"0"	"2004"	"2004"	"Kentucky"	"21"	"White"	"2106-3"	46025
	"< 1 year"	"0"	"2004"	"2004"	"Louisiana"	"22"	"White"	"2106-3"	34852
	"< 1 year"	"0"	"2004"	"2004"	"Maine"	"23"	"White"	"2106-3"	13040
	"< 1 year"	"0"	"2004"	"2004"	"Maryland"	"24"	"White"	"2106-3"	37551
	"< 1 year"	"0"	"2004"	"2004"	"Massachusetts"	"25"	"White"	"2106-3"	53507
	"< 1 year"	"0"	"2004"	"2004"	"Michigan"	"26"	"White"	"2106-3"	91813
	"< 1 year"	"0"	"2004"	"2004"	"Minnesota"	"27"	"White"	"2106-3"	51546
	"< 1 year"	"0"	"2004"	"2004"	"Mississippi"	"28"	"White"	"2106-3"	22629
	"< 1 year"	"0"	"2004"	"2004"	"Missouri"	"29"	"White"	"2106-3"	58292
	"< 1 year"	"0"	"2004"	"2004"	"Montana"	"30"	"White"	"2106-3"	9109
	"< 1 year"	"0"	"2004"	"2004"	"Nebraska"	"31"	"White"	"2106-3"	19148
	"< 1 year"	"0"	"2004"	"2004"	"Nevada"	"32"	"White"	"2106-3"	15918
	"< 1 year"	"0"	"2004"	"2004"	"New Hampshire"	"33"	"White"	"2106-3"	12901
	"< 1 year"	"0"	"2004"	"2004"	"New Jersey"	"34"	"White"	"2106-3"	60578
	"< 1 year"	"0"	"2004"	"2004"	"New Mexico"	"35"	"White"	"2106-3"	8120
	"< 1 year"	"0"	"2004"	"2004"	"New York"	"36"	"White"	"2106-3"	128707
