"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"State"	"State Code"	"Race"	"Race Code"	Population
	"< 1 year"	"0"	"2000"	"2000"	"Alabama"	"01"	"White"	"2106-3"	39784
	"< 1 year"	"0"	"2000"	"2000"	"Alaska"	"02"	"White"	"2106-3"	6169
	"< 1 year"	"0"	"2000"	"2000"	"Arizona"	"04"	"White"	"2106-3"	67581
	"< 1 year"	"0"	"2000"	"2000"	"Arkansas"	"05"	"White"	"2106-3"	28023
	"< 1 year"	"0"	"2000"	"2000"	"California"	"06"	"White"	"2106-3"	389846
	"< 1 year"	"0"	"2000"	"2000"	"Colorado"	"08"	"White"	"2106-3"	55220
	"< 1 year"	"0"	"2000"	"2000"	"Connecticut"	"09"	"White"	"2106-3"	35007
	"< 1 year"	"0"	"2000"	"2000"	"Delaware"	"10"	"White"	"2106-3"	7330
	"< 1 year"	"0"	"2000"	"2000"	"District of Columbia"	"11"	"White"	"2106-3"	1986
	"< 1 year"	"0"	"2000"	"2000"	"Florida"	"12"	"White"	"2106-3"	141763
	"< 1 year"	"0"	"2000"	"2000"	"Georgia"	"13"	"White"	"2106-3"	77586
	"< 1 year"	"0"	"2000"	"2000"	"Hawaii"	"15"	"White"	"2106-3"	4573
	"< 1 year"	"0"	"2000"	"2000"	"Idaho"	"16"	"White"	"2106-3"	19106
	"< 1 year"	"0"	"2000"	"2000"	"Illinois"	"17"	"White"	"2106-3"	135164
	"< 1 year"	"0"	"2000"	"2000"	"Indiana"	"18"	"White"	"2106-3"	73359
	"< 1 year"	"0"	"2000"	"2000"	"Iowa"	"19"	"White"	"2106-3"	35017
	"< 1 year"	"0"	"2000"	"2000"	"Kansas"	"20"	"White"	"2106-3"	33473
	"< 1 year"	"0"	"2000"	"2000"	"Kentucky"	"21"	"White"	"2106-3"	47391
	"< 1 year"	"0"	"2000"	"2000"	"Louisiana"	"22"	"White"	"2106-3"	37073
	"< 1 year"	"0"	"2000"	"2000"	"Maine"	"23"	"White"	"2106-3"	13082
	"< 1 year"	"0"	"2000"	"2000"	"Maryland"	"24"	"White"	"2106-3"	42784
	"< 1 year"	"0"	"2000"	"2000"	"Massachusetts"	"25"	"White"	"2106-3"	66977
	"< 1 year"	"0"	"2000"	"2000"	"Michigan"	"26"	"White"	"2106-3"	102608
	"< 1 year"	"0"	"2000"	"2000"	"Minnesota"	"27"	"White"	"2106-3"	56350
	"< 1 year"	"0"	"2000"	"2000"	"Mississippi"	"28"	"White"	"2106-3"	22396
	"< 1 year"	"0"	"2000"	"2000"	"Missouri"	"29"	"White"	"2106-3"	60929
	"< 1 year"	"0"	"2000"	"2000"	"Montana"	"30"	"White"	"2106-3"	9325
	"< 1 year"	"0"	"2000"	"2000"	"Nebraska"	"31"	"White"	"2106-3"	21245
	"< 1 year"	"0"	"2000"	"2000"	"Nevada"	"32"	"White"	"2106-3"	24790
	"< 1 year"	"0"	"2000"	"2000"	"New Hampshire"	"33"	"White"	"2106-3"	13512
	"< 1 year"	"0"	"2000"	"2000"	"New Jersey"	"34"	"White"	"2106-3"	83117
	"< 1 year"	"0"	"2000"	"2000"	"New Mexico"	"35"	"White"	"2106-3"	21878
	"< 1 year"	"0"	"2000"	"2000"	"New York"	"36"	"White"	"2106-3"	174753
	"< 1 year"	"0"	"2000"	"2000"	"North Carolina"	"37"	"White"	"2106-3"	78884
	"< 1 year"	"0"	"2000"	"2000"	"North Dakota"	"38"	"White"	"2106-3"	6739
	"< 1 year"	"0"	"2000"	"2000"	"Ohio"	"39"	"White"	"2106-3"	122205
	"< 1 year"	"0"	"2000"	"2000"	"Oklahoma"	"40"	"White"	"2106-3"	35347
	"< 1 year"	"0"	"2000"	"2000"	"Oregon"	"41"	"White"	"2106-3"	40256
	"< 1 year"	"0"	"2000"	"2000"	"Pennsylvania"	"42"	"White"	"2106-3"	117308
	"< 1 year"	"0"	"2000"	"2000"	"Rhode Island"	"44"	"White"	"2106-3"	10529
	"< 1 year"	"0"	"2000"	"2000"	"South Carolina"	"45"	"White"	"2106-3"	34296
	"< 1 year"	"0"	"2000"	"2000"	"South Dakota"	"46"	"White"	"2106-3"	8458
	"< 1 year"	"0"	"2000"	"2000"	"Tennessee"	"47"	"White"	"2106-3"	58109
	"< 1 year"	"0"	"2000"	"2000"	"Texas"	"48"	"White"	"2106-3"	281313
	"< 1 year"	"0"	"2000"	"2000"	"Utah"	"49"	"White"	"2106-3"	42573
	"< 1 year"	"0"	"2000"	"2000"	"Vermont"	"50"	"White"	"2106-3"	6210
	"< 1 year"	"0"	"2000"	"2000"	"Virginia"	"51"	"White"	"2106-3"	66553
	"< 1 year"	"0"	"2000"	"2000"	"Washington"	"53"	"White"	"2106-3"	66495
	"< 1 year"	"0"	"2000"	"2000"	"West Virginia"	"54"	"White"	"2106-3"	19103
	"< 1 year"	"0"	"2000"	"2000"	"Wisconsin"	"55"	"White"	"2106-3"	58208
	"< 1 year"	"0"	"2000"	"2000"	"Wyoming"	"56"	"White"	"2106-3"	5777
	"1 year"	"1"	"2000"	"2000"	"Alabama"	"01"	"White"	"2106-3"	39224
	"1 year"	"1"	"2000"	"2000"	"Alaska"	"02"	"White"	"2106-3"	6220
	"1 year"	"1"	"2000"	"2000"	"Arizona"	"04"	"White"	"2106-3"	65811
	"1 year"	"1"	"2000"	"2000"	"Arkansas"	"05"	"White"	"2106-3"	27556
	"1 year"	"1"	"2000"	"2000"	"California"	"06"	"White"	"2106-3"	383511
	"1 year"	"1"	"2000"	"2000"	"Colorado"	"08"	"White"	"2106-3"	53392
	"1 year"	"1"	"2000"	"2000"	"Connecticut"	"09"	"White"	"2106-3"	35870
	"1 year"	"1"	"2000"	"2000"	"Delaware"	"10"	"White"	"2106-3"	7344
	"1 year"	"1"	"2000"	"2000"	"District of Columbia"	"11"	"White"	"2106-3"	1656
	"1 year"	"1"	"2000"	"2000"	"Florida"	"12"	"White"	"2106-3"	140087
	"1 year"	"1"	"2000"	"2000"	"Georgia"	"13"	"White"	"2106-3"	75344
	"1 year"	"1"	"2000"	"2000"	"Hawaii"	"15"	"White"	"2106-3"	4335
	"1 year"	"1"	"2000"	"2000"	"Idaho"	"16"	"White"	"2106-3"	18815
	"1 year"	"1"	"2000"	"2000"	"Illinois"	"17"	"White"	"2106-3"	132125
	"1 year"	"1"	"2000"	"2000"	"Indiana"	"18"	"White"	"2106-3"	72369
	"1 year"	"1"	"2000"	"2000"	"Iowa"	"19"	"White"	"2106-3"	34843
	"1 year"	"1"	"2000"	"2000"	"Kansas"	"20"	"White"	"2106-3"	33101
	"1 year"	"1"	"2000"	"2000"	"Kentucky"	"21"	"White"	"2106-3"	47197
	"1 year"	"1"	"2000"	"2000"	"Louisiana"	"22"	"White"	"2106-3"	36552
	"1 year"	"1"	"2000"	"2000"	"Maine"	"23"	"White"	"2106-3"	13400
	"1 year"	"1"	"2000"	"2000"	"Maryland"	"24"	"White"	"2106-3"	42520
	"1 year"	"1"	"2000"	"2000"	"Massachusetts"	"25"	"White"	"2106-3"	66875
	"1 year"	"1"	"2000"	"2000"	"Michigan"	"26"	"White"	"2106-3"	102902
	"1 year"	"1"	"2000"	"2000"	"Minnesota"	"27"	"White"	"2106-3"	56284
	"1 year"	"1"	"2000"	"2000"	"Mississippi"	"28"	"White"	"2106-3"	22057
	"1 year"	"1"	"2000"	"2000"	"Missouri"	"29"	"White"	"2106-3"	61017
	"1 year"	"1"	"2000"	"2000"	"Montana"	"30"	"White"	"2106-3"	9475
	"1 year"	"1"	"2000"	"2000"	"Nebraska"	"31"	"White"	"2106-3"	21060
	"1 year"	"1"	"2000"	"2000"	"Nevada"	"32"	"White"	"2106-3"	24383
	"1 year"	"1"	"2000"	"2000"	"New Hampshire"	"33"	"White"	"2106-3"	14176
	"1 year"	"1"	"2000"	"2000"	"New Jersey"	"34"	"White"	"2106-3"	82336
	"1 year"	"1"	"2000"	"2000"	"New Mexico"	"35"	"White"	"2106-3"	21352
	"1 year"	"1"	"2000"	"2000"	"New York"	"36"	"White"	"2106-3"	171628
	"1 year"	"1"	"2000"	"2000"	"North Carolina"	"37"	"White"	"2106-3"	76328
	"1 year"	"1"	"2000"	"2000"	"North Dakota"	"38"	"White"	"2106-3"	6710
	"1 year"	"1"	"2000"	"2000"	"Ohio"	"39"	"White"	"2106-3"	121983
	"1 year"	"1"	"2000"	"2000"	"Oklahoma"	"40"	"White"	"2106-3"	35206
	"1 year"	"1"	"2000"	"2000"	"Oregon"	"41"	"White"	"2106-3"	39744
	"1 year"	"1"	"2000"	"2000"	"Pennsylvania"	"42"	"White"	"2106-3"	117397
	"1 year"	"1"	"2000"	"2000"	"Rhode Island"	"44"	"White"	"2106-3"	10895
	"1 year"	"1"	"2000"	"2000"	"South Carolina"	"45"	"White"	"2106-3"	33250
	"1 year"	"1"	"2000"	"2000"	"South Dakota"	"46"	"White"	"2106-3"	8359
	"1 year"	"1"	"2000"	"2000"	"Tennessee"	"47"	"White"	"2106-3"	57517
	"1 year"	"1"	"2000"	"2000"	"Texas"	"48"	"White"	"2106-3"	269918
	"1 year"	"1"	"2000"	"2000"	"Utah"	"49"	"White"	"2106-3"	40650
	"1 year"	"1"	"2000"	"2000"	"Vermont"	"50"	"White"	"2106-3"	6500
	"1 year"	"1"	"2000"	"2000"	"Virginia"	"51"	"White"	"2106-3"	65503
	"1 year"	"1"	"2000"	"2000"	"Washington"	"53"	"White"	"2106-3"	66275
	"1 year"	"1"	"2000"	"2000"	"West Virginia"	"54"	"White"	"2106-3"	18786
	"1 year"	"1"	"2000"	"2000"	"Wisconsin"	"55"	"White"	"2106-3"	57987
	"1 year"	"1"	"2000"	"2000"	"Wyoming"	"56"	"White"	"2106-3"	5817
	"2 years"	"2"	"2000"	"2000"	"Alabama"	"01"	"White"	"2106-3"	39101
	"2 years"	"2"	"2000"	"2000"	"Alaska"	"02"	"White"	"2106-3"	6165
	"2 years"	"2"	"2000"	"2000"	"Arizona"	"04"	"White"	"2106-3"	64580
	"2 years"	"2"	"2000"	"2000"	"Arkansas"	"05"	"White"	"2106-3"	27726
	"2 years"	"2"	"2000"	"2000"	"California"	"06"	"White"	"2106-3"	386313
	"2 years"	"2"	"2000"	"2000"	"Colorado"	"08"	"White"	"2106-3"	52298
	"2 years"	"2"	"2000"	"2000"	"Connecticut"	"09"	"White"	"2106-3"	35676
	"2 years"	"2"	"2000"	"2000"	"Delaware"	"10"	"White"	"2106-3"	7210
	"2 years"	"2"	"2000"	"2000"	"District of Columbia"	"11"	"White"	"2106-3"	1561
	"2 years"	"2"	"2000"	"2000"	"Florida"	"12"	"White"	"2106-3"	140318
	"2 years"	"2"	"2000"	"2000"	"Georgia"	"13"	"White"	"2106-3"	73656
	"2 years"	"2"	"2000"	"2000"	"Hawaii"	"15"	"White"	"2106-3"	4290
	"2 years"	"2"	"2000"	"2000"	"Idaho"	"16"	"White"	"2106-3"	18358
	"2 years"	"2"	"2000"	"2000"	"Illinois"	"17"	"White"	"2106-3"	132059
	"2 years"	"2"	"2000"	"2000"	"Indiana"	"18"	"White"	"2106-3"	72478
	"2 years"	"2"	"2000"	"2000"	"Iowa"	"19"	"White"	"2106-3"	34651
	"2 years"	"2"	"2000"	"2000"	"Kansas"	"20"	"White"	"2106-3"	32634
