"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"State"	"State Code"	"Race"	"Race Code"	Population
	"< 1 year"	"0"	"2012"	"2012"	"Alabama"	"01"	"White"	"2106-3"	38840
	"< 1 year"	"0"	"2012"	"2012"	"Alaska"	"02"	"White"	"2106-3"	6462
	"< 1 year"	"0"	"2012"	"2012"	"Arizona"	"04"	"White"	"2106-3"	68886
	"< 1 year"	"0"	"2012"	"2012"	"Arkansas"	"05"	"White"	"2106-3"	29582
	"< 1 year"	"0"	"2012"	"2012"	"California"	"06"	"White"	"2106-3"	386248
	"< 1 year"	"0"	"2012"	"2012"	"Colorado"	"08"	"White"	"2106-3"	56903
	"< 1 year"	"0"	"2012"	"2012"	"Connecticut"	"09"	"White"	"2106-3"	28957
	"< 1 year"	"0"	"2012"	"2012"	"Delaware"	"10"	"White"	"2106-3"	7481
	"< 1 year"	"0"	"2012"	"2012"	"District of Columbia"	"11"	"White"	"2106-3"	3437
	"< 1 year"	"0"	"2012"	"2012"	"Florida"	"12"	"White"	"2106-3"	152946
	"< 1 year"	"0"	"2012"	"2012"	"Georgia"	"13"	"White"	"2106-3"	76304
	"< 1 year"	"0"	"2012"	"2012"	"Hawaii"	"15"	"White"	"2106-3"	5876
	"< 1 year"	"0"	"2012"	"2012"	"Idaho"	"16"	"White"	"2106-3"	20556
	"< 1 year"	"0"	"2012"	"2012"	"Illinois"	"17"	"White"	"2106-3"	120548
	"< 1 year"	"0"	"2012"	"2012"	"Indiana"	"18"	"White"	"2106-3"	68712
	"< 1 year"	"0"	"2012"	"2012"	"Iowa"	"19"	"White"	"2106-3"	34081
	"< 1 year"	"0"	"2012"	"2012"	"Kansas"	"20"	"White"	"2106-3"	33970
	"< 1 year"	"0"	"2012"	"2012"	"Kentucky"	"21"	"White"	"2106-3"	47564
	"< 1 year"	"0"	"2012"	"2012"	"Louisiana"	"22"	"White"	"2106-3"	35289
	"< 1 year"	"0"	"2012"	"2012"	"Maine"	"23"	"White"	"2106-3"	11959
