"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"State"	"State Code"	"Race"	"Race Code"	Population
	"< 1 year"	"0"	"2010"	"2010"	"Alabama"	"01"	"White"	"2106-3"	38926
	"< 1 year"	"0"	"2010"	"2010"	"Alaska"	"02"	"White"	"2106-3"	6950
	"< 1 year"	"0"	"2010"	"2010"	"Arizona"	"04"	"White"	"2106-3"	70471
	"< 1 year"	"0"	"2010"	"2010"	"Arkansas"	"05"	"White"	"2106-3"	29085
	"< 1 year"	"0"	"2010"	"2010"	"California"	"06"	"White"	"2106-3"	379756
	"< 1 year"	"0"	"2010"	"2010"	"Colorado"	"08"	"White"	"2106-3"	58406
	"< 1 year"	"0"	"2010"	"2010"	"Connecticut"	"09"	"White"	"2106-3"	29093
	"< 1 year"	"0"	"2010"	"2010"	"Delaware"	"10"	"White"	"2106-3"	7141
	"< 1 year"	"0"	"2010"	"2010"	"District of Columbia"	"11"	"White"	"2106-3"	2985
	"< 1 year"	"0"	"2010"	"2010"	"Florida"	"12"	"White"	"2106-3"	148576
	"< 1 year"	"0"	"2010"	"2010"	"Georgia"	"13"	"White"	"2106-3"	78391
	"< 1 year"	"0"	"2010"	"2010"	"Hawaii"	"15"	"White"	"2106-3"	5535
	"< 1 year"	"0"	"2010"	"2010"	"Idaho"	"16"	"White"	"2106-3"	22254
	"< 1 year"	"0"	"2010"	"2010"	"Illinois"	"17"	"White"	"2106-3"	123673
	"< 1 year"	"0"	"2010"	"2010"	"Indiana"	"18"	"White"	"2106-3"	69601
	"< 1 year"	"0"	"2010"	"2010"	"Iowa"	"19"	"White"	"2106-3"	35330
	"< 1 year"	"0"	"2010"	"2010"	"Kansas"	"20"	"White"	"2106-3"	34601
	"< 1 year"	"0"	"2010"	"2010"	"Kentucky"	"21"	"White"	"2106-3"	47573
	"< 1 year"	"0"	"2010"	"2010"	"Louisiana"	"22"	"White"	"2106-3"	35309
	"< 1 year"	"0"	"2010"	"2010"	"Maine"	"23"	"White"	"2106-3"	12350
	"< 1 year"	"0"	"2010"	"2010"	"Maryland"	"24"	"White"	"2106-3"	41051
	"< 1 year"	"0"	"2010"	"2010"	"Massachusetts"	"25"	"White"	"2106-3"	57427
	"< 1 year"	"0"	"2010"	"2010"	"Michigan"	"26"	"White"	"2106-3"	86189
	"< 1 year"	"0"	"2010"	"2010"	"Minnesota"	"27"	"White"	"2106-3"	55414
	"< 1 year"	"0"	"2010"	"2010"	"Mississippi"	"28"	"White"	"2106-3"	21281
	"< 1 year"	"0"	"2010"	"2010"	"Missouri"	"29"	"White"	"2106-3"	61200
	"< 1 year"	"0"	"2010"	"2010"	"Montana"	"30"	"White"	"2106-3"	10347
	"< 1 year"	"0"	"2010"	"2010"	"Nebraska"	"31"	"White"	"2106-3"	22469
	"< 1 year"	"0"	"2010"	"2010"	"Nevada"	"32"	"White"	"2106-3"	28119
	"< 1 year"	"0"	"2010"	"2010"	"New Hampshire"	"33"	"White"	"2106-3"	12054
	"< 1 year"	"0"	"2010"	"2010"	"New Jersey"	"34"	"White"	"2106-3"	74119
	"< 1 year"	"0"	"2010"	"2010"	"New Mexico"	"35"	"White"	"2106-3"	22137
	"< 1 year"	"0"	"2010"	"2010"	"New York"	"36"	"White"	"2106-3"	163438
	"< 1 year"	"0"	"2010"	"2010"	"North Carolina"	"37"	"White"	"2106-3"	84221
	"< 1 year"	"0"	"2010"	"2010"	"North Dakota"	"38"	"White"	"2106-3"	7633
	"< 1 year"	"0"	"2010"	"2010"	"Ohio"	"39"	"White"	"2106-3"	108556
	"< 1 year"	"0"	"2010"	"2010"	"Oklahoma"	"40"	"White"	"2106-3"	37190
	"< 1 year"	"0"	"2010"	"2010"	"Oregon"	"41"	"White"	"2106-3"	40737
	"< 1 year"	"0"	"2010"	"2010"	"Pennsylvania"	"42"	"White"	"2106-3"	110393
	"< 1 year"	"0"	"2010"	"2010"	"Rhode Island"	"44"	"White"	"2106-3"	8780
	"< 1 year"	"0"	"2010"	"2010"	"South Carolina"	"45"	"White"	"2106-3"	36698
	"< 1 year"	"0"	"2010"	"2010"	"South Dakota"	"46"	"White"	"2106-3"	9285
	"< 1 year"	"0"	"2010"	"2010"	"Tennessee"	"47"	"White"	"2106-3"	58929
	"< 1 year"	"0"	"2010"	"2010"	"Texas"	"48"	"White"	"2106-3"	308320
	"< 1 year"	"0"	"2010"	"2010"	"Utah"	"49"	"White"	"2106-3"	49227
	"< 1 year"	"0"	"2010"	"2010"	"Vermont"	"50"	"White"	"2106-3"	5808
	"< 1 year"	"0"	"2010"	"2010"	"Virginia"	"51"	"White"	"2106-3"	69110
	"< 1 year"	"0"	"2010"	"2010"	"Washington"	"53"	"White"	"2106-3"	70148
	"< 1 year"	"0"	"2010"	"2010"	"West Virginia"	"54"	"White"	"2106-3"	18883
	"< 1 year"	"0"	"2010"	"2010"	"Wisconsin"	"55"	"White"	"2106-3"	57201
	"< 1 year"	"0"	"2010"	"2010"	"Wyoming"	"56"	"White"	"2106-3"	7191
	"1 year"	"1"	"2010"	"2010"	"Alabama"	"01"	"White"	"2106-3"	39112
	"1 year"	"1"	"2010"	"2010"	"Alaska"	"02"	"White"	"2106-3"	6943
	"1 year"	"1"	"2010"	"2010"	"Arizona"	"04"	"White"	"2106-3"	72427
	"1 year"	"1"	"2010"	"2010"	"Arkansas"	"05"	"White"	"2106-3"	29258
	"1 year"	"1"	"2010"	"2010"	"California"	"06"	"White"	"2106-3"	375178
	"1 year"	"1"	"2010"	"2010"	"Colorado"	"08"	"White"	"2106-3"	58636
	"1 year"	"1"	"2010"	"2010"	"Connecticut"	"09"	"White"	"2106-3"	29481
	"1 year"	"1"	"2010"	"2010"	"Delaware"	"10"	"White"	"2106-3"	7026
	"1 year"	"1"	"2010"	"2010"	"District of Columbia"	"11"	"White"	"2106-3"	2530
	"1 year"	"1"	"2010"	"2010"	"Florida"	"12"	"White"	"2106-3"	149800
	"1 year"	"1"	"2010"	"2010"	"Georgia"	"13"	"White"	"2106-3"	78918
	"1 year"	"1"	"2010"	"2010"	"Hawaii"	"15"	"White"	"2106-3"	5270
	"1 year"	"1"	"2010"	"2010"	"Idaho"	"16"	"White"	"2106-3"	22569
	"1 year"	"1"	"2010"	"2010"	"Illinois"	"17"	"White"	"2106-3"	122821
	"1 year"	"1"	"2010"	"2010"	"Indiana"	"18"	"White"	"2106-3"	70194
	"1 year"	"1"	"2010"	"2010"	"Iowa"	"19"	"White"	"2106-3"	35738
	"1 year"	"1"	"2010"	"2010"	"Kansas"	"20"	"White"	"2106-3"	34480
	"1 year"	"1"	"2010"	"2010"	"Kentucky"	"21"	"White"	"2106-3"	47696
	"1 year"	"1"	"2010"	"2010"	"Louisiana"	"22"	"White"	"2106-3"	35546
	"1 year"	"1"	"2010"	"2010"	"Maine"	"23"	"White"	"2106-3"	12383
	"1 year"	"1"	"2010"	"2010"	"Maryland"	"24"	"White"	"2106-3"	40427
	"1 year"	"1"	"2010"	"2010"	"Massachusetts"	"25"	"White"	"2106-3"	56966
	"1 year"	"1"	"2010"	"2010"	"Michigan"	"26"	"White"	"2106-3"	86806
	"1 year"	"1"	"2010"	"2010"	"Minnesota"	"27"	"White"	"2106-3"	55614
	"1 year"	"1"	"2010"	"2010"	"Mississippi"	"28"	"White"	"2106-3"	21743
	"1 year"	"1"	"2010"	"2010"	"Missouri"	"29"	"White"	"2106-3"	61455
	"1 year"	"1"	"2010"	"2010"	"Montana"	"30"	"White"	"2106-3"	10473
	"1 year"	"1"	"2010"	"2010"	"Nebraska"	"31"	"White"	"2106-3"	22671
	"1 year"	"1"	"2010"	"2010"	"Nevada"	"32"	"White"	"2106-3"	28376
	"1 year"	"1"	"2010"	"2010"	"New Hampshire"	"33"	"White"	"2106-3"	12392
	"1 year"	"1"	"2010"	"2010"	"New Jersey"	"34"	"White"	"2106-3"	73562
	"1 year"	"1"	"2010"	"2010"	"New Mexico"	"35"	"White"	"2106-3"	22795
	"1 year"	"1"	"2010"	"2010"	"New York"	"36"	"White"	"2106-3"	157502
	"1 year"	"1"	"2010"	"2010"	"North Carolina"	"37"	"White"	"2106-3"	84847
	"1 year"	"1"	"2010"	"2010"	"North Dakota"	"38"	"White"	"2106-3"	7681
	"1 year"	"1"	"2010"	"2010"	"Ohio"	"39"	"White"	"2106-3"	110558
	"1 year"	"1"	"2010"	"2010"	"Oklahoma"	"40"	"White"	"2106-3"	37370
	"1 year"	"1"	"2010"	"2010"	"Oregon"	"41"	"White"	"2106-3"	40810
	"1 year"	"1"	"2010"	"2010"	"Pennsylvania"	"42"	"White"	"2106-3"	111839
	"1 year"	"1"	"2010"	"2010"	"Rhode Island"	"44"	"White"	"2106-3"	8916
	"1 year"	"1"	"2010"	"2010"	"South Carolina"	"45"	"White"	"2106-3"	37268
	"1 year"	"1"	"2010"	"2010"	"South Dakota"	"46"	"White"	"2106-3"	9290
	"1 year"	"1"	"2010"	"2010"	"Tennessee"	"47"	"White"	"2106-3"	59615
	"1 year"	"1"	"2010"	"2010"	"Texas"	"48"	"White"	"2106-3"	307475
	"1 year"	"1"	"2010"	"2010"	"Utah"	"49"	"White"	"2106-3"	48847
	"1 year"	"1"	"2010"	"2010"	"Vermont"	"50"	"White"	"2106-3"	5805
	"1 year"	"1"	"2010"	"2010"	"Virginia"	"51"	"White"	"2106-3"	67828
