"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"State"	"State Code"	"Race"	"Race Code"	Population
	"< 1 year"	"0"	"2009"	"2009"	"Alabama"	"01"	"White"	"2106-3"	40898
	"< 1 year"	"0"	"2009"	"2009"	"Alaska"	"02"	"White"	"2106-3"	7013
	"< 1 year"	"0"	"2009"	"2009"	"Arizona"	"04"	"White"	"2106-3"	70241
	"< 1 year"	"0"	"2009"	"2009"	"Arkansas"	"05"	"White"	"2106-3"	29768
	"< 1 year"	"0"	"2009"	"2009"	"California"	"06"	"White"	"2106-3"	382694
	"< 1 year"	"0"	"2009"	"2009"	"Colorado"	"08"	"White"	"2106-3"	58123
	"< 1 year"	"0"	"2009"	"2009"	"Connecticut"	"09"	"White"	"2106-3"	29222
	"< 1 year"	"0"	"2009"	"2009"	"Delaware"	"10"	"White"	"2106-3"	7083
	"< 1 year"	"0"	"2009"	"2009"	"District of Columbia"	"11"	"White"	"2106-3"	2917
	"< 1 year"	"0"	"2009"	"2009"	"Florida"	"12"	"White"	"2106-3"	149034
	"< 1 year"	"0"	"2009"	"2009"	"Georgia"	"13"	"White"	"2106-3"	79511
	"< 1 year"	"0"	"2009"	"2009"	"Hawaii"	"15"	"White"	"2106-3"	5886
	"< 1 year"	"0"	"2009"	"2009"	"Idaho"	"16"	"White"	"2106-3"	22508
	"< 1 year"	"0"	"2009"	"2009"	"Illinois"	"17"	"White"	"2106-3"	124155
	"< 1 year"	"0"	"2009"	"2009"	"Indiana"	"18"	"White"	"2106-3"	70822
	"< 1 year"	"0"	"2009"	"2009"	"Iowa"	"19"	"White"	"2106-3"	35676
	"< 1 year"	"0"	"2009"	"2009"	"Kansas"	"20"	"White"	"2106-3"	35005
	"< 1 year"	"0"	"2009"	"2009"	"Kentucky"	"21"	"White"	"2106-3"	48494
	"< 1 year"	"0"	"2009"	"2009"	"Louisiana"	"22"	"White"	"2106-3"	36732
	"< 1 year"	"0"	"2009"	"2009"	"Maine"	"23"	"White"	"2106-3"	12365
	"< 1 year"	"0"	"2009"	"2009"	"Maryland"	"24"	"White"	"2106-3"	41756
	"< 1 year"	"0"	"2009"	"2009"	"Massachusetts"	"25"	"White"	"2106-3"	57369
	"< 1 year"	"0"	"2009"	"2009"	"Michigan"	"26"	"White"	"2106-3"	86832
	"< 1 year"	"0"	"2009"	"2009"	"Minnesota"	"27"	"White"	"2106-3"	54940
	"< 1 year"	"0"	"2009"	"2009"	"Mississippi"	"28"	"White"	"2106-3"	22673
	"< 1 year"	"0"	"2009"	"2009"	"Missouri"	"29"	"White"	"2106-3"	62193
	"< 1 year"	"0"	"2009"	"2009"	"Montana"	"30"	"White"	"2106-3"	10294
	"< 1 year"	"0"	"2009"	"2009"	"Nebraska"	"31"	"White"	"2106-3"	22596
	"< 1 year"	"0"	"2009"	"2009"	"Nevada"	"32"	"White"	"2106-3"	29016
	"< 1 year"	"0"	"2009"	"2009"	"New Hampshire"	"33"	"White"	"2106-3"	11924
	"< 1 year"	"0"	"2009"	"2009"	"New Jersey"	"34"	"White"	"2106-3"	74060
	"< 1 year"	"0"	"2009"	"2009"	"New Mexico"	"35"	"White"	"2106-3"	23174
	"< 1 year"	"0"	"2009"	"2009"	"New York"	"36"	"White"	"2106-3"	165094
	"< 1 year"	"0"	"2009"	"2009"	"North Carolina"	"37"	"White"	"2106-3"	86109
	"< 1 year"	"0"	"2009"	"2009"	"North Dakota"	"38"	"White"	"2106-3"	7546
	"< 1 year"	"0"	"2009"	"2009"	"Ohio"	"39"	"White"	"2106-3"	110619
	"< 1 year"	"0"	"2009"	"2009"	"Oklahoma"	"40"	"White"	"2106-3"	38163
	"< 1 year"	"0"	"2009"	"2009"	"Oregon"	"41"	"White"	"2106-3"	41129
	"< 1 year"	"0"	"2009"	"2009"	"Pennsylvania"	"42"	"White"	"2106-3"	110614
	"< 1 year"	"0"	"2009"	"2009"	"Rhode Island"	"44"	"White"	"2106-3"	8788
	"< 1 year"	"0"	"2009"	"2009"	"South Carolina"	"45"	"White"	"2106-3"	38066
	"< 1 year"	"0"	"2009"	"2009"	"South Dakota"	"46"	"White"	"2106-3"	9151
	"< 1 year"	"0"	"2009"	"2009"	"Tennessee"	"47"	"White"	"2106-3"	59656
	"< 1 year"	"0"	"2009"	"2009"	"Texas"	"48"	"White"	"2106-3"	312874
	"< 1 year"	"0"	"2009"	"2009"	"Utah"	"49"	"White"	"2106-3"	49602
