"Notes"	"Age"	"Age Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"Ethnicity"	"Ethnicity Code"	"Race"	"Race Code"	Population
	"< 1 year"	"0"	"2000"	"2000"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	15841
	"< 1 year"	"0"	"2000"	"2000"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	11873
	"< 1 year"	"0"	"2000"	"2000"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	38913
	"< 1 year"	"0"	"2000"	"2000"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	727926
"Total"	"< 1 year"	"0"	"2000"	"2000"	"Hispanic or Latino"	"2135-2"			794553
	"< 1 year"	"0"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	38922
	"< 1 year"	"0"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	159343
	"< 1 year"	"0"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	583504
	"< 1 year"	"0"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2279634
"Total"	"< 1 year"	"0"	"2000"	"2000"	"Not Hispanic or Latino"	"2186-5"			3061403
"Total"	"< 1 year"	"0"	"2000"	"2000"					3855956
	"< 1 year"	"0"	"2001"	"2001"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	17150
	"< 1 year"	"0"	"2001"	"2001"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	12242
	"< 1 year"	"0"	"2001"	"2001"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	40593
	"< 1 year"	"0"	"2001"	"2001"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	801760
"Total"	"< 1 year"	"0"	"2001"	"2001"	"Hispanic or Latino"	"2135-2"			871745
	"< 1 year"	"0"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	40338
	"< 1 year"	"0"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	180443
	"< 1 year"	"0"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	602743
	"< 1 year"	"0"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2317389
"Total"	"< 1 year"	"0"	"2001"	"2001"	"Not Hispanic or Latino"	"2186-5"			3140913
"Total"	"< 1 year"	"0"	"2001"	"2001"					4012658
	"< 1 year"	"0"	"2002"	"2002"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	17929
	"< 1 year"	"0"	"2002"	"2002"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	12527
	"< 1 year"	"0"	"2002"	"2002"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	38241
	"< 1 year"	"0"	"2002"	"2002"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	821209
"Total"	"< 1 year"	"0"	"2002"	"2002"	"Hispanic or Latino"	"2135-2"			889906
	"< 1 year"	"0"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	39923
	"< 1 year"	"0"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-5"	"Asian or Pacific Islander"	"A-PI"	179983
	"< 1 year"	"0"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-5"	"Black or African American"	"2054-5"	587636
	"< 1 year"	"0"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-5"	"White"	"2106-3"	2254013
"Total"	"< 1 year"	"0"	"2002"	"2002"	"Not Hispanic or Latino"	"2186-5"			3061555
"Total"	"< 1 year"	"0"	"2002"	"2002"					3951461
	"< 1 year"	"0"	"2003"	"2003"	"Hispanic or Latino"	"2135-2"	"American Indian or Alaska Native"	"1002-5"	20186
	"< 1 year"	"0"	"2003"	"2003"	"Hispanic or Latino"	"2135-2"	"Asian or Pacific Islander"	"A-PI"	14356
	"< 1 year"	"0"	"2003"	"2003"	"Hispanic or Latino"	"2135-2"	"Black or African American"	"2054-5"	41914
	"< 1 year"	"0"	"2003"	"2003"	"Hispanic or Latino"	"2135-2"	"White"	"2106-3"	840391
"Total"	"< 1 year"	"0"	"2003"	"2003"	"Hispanic or Latino"	"2135-2"			916847
	"< 1 year"	"0"	"2003"	"2003"	"Not Hispanic or Latino"	"2186-5"	"American Indian or Alaska Native"	"1002-5"	39798
