"STATEFP","rural_urban_class","Population","Gender.Code","Race","Hispanic.Origin","Education","Year","min_age","max_age","source2"
1,"666",1376.199999264,"A","Asian or Pacific Islander","All Origins",666,1992,25,29,"Census"
1,"3",3.20000068276221,"A","Asian or Pacific Islander","All Origins",666,1992,25,29,"Census"
1,"666",1396.00000103239,"A","Asian or Pacific Islander","All Origins",666,1992,30,34,"Census"
1,"3",3.00001388291654,"A","Asian or Pacific Islander","All Origins",666,1992,30,34,"Census"
1,"666",1353.00000018696,"A","Asian or Pacific Islander","All Origins",666,1992,35,39,"Census"
1,"3",2.80000068276221,"A","Asian or Pacific Islander","All Origins",666,1992,35,39,"Census"
1,"666",1228.79999990756,"A","Asian or Pacific Islander","All Origins",666,1992,40,44,"Census"
1,"3",1.98214798318841,"A","Asian or Pacific Islander","All Origins",666,1992,40,44,"Census"
1,"666",960.400000048809,"A","Asian or Pacific Islander","All Origins",666,1992,45,49,"Census"
1,"3",1.38214798318841,"A","Asian or Pacific Islander","All Origins",666,1992,45,49,"Census"
1,"666",689.600000102311,"A","Asian or Pacific Islander","All Origins",666,1992,50,54,"Census"
1,"3",1.40000136552441,"A","Asian or Pacific Islander","All Origins",666,1992,50,54,"Census"
1,"666",487.199999906277,"A","Asian or Pacific Islander","All Origins",666,1992,55,59,"Census"
1,"3",1.2,"A","Asian or Pacific Islander","All Origins",666,1992,55,59,"Census"
1,"666",331.400000073457,"A","Asian or Pacific Islander","All Origins",666,1992,60,64,"Census"
1,"3",0.2,"A","Asian or Pacific Islander","All Origins",666,1992,60,64,"Census"
1,"666",221.400000708521,"A","Asian or Pacific Islander","All Origins",666,1992,65,69,"Census"
1,"3",0.600001365524412,"A","Asian or Pacific Islander","All Origins",666,1992,65,69,"Census"
1,"666",134.399999986206,"A","Asian or Pacific Islander","All Origins",666,1992,70,74,"Census"
1,"3",0,"A","Asian or Pacific Islander","All Origins",666,1992,70,74,"Census"
1,"666",76.6000001332701,"A","Asian or Pacific Islander","All Origins",666,1992,75,79,"Census"
1,"3",0.4,"A","Asian or Pacific Islander","All Origins",666,1992,75,79,"Census"
1,"666",37.800000073066,"A","Asian or Pacific Islander","All Origins",666,1992,80,84,"Census"
1,"3",0.2,"A","Asian or Pacific Islander","All Origins",666,1992,80,84,"Census"
1,"666",18.1999999995246,"A","Asian or Pacific Islander","All Origins",666,1992,85,150,"Census"
1,"3",0,"A","Asian or Pacific Islander","All Origins",666,1992,85,150,"Census"
1,"666",32423.5999887204,"A","Black or African American","All Origins",666,1992,25,29,"Census"
1,"3",327.747023317633,"A","Black or African American","All Origins",666,1992,25,29,"Census"
1,"666",32579.3999924946,"A","Black or African American","All Origins",666,1992,30,34,"Census"
1,"3",298.757312988536,"A","Black or African American","All Origins",666,1992,30,34,"Census"
1,"666",33426.599989648,"A","Black or African American","All Origins",666,1992,35,39,"Census"
1,"3",350.55248227714,"A","Black or African American","All Origins",666,1992,35,39,"Census"
1,"666",30607.5999880884,"A","Black or African American","All Origins",666,1992,40,44,"Census"
1,"3",322.208087536365,"A","Black or African American","All Origins",666,1992,40,44,"Census"
1,"666",24153.9999966297,"A","Black or African American","All Origins",666,1992,45,49,"Census"
1,"3",289.146286670408,"A","Black or African American","All Origins",666,1992,45,49,"Census"
1,"666",19294.0000000079,"A","Black or African American","All Origins",666,1992,50,54,"Census"
1,"3",247.997227521408,"A","Black or African American","All Origins",666,1992,50,54,"Census"
1,"666",14927.1999986209,"A","Black or African American","All Origins",666,1992,55,59,"Census"
1,"3",163.793104434069,"A","Black or African American","All Origins",666,1992,55,59,"Census"
1,"666",13424.7999974079,"A","Black or African American","All Origins",666,1992,60,64,"Census"
1,"3",122.989036786634,"A","Black or African American","All Origins",666,1992,60,64,"Census"
1,"666",12028.1999925644,"A","Black or African American","All Origins",666,1992,65,69,"Census"
1,"3",113.00517111753,"A","Black or African American","All Origins",666,1992,65,69,"Census"
1,"666",9967.39999420024,"A","Black or African American","All Origins",666,1992,70,74,"Census"
1,"3",107.393306725384,"A","Black or African American","All Origins",666,1992,70,74,"Census"
1,"666",7888.59999683462,"A","Black or African American","All Origins",666,1992,75,79,"Census"
1,"3",87.8126326804733,"A","Black or African American","All Origins",666,1992,75,79,"Census"
1,"666",5148.19999801214,"A","Black or African American","All Origins",666,1992,80,84,"Census"
1,"3",72.992149994483,"A","Black or African American","All Origins",666,1992,80,84,"Census"
1,"666",4766.19999820486,"A","Black or African American","All Origins",666,1992,85,150,"Census"
1,"3",80.026118362701,"A","Black or African American","All Origins",666,1992,85,150,"Census"
1,"666",513.199999418627,"A","American Indian or Alaska Native","All Origins",666,1992,25,29,"Census"
1,"3",2.40052112687889,"A","American Indian or Alaska Native","All Origins",666,1992,25,29,"Census"
1,"666",540.999999759096,"A","American Indian or Alaska Native","All Origins",666,1992,30,34,"Census"
1,"3",3.80052112687889,"A","American Indian or Alaska Native","All Origins",666,1992,30,34,"Census"
1,"666",637.199999344418,"A","American Indian or Alaska Native","All Origins",666,1992,35,39,"Census"
1,"3",4.6005224924033,"A","American Indian or Alaska Native","All Origins",666,1992,35,39,"Census"
1,"666",621.799999572312,"A","American Indian or Alaska Native","All Origins",666,1992,40,44,"Census"
1,"3",4.00104293651999,"A","American Indian or Alaska Native","All Origins",666,1992,40,44,"Census"
1,"666",545.599999521715,"A","American Indian or Alaska Native","All Origins",666,1992,45,49,"Census"
1,"3",2.60156406339888,"A","American Indian or Alaska Native","All Origins",666,1992,45,49,"Census"
1,"666",450.19999983596,"A","American Indian or Alaska Native","All Origins",666,1992,50,54,"Census"
1,"3",2.2020983904321,"A","American Indian or Alaska Native","All Origins",666,1992,50,54,"Census"
1,"666",313.399999897814,"A","American Indian or Alaska Native","All Origins",666,1992,55,59,"Census"
1,"3",1.4005218096411,"A","American Indian or Alaska Native","All Origins",666,1992,55,59,"Census"
1,"666",188.200000075864,"A","American Indian or Alaska Native","All Origins",666,1992,60,64,"Census"
1,"3",1.00000068276221,"A","American Indian or Alaska Native","All Origins",666,1992,60,64,"Census"
1,"666",136.199999809786,"A","American Indian or Alaska Native","All Origins",666,1992,65,69,"Census"
1,"3",1.0005224924033,"A","American Indian or Alaska Native","All Origins",666,1992,65,69,"Census"
1,"666",107.799999896959,"A","American Indian or Alaska Native","All Origins",666,1992,70,74,"Census"
1,"3",0.200000682762206,"A","American Indian or Alaska Native","All Origins",666,1992,70,74,"Census"
1,"666",73.4000000050759,"A","American Indian or Alaska Native","All Origins",666,1992,75,79,"Census"
1,"3",0.6,"A","American Indian or Alaska Native","All Origins",666,1992,75,79,"Census"
1,"666",34.8000000158087,"A","American Indian or Alaska Native","All Origins",666,1992,80,84,"Census"
1,"3",0.2,"A","American Indian or Alaska Native","All Origins",666,1992,80,84,"Census"
1,"666",23.9999999724877,"A","American Indian or Alaska Native","All Origins",666,1992,85,150,"Census"
1,"3",0.2,"A","American Indian or Alaska Native","All Origins",666,1992,85,150,"Census"
1,"666",138955.199941759,"A","All","All Origins",666,1992,25,29,"Census"
1,"3",565.061024009649,"A","All","All Origins",666,1992,25,29,"Census"
1,"666",143722.799945141,"A","All","All Origins",666,1992,30,34,"Census"
1,"3",537.848396051739,"A","All","All Origins",666,1992,30,34,"Census"
1,"666",147601.799954982,"A","All","All Origins",666,1992,35,39,"Census"
1,"3",635.470792816081,"A","All","All Origins",666,1992,35,39,"Census"
1,"666",140646.599959611,"A","All","All Origins",666,1992,40,44,"Census"
1,"3",614.185775008285,"A","All","All Origins",666,1992,40,44,"Census"
1,"666",118528.399993012,"A","All","All Origins",666,1992,45,49,"Census"
1,"3",547.326159699414,"A","All","All Origins",666,1992,45,49,"Census"
1,"666",103033.400002073,"A","All","All Origins",666,1992,50,54,"Census"
1,"3",527.384367348854,"A","All","All Origins",666,1992,50,54,"Census"
1,"666",86995.0000107911,"A","All","All Origins",666,1992,55,59,"Census"
1,"3",387.139891507314,"A","All","All Origins",666,1992,55,59,"Census"
1,"666",78576.8000186199,"A","All","All Origins",666,1992,60,64,"Census"
1,"3",314.465187722443,"A","All","All Origins",666,1992,60,64,"Census"
1,"666",70145.0000130128,"A","All","All Origins",666,1992,65,69,"Census"
1,"3",285.195925486224,"A","All","All Origins",666,1992,65,69,"Census"
1,"666",56665.600006644,"A","All","All Origins",666,1992,70,74,"Census"
1,"3",256.285423047463,"A","All","All Origins",666,1992,70,74,"Census"
1,"666",43690.400006358,"A","All","All Origins",666,1992,75,79,"Census"
1,"3",222.643849427507,"A","All","All Origins",666,1992,75,79,"Census"
1,"666",28121.6000092005,"A","All","All Origins",666,1992,80,84,"Census"
1,"3",152.839581183773,"A","All","All Origins",666,1992,80,84,"Census"
1,"666",22610.4000066667,"A","All","All Origins",666,1992,85,150,"Census"
1,"3",156.255055103535,"A","All","All Origins",666,1992,85,150,"Census"
1,"666",104430.199954218,"A","White","All Origins",666,1992,25,29,"Census"
1,"3",231.713478882375,"A","White","All Origins",666,1992,25,29,"Census"
1,"666",109018.399952142,"A","White","All Origins",666,1992,30,34,"Census"
1,"3",232.290548053407,"A","White","All Origins",666,1992,30,34,"Census"
1,"666",112044.999965797,"A","White","All Origins",666,1992,35,39,"Census"
1,"3",277.517787363775,"A","White","All Origins",666,1992,35,39,"Census"
1,"666",108101.99997214,"A","White","All Origins",666,1992,40,44,"Census"
1,"3",285.994496552211,"A","White","All Origins",666,1992,40,44,"Census"
1,"666",92805.9999965918,"A","White","All Origins",666,1992,45,49,"Census"
1,"3",254.196160982419,"A","White","All Origins",666,1992,45,49,"Census"
1,"666",82562.0000019992,"A","White","All Origins",666,1992,50,54,"Census"
1,"3",275.78504007149,"A","White","All Origins",666,1992,50,54,"Census"
1,"666",71245.6000122722,"A","White","All Origins",666,1992,55,59,"Census"
1,"3",220.746265263604,"A","White","All Origins",666,1992,55,59,"Census"
1,"666",64613.2000209505,"A","White","All Origins",666,1992,60,64,"Census"
1,"3",190.276150253048,"A","White","All Origins",666,1992,60,64,"Census"
1,"666",57748.8000199122,"A","White","All Origins",666,1992,65,69,"Census"
1,"3",170.590230510767,"A","White","All Origins",666,1992,65,69,"Census"
1,"666",46451.2000126259,"A","White","All Origins",666,1992,70,74,"Census"
1,"3",148.692115639317,"A","White","All Origins",666,1992,70,74,"Census"
1,"666",35643.000009381,"A","White","All Origins",666,1992,75,79,"Census"
1,"3",133.831216747033,"A","White","All Origins",666,1992,75,79,"Census"
1,"666",22896.0000110898,"A","White","All Origins",666,1992,80,84,"Census"
1,"3",79.4474311892902,"A","White","All Origins",666,1992,80,84,"Census"
1,"666",17801.2000084878,"A","White","All Origins",666,1992,85,150,"Census"
1,"3",76.0289367408343,"A","White","All Origins",666,1992,85,150,"Census"
2,"666",900.40000009507,"A","Asian or Pacific Islander","All Origins",666,1992,25,29,"Census"
2,"3",10.4,"A","Asian or Pacific Islander","All Origins",666,1992,25,29,"Census"
2,"666",1092.40000067277,"A","Asian or Pacific Islander","All Origins",666,1992,30,34,"Census"
2,"3",18.4,"A","Asian or Pacific Islander","All Origins",666,1992,30,34,"Census"
2,"666",1177.20000035126,"A","Asian or Pacific Islander","All Origins",666,1992,35,39,"Census"
2,"3",22.6,"A","Asian or Pacific Islander","All Origins",666,1992,35,39,"Census"
2,"666",1095.20000058613,"A","Asian or Pacific Islander","All Origins",666,1992,40,44,"Census"
2,"3",22,"A","Asian or Pacific Islander","All Origins",666,1992,40,44,"Census"
2,"666",817.399999735676,"A","Asian or Pacific Islander","All Origins",666,1992,45,49,"Census"
2,"3",20.6,"A","Asian or Pacific Islander","All Origins",666,1992,45,49,"Census"
2,"666",594.200000323181,"A","Asian or Pacific Islander","All Origins",666,1992,50,54,"Census"
