"STATEFP","Population","Gender.Code","Race","Hispanic.Origin","Education","Year","min_age","max_age","source2"
1,3856.00043703444,"A","Asian or Pacific Islander","All Origins",666,2001,25,29,"Census"
1,3446.30000053571,"A","Asian or Pacific Islander","All Origins",666,2001,30,34,"Census"
1,3318.80000064726,"A","Asian or Pacific Islander","All Origins",666,2001,35,39,"Census"
1,2828.90000043717,"A","Asian or Pacific Islander","All Origins",666,2001,40,44,"Census"
1,2503.9004366929,"A","Asian or Pacific Islander","All Origins",666,2001,45,49,"Census"
1,2105.70021840463,"A","Asian or Pacific Islander","All Origins",666,2001,50,54,"Census"
1,1441.60021838162,"A","Asian or Pacific Islander","All Origins",666,2001,55,59,"Census"
1,1021.80065476992,"A","Asian or Pacific Islander","All Origins",666,2001,60,64,"Census"
1,746.800218302786,"A","Asian or Pacific Islander","All Origins",666,2001,65,69,"Census"
1,468.099999970882,"A","Asian or Pacific Islander","All Origins",666,2001,70,74,"Census"
1,249.400000011048,"A","Asian or Pacific Islander","All Origins",666,2001,75,79,"Census"
1,115.300218234983,"A","Asian or Pacific Islander","All Origins",666,2001,80,84,"Census"
1,78.200000006156,"A","Asian or Pacific Islander","All Origins",666,2001,85,150,"Census"
1,82874.9017558689,"A","Black or African American","All Origins",666,2001,25,29,"Census"
1,77677.500663304,"A","Black or African American","All Origins",666,2001,30,34,"Census"
1,85163.9010999261,"A","Black or African American","All Origins",666,2001,35,39,"Census"
1,87452.5032807716,"A","Black or African American","All Origins",666,2001,40,44,"Census"
1,78996.1019720018,"A","Black or African American","All Origins",666,2001,45,49,"Census"
1,63158.2006642042,"A","Black or African American","All Origins",666,2001,50,54,"Census"
1,45065.7006623125,"A","Black or African American","All Origins",666,2001,55,59,"Census"
1,37665.3013153456,"A","Black or African American","All Origins",666,2001,60,64,"Census"
1,31896.9015308927,"A","Black or African American","All Origins",666,2001,65,69,"Census"
1,27591.2019672038,"A","Black or African American","All Origins",666,2001,70,74,"Census"
1,21357.2004387588,"A","Black or African American","All Origins",666,2001,75,79,"Census"
1,14398.9006564616,"A","Black or African American","All Origins",666,2001,80,84,"Census"
1,14804.5006559951,"A","Black or African American","All Origins",666,2001,85,150,"Census"
1,1618.70000016214,"A","American Indian or Alaska Native","All Origins",666,2001,25,29,"Census"
1,1594.00000006456,"A","American Indian or Alaska Native","All Origins",666,2001,30,34,"Census"
1,1913.40065480838,"A","American Indian or Alaska Native","All Origins",666,2001,35,39,"Census"
1,2102.70043654842,"A","American Indian or Alaska Native","All Origins",666,2001,40,44,"Census"
1,1845.20000018185,"A","American Indian or Alaska Native","All Origins",666,2001,45,49,"Census"
1,1631.30021830572,"A","American Indian or Alaska Native","All Origins",666,2001,50,54,"Census"
1,1194.00021830934,"A","American Indian or Alaska Native","All Origins",666,2001,55,59,"Census"
1,723.20000008732,"A","American Indian or Alaska Native","All Origins",666,2001,60,64,"Census"
1,492.800000053392,"A","American Indian or Alaska Native","All Origins",666,2001,65,69,"Census"
1,375.700436473158,"A","American Indian or Alaska Native","All Origins",666,2001,70,74,"Census"
1,222.400000017046,"A","American Indian or Alaska Native","All Origins",666,2001,75,79,"Census"
1,111.400000007564,"A","American Indian or Alaska Native","All Origins",666,2001,80,84,"Census"
1,101.800000011379,"A","American Indian or Alaska Native","All Origins",666,2001,85,150,"Census"
1,294264.255883812,"A","All","All Origins",666,2001,25,29,"Census"
1,294998.451734608,"A","All","All Origins",666,2001,30,34,"Census"
1,331529.77464779,"A","All","All Origins",666,2001,35,39,"Census"
1,336843.378137798,"A","All","All Origins",666,2001,40,44,"Census"
1,314423.076391729,"A","All","All Origins",666,2001,45,49,"Census"
1,288220.472029136,"A","All","All Origins",666,2001,50,54,"Census"
1,231829.863952605,"A","All","All Origins",666,2001,55,59,"Census"
1,197025.271150948,"A","All","All Origins",666,2001,60,64,"Census"
1,170841.665692215,"A","All","All Origins",666,2001,65,69,"Census"
1,148995.646924194,"A","All","All Origins",666,2001,70,74,"Census"
1,117864.538412665,"A","All","All Origins",666,2001,75,79,"Census"
1,78264.5266272089,"A","All","All Origins",666,2001,80,84,"Census"
1,67779.5305549518,"A","All","All Origins",666,2001,85,150,"Census"
1,4386.60043683123,"A","White","Hispanic or Latino",666,2001,25,29,"Census"
1,3630.30043688222,"A","White","Hispanic or Latino",666,2001,30,34,"Census"
1,3108.00021852188,"A","White","Hispanic or Latino",666,2001,35,39,"Census"
1,2422.90000018664,"A","White","Hispanic or Latino",666,2001,40,44,"Census"
1,1927.70021836702,"A","White","Hispanic or Latino",666,2001,45,49,"Census"
1,1561.40000010627,"A","White","Hispanic or Latino",666,2001,50,54,"Census"
1,1206.10000006556,"A","White","Hispanic or Latino",666,2001,55,59,"Census"
1,891.900218312547,"A","White","Hispanic or Latino",666,2001,60,64,"Census"
1,724.700218296975,"A","White","Hispanic or Latino",666,2001,65,69,"Census"
1,551.400218234309,"A","White","Hispanic or Latino",666,2001,70,74,"Census"
1,433.100218233654,"A","White","Hispanic or Latino",666,2001,75,79,"Census"
1,278.599999980906,"A","White","Hispanic or Latino",666,2001,80,84,"Census"
1,227.199999984015,"A","White","Hispanic or Latino",666,2001,85,150,"Census"
1,201528.053253915,"A","White","Not Hispanic or Latino",666,2001,25,29,"Census"
1,208650.350633821,"A","White","Not Hispanic or Latino",666,2001,30,34,"Census"
1,238025.672673887,"A","White","Not Hispanic or Latino",666,2001,35,39,"Census"
1,242036.374419854,"A","White","Not Hispanic or Latino",666,2001,40,44,"Census"
1,229150.173764485,"A","White","Not Hispanic or Latino",666,2001,45,49,"Census"
1,219763.870928115,"A","White","Not Hispanic or Latino",666,2001,50,54,"Census"
1,182922.462853536,"A","White","Not Hispanic or Latino",666,2001,55,59,"Census"
1,156723.068962433,"A","White","Not Hispanic or Latino",666,2001,60,64,"Census"
1,136980.463724669,"A","White","Not Hispanic or Latino",666,2001,65,69,"Census"
1,120009.244302312,"A","White","Not Hispanic or Latino",666,2001,70,74,"Census"
1,95602.4377556449,"A","White","Not Hispanic or Latino",666,2001,75,79,"Census"
1,63360.3257525239,"A","White","Not Hispanic or Latino",666,2001,80,84,"Census"
1,52567.8298989551,"A","White","Not Hispanic or Latino",666,2001,85,150,"Census"
2,2149.49999958784,"A","Asian or Pacific Islander","All Origins",666,2001,25,29,"Census"
2,2377.09999971565,"A","Asian or Pacific Islander","All Origins",666,2001,30,34,"Census"
2,2651.09999954048,"A","Asian or Pacific Islander","All Origins",666,2001,35,39,"Census"
2,2719.3999996399,"A","Asian or Pacific Islander","All Origins",666,2001,40,44,"Census"
2,2477.79999939658,"A","Asian or Pacific Islander","All Origins",666,2001,45,49,"Census"
2,2014.8999994558,"A","Asian or Pacific Islander","All Origins",666,2001,50,54,"Census"
2,1344.09999963827,"A","Asian or Pacific Islander","All Origins",666,2001,55,59,"Census"
2,960.19999977776,"A","Asian or Pacific Islander","All Origins",666,2001,60,64,"Census"
2,698.299999862597,"A","Asian or Pacific Islander","All Origins",666,2001,65,69,"Census"
2,561.199999857424,"A","Asian or Pacific Islander","All Origins",666,2001,70,74,"Census"
2,375.799999954453,"A","Asian or Pacific Islander","All Origins",666,2001,75,79,"Census"
2,191.399999950751,"A","Asian or Pacific Islander","All Origins",666,2001,80,84,"Census"
