"STATEFP","Population","Gender.Code","Race","Hispanic.Origin","Education","Year","min_age","max_age"
1,3128.50109287585,"A","Asian or Pacific Islander","All Origins",666,2005,0,4
1,3163.50000201695,"A","Asian or Pacific Islander","All Origins",666,2005,5,9
1,2902.00109279759,"A","Asian or Pacific Islander","All Origins",666,2005,10,14
1,3033.50000014675,"A","Asian or Pacific Islander","All Origins",666,2005,15,19
1,4048.00000087246,"A","Asian or Pacific Islander","All Origins",666,2005,20,24
1,4524.00218517218,"A","Asian or Pacific Islander","All Origins",666,2005,25,29
1,4207.50000267855,"A","Asian or Pacific Islander","All Origins",666,2005,30,34
1,4238.00000323632,"A","Asian or Pacific Islander","All Origins",666,2005,35,39
1,3632.50000218586,"A","Asian or Pacific Islander","All Origins",666,2005,40,44
1,3167.50218346452,"A","Asian or Pacific Islander","All Origins",666,2005,45,49
1,2656.50109202317,"A","Asian or Pacific Islander","All Origins",666,2005,50,54
1,2040.00109190812,"A","Asian or Pacific Islander","All Origins",666,2005,55,59
1,1537.00327384958,"A","Asian or Pacific Islander","All Origins",666,2005,60,64
1,1050.00109151393,"A","Asian or Pacific Islander","All Origins",666,2005,65,69
1,660.49999985441,"A","Asian or Pacific Islander","All Origins",666,2005,70,74
1,403.000000055242,"A","Asian or Pacific Islander","All Origins",666,2005,75,79
1,204.501091174913,"A","Asian or Pacific Islander","All Origins",666,2005,80,84
1,107.00000003078,"A","Asian or Pacific Islander","All Origins",666,2005,85,150
1,1600.50000075807,"F","Asian or Pacific Islander","All Origins",666,2005,0,4
1,1599.00000100381,"F","Asian or Pacific Islander","All Origins",666,2005,5,9
1,1421.00109205346,"F","Asian or Pacific Islander","All Origins",666,2005,10,14
1,1485.50000009628,"F","Asian or Pacific Islander","All Origins",666,2005,15,19
1,1828.00000044957,"F","Asian or Pacific Islander","All Origins",666,2005,20,24
1,2236.50218358977,"F","Asian or Pacific Islander","All Origins",666,2005,25,29
1,2188.0000015379,"F","Asian or Pacific Islander","All Origins",666,2005,30,34
1,2204.00000155231,"F","Asian or Pacific Islander","All Origins",666,2005,35,39
1,1963.00000075732,"F","Asian or Pacific Islander","All Origins",666,2005,40,44
1,1787.00218268231,"F","Asian or Pacific Islander","All Origins",666,2005,45,49
1,1535.00000050301,"F","Asian or Pacific Islander","All Origins",666,2005,50,54
1,1218.50109164564,"F","Asian or Pacific Islander","All Origins",666,2005,55,59
1,909.002182594127,"F","Asian or Pacific Islander","All Origins",666,2005,60,64
1,624.001091311717,"F","Asian or Pacific Islander","All Origins",666,2005,65,69
1,396.999999890046,"F","Asian or Pacific Islander","All Origins",666,2005,70,74
1,270.000000044768,"F","Asian or Pacific Islander","All Origins",666,2005,75,79
1,132.001091134844,"F","Asian or Pacific Islander","All Origins",666,2005,80,84
1,63.4999999872322,"F","Asian or Pacific Islander","All Origins",666,2005,85,150
1,1528.00109211778,"M","Asian or Pacific Islander","All Origins",666,2005,0,4
1,1564.50000101314,"M","Asian or Pacific Islander","All Origins",666,2005,5,9
1,1481.00000074412,"M","Asian or Pacific Islander","All Origins",666,2005,10,14
1,1548.00000005047,"M","Asian or Pacific Islander","All Origins",666,2005,15,19
1,2220.00000042289,"M","Asian or Pacific Islander","All Origins",666,2005,20,24
1,2287.5000015824,"M","Asian or Pacific Islander","All Origins",666,2005,25,29
1,2019.50000114065,"M","Asian or Pacific Islander","All Origins",666,2005,30,34
1,2034.000001684,"M","Asian or Pacific Islander","All Origins",666,2005,35,39
1,1669.50000142854,"M","Asian or Pacific Islander","All Origins",666,2005,40,44
1,1380.50000078221,"M","Asian or Pacific Islander","All Origins",666,2005,45,49
1,1121.50109152015,"M","Asian or Pacific Islander","All Origins",666,2005,50,54
1,821.500000262481,"M","Asian or Pacific Islander","All Origins",666,2005,55,59
1,628.001091255454,"M","Asian or Pacific Islander","All Origins",666,2005,60,64
1,426.000000202212,"M","Asian or Pacific Islander","All Origins",666,2005,65,69
1,263.499999964363,"M","Asian or Pacific Islander","All Origins",666,2005,70,74
1,133.000000010474,"M","Asian or Pacific Islander","All Origins",666,2005,75,79
1,72.5000000400692,"M","Asian or Pacific Islander","All Origins",666,2005,80,84
1,43.5000000435478,"M","Asian or Pacific Islander","All Origins",666,2005,85,150
1,91778.0044144938,"A","Black or African American","All Origins",666,2005,0,4
1,97112.0055026788,"A","Black or African American","All Origins",666,2005,5,9
1,100505.004410966,"A","Black or African American","All Origins",666,2005,10,14
1,108069.008780846,"A","Black or African American","All Origins",666,2005,15,19
1,98006.5109661416,"A","Black or African American","All Origins",666,2005,20,24
1,85518.5087793446,"A","Black or African American","All Origins",666,2005,25,29
1,80351.5033165202,"A","Black or African American","All Origins",666,2005,30,34
1,83383.5054996306,"A","Black or African American","All Origins",666,2005,35,39
1,83526.5164038582,"A","Black or African American","All Origins",666,2005,40,44
1,82540.509860009,"A","Black or African American","All Origins",666,2005,45,49
1,74551.0033210211,"A","Black or African American","All Origins",666,2005,50,54
1,58960.5033115625,"A","Black or African American","All Origins",666,2005,55,59
1,46358.5065767282,"A","Black or African American","All Origins",666,2005,60,64
1,34600.5076544637,"A","Black or African American","All Origins",666,2005,65,69
1,28080.0098360192,"A","Black or African American","All Origins",666,2005,70,74
1,21206.0021937942,"A","Black or African American","All Origins",666,2005,75,79
1,14646.5032823078,"A","Black or African American","All Origins",666,2005,80,84
1,14426.5032799756,"A","Black or African American","All Origins",666,2005,85,150
1,45452.0011162187,"F","Black or African American","All Origins",666,2005,0,4
1,47791.0011153777,"F","Black or African American","All Origins",666,2005,5,9
1,49484.0011158403,"F","Black or African American","All Origins",666,2005,10,14
1,54267.5054785688,"F","Black or African American","All Origins",666,2005,15,19
1,51900.5011171354,"F","Black or African American","All Origins",666,2005,20,24
1,46299.0022085932,"F","Black or African American","All Origins",666,2005,25,29
1,43912.0011120898,"F","Black or African American","All Origins",666,2005,30,34
1,45818.503296071,"F","Black or African American","All Origins",666,2005,35,39
1,45712.5076575751,"F","Black or African American","All Origins",666,2005,40,44
1,44916.001111437,"F","Black or African American","All Origins",666,2005,45,49
1,40374.5011181659,"F","Black or African American","All Origins",666,2005,50,54
1,32209.0022033304,"F","Black or African American","All Origins",666,2005,55,59
1,25676.502199514,"F","Black or African American","All Origins",666,2005,60,64
1,19827.5043750319,"F","Black or African American","All Origins",666,2005,65,69
1,16908.5032835525,"F","Black or African American","All Origins",666,2005,70,74
1,13456.0021902234,"F","Black or African American","All Origins",666,2005,75,79
1,9834.00327980808,"F","Black or African American","All Origins",666,2005,80,84
1,10544.5021872298,"F","Black or African American","All Origins",666,2005,85,150
1,46326.0032982751,"M","Black or African American","All Origins",666,2005,0,4
1,49321.0043873011,"M","Black or African American","All Origins",666,2005,5,9
1,51021.003295126,"M","Black or African American","All Origins",666,2005,10,14
1,53801.503302277,"M","Black or African American","All Origins",666,2005,15,19
1,46106.0098490062,"M","Black or African American","All Origins",666,2005,20,24
1,39219.5065707514,"M","Black or African American","All Origins",666,2005,25,29
1,36439.5022044304,"M","Black or African American","All Origins",666,2005,30,34
1,37565.0022035596,"M","Black or African American","All Origins",666,2005,35,39
1,37814.008746283,"M","Black or African American","All Origins",666,2005,40,44
1,37624.508748572,"M","Black or African American","All Origins",666,2005,45,49
1,34176.5022028553,"M","Black or African American","All Origins",666,2005,50,54
1,26751.501108232,"M","Black or African American","All Origins",666,2005,55,59
1,20682.0043772142,"M","Black or African American","All Origins",666,2005,60,64
1,14773.0032794318,"M","Black or African American","All Origins",666,2005,65,69
1,11171.5065524667,"M","Black or African American","All Origins",666,2005,70,74
1,7750.0000035708,"M","Black or African American","All Origins",666,2005,75,79
1,4812.50000249968,"M","Black or African American","All Origins",666,2005,80,84
1,3882.00109274582,"M","Black or African American","All Origins",666,2005,85,150
1,1545.00000088829,"A","American Indian or Alaska Native","All Origins",666,2005,0,4
1,1823.50000066328,"A","American Indian or Alaska Native","All Origins",666,2005,5,9
1,2037.50218297937,"A","American Indian or Alaska Native","All Origins",666,2005,10,14
1,2226.50109186816,"A","American Indian or Alaska Native","All Origins",666,2005,15,19
1,1858.50218295188,"A","American Indian or Alaska Native","All Origins",666,2005,20,24
1,1797.50000081071,"A","American Indian or Alaska Native","All Origins",666,2005,25,29
1,1758.00000032278,"A","American Indian or Alaska Native","All Origins",666,2005,30,34
1,1927.00327404192,"A","American Indian or Alaska Native","All Origins",666,2005,35,39
1,2045.50218274211,"A","American Indian or Alaska Native","All Origins",666,2005,40,44
1,2042.00000090927,"A","American Indian or Alaska Native","All Origins",666,2005,45,49
1,1904.50109152858,"A","American Indian or Alaska Native","All Origins",666,2005,50,54
1,1510.00109154671,"A","American Indian or Alaska Native","All Origins",666,2005,55,59
1,1100.0000004366,"A","American Indian or Alaska Native","All Origins",666,2005,60,64
1,732.000000266961,"A","American Indian or Alaska Native","All Origins",666,2005,65,69
1,474.502182365789,"A","American Indian or Alaska Native","All Origins",666,2005,70,74
1,268.00000008523,"A","American Indian or Alaska Native","All Origins",666,2005,75,79
1,149.00000003782,"A","American Indian or Alaska Native","All Origins",666,2005,80,84
1,125.000000056896,"A","American Indian or Alaska Native","All Origins",666,2005,85,150
1,748.500000422218,"F","American Indian or Alaska Native","All Origins",666,2005,0,4
1,898.500000214774,"F","American Indian or Alaska Native","All Origins",666,2005,5,9
1,992.001091505455,"F","American Indian or Alaska Native","All Origins",666,2005,10,14
1,1058.50000035432,"F","American Indian or Alaska Native","All Origins",666,2005,15,19
1,920.502182613296,"F","American Indian or Alaska Native","All Origins",666,2005,20,24
1,878.500000243739,"F","American Indian or Alaska Native","All Origins",666,2005,25,29
1,868.500000201392,"F","American Indian or Alaska Native","All Origins",666,2005,30,34
1,974.503273859685,"F","American Indian or Alaska Native","All Origins",666,2005,35,39
1,1103.0000002724,"F","American Indian or Alaska Native","All Origins",666,2005,40,44
1,1040.50000047901,"F","American Indian or Alaska Native","All Origins",666,2005,45,49
1,969.501091325993,"F","American Indian or Alaska Native","All Origins",666,2005,50,54
1,751.501091230328,"F","American Indian or Alaska Native","All Origins",666,2005,55,59
1,529.500000051485,"F","American Indian or Alaska Native","All Origins",666,2005,60,64
1,365.00000006365,"F","American Indian or Alaska Native","All Origins",666,2005,65,69
1,243.501091266015,"F","American Indian or Alaska Native","All Origins",666,2005,70,74
1,144.000000082658,"F","American Indian or Alaska Native","All Origins",666,2005,75,79
1,98.0000000041224,"F","American Indian or Alaska Native","All Origins",666,2005,80,84
1,80.4999999741933,"F","American Indian or Alaska Native","All Origins",666,2005,85,150
1,796.500000466069,"M","American Indian or Alaska Native","All Origins",666,2005,0,4
1,925.000000448504,"M","American Indian or Alaska Native","All Origins",666,2005,5,9
1,1045.50109147391,"M","American Indian or Alaska Native","All Origins",666,2005,10,14
1,1168.00109151384,"M","American Indian or Alaska Native","All Origins",666,2005,15,19
1,938.000000338581,"M","American Indian or Alaska Native","All Origins",666,2005,20,24
1,919.000000566971,"M","American Indian or Alaska Native","All Origins",666,2005,25,29
1,889.500000121387,"M","American Indian or Alaska Native","All Origins",666,2005,30,34
1,952.50000018224,"M","American Indian or Alaska Native","All Origins",666,2005,35,39
1,942.50218246971,"M","American Indian or Alaska Native","All Origins",666,2005,40,44
1,1001.50000043026,"M","American Indian or Alaska Native","All Origins",666,2005,45,49
1,935.000000202587,"M","American Indian or Alaska Native","All Origins",666,2005,50,54
1,758.500000316381,"M","American Indian or Alaska Native","All Origins",666,2005,55,59
1,570.500000385114,"M","American Indian or Alaska Native","All Origins",666,2005,60,64
1,367.00000020331,"M","American Indian or Alaska Native","All Origins",666,2005,65,69
1,231.001091099774,"M","American Indian or Alaska Native","All Origins",666,2005,70,74
1,124.000000002571,"M","American Indian or Alaska Native","All Origins",666,2005,75,79
1,51.0000000336971,"M","American Indian or Alaska Native","All Origins",666,2005,80,84
1,44.5000000827031,"M","American Indian or Alaska Native","All Origins",666,2005,85,150
1,6479.00436794966,"A","White","Hispanic or Latino",666,2005,0,4
1,5221.00218418332,"A","White","Hispanic or Latino",666,2005,5,9
1,4133.50327472392,"A","White","Hispanic or Latino",666,2005,10,14
1,4291.5010919421,"A","White","Hispanic or Latino",666,2005,15,19
1,5696.00000146171,"A","White","Hispanic or Latino",666,2005,20,24
1,5677.00218415614,"A","White","Hispanic or Latino",666,2005,25,29
1,4967.50218441108,"A","White","Hispanic or Latino",666,2005,30,34
1,4052.0010926094,"A","White","Hispanic or Latino",666,2005,35,39
1,3214.50000093322,"A","White","Hispanic or Latino",666,2005,40,44
1,2662.5010918351,"A","White","Hispanic or Latino",666,2005,45,49
1,2143.00000053133,"A","White","Hispanic or Latino",666,2005,50,54
1,1582.50000032778,"A","White","Hispanic or Latino",666,2005,55,59
1,1187.50109156274,"A","White","Hispanic or Latino",666,2005,60,64
1,891.501091484877,"A","White","Hispanic or Latino",666,2005,65,69
1,677.001091171546,"A","White","Hispanic or Latino",666,2005,70,74
1,505.501091168271,"A","White","Hispanic or Latino",666,2005,75,79
1,336.999999904531,"A","White","Hispanic or Latino",666,2005,80,84
1,271.999999920074,"A","White","Hispanic or Latino",666,2005,85,150
1,3154.0032750007,"F","White","Hispanic or Latino",666,2005,0,4
1,2540.50000099964,"F","White","Hispanic or Latino",666,2005,5,9
1,1980.50109166771,"F","White","Hispanic or Latino",666,2005,10,14
1,1876.00109123681,"F","White","Hispanic or Latino",666,2005,15,19
1,2278.50000055897,"F","White","Hispanic or Latino",666,2005,20,24
1,2311.00109206866,"F","White","Hispanic or Latino",666,2005,25,29
1,2095.50109239174,"F","White","Hispanic or Latino",666,2005,30,34
1,1800.50109148427,"F","White","Hispanic or Latino",666,2005,35,39
1,1439.0000004074,"F","White","Hispanic or Latino",666,2005,40,44
1,1238.00109161664,"F","White","Hispanic or Latino",666,2005,45,49
1,1026.50000018101,"F","White","Hispanic or Latino",666,2005,50,54
1,769.500000081969,"F","White","Hispanic or Latino",666,2005,55,59
1,599.00109132173,"F","White","Hispanic or Latino",666,2005,60,64
1,456.50109131054,"F","White","Hispanic or Latino",666,2005,65,69
1,376.001091068482,"F","White","Hispanic or Latino",666,2005,70,74
1,283.001091101776,"F","White","Hispanic or Latino",666,2005,75,79
1,188.000000000597,"F","White","Hispanic or Latino",666,2005,80,84
1,169.500000031761,"F","White","Hispanic or Latino",666,2005,85,150
1,3325.00109294896,"M","White","Hispanic or Latino",666,2005,0,4
1,2680.50218318368,"M","White","Hispanic or Latino",666,2005,5,9
1,2153.00218305621,"M","White","Hispanic or Latino",666,2005,10,14
1,2415.50000070529,"M","White","Hispanic or Latino",666,2005,15,19
1,3417.50000090274,"M","White","Hispanic or Latino",666,2005,20,24
1,3366.00109208748,"M","White","Hispanic or Latino",666,2005,25,29
1,2872.00109201934,"M","White","Hispanic or Latino",666,2005,30,34
1,2251.50000112512,"M","White","Hispanic or Latino",666,2005,35,39
1,1775.50000052582,"M","White","Hispanic or Latino",666,2005,40,44
1,1424.50000021846,"M","White","Hispanic or Latino",666,2005,45,49
1,1116.50000035032,"M","White","Hispanic or Latino",666,2005,50,54
1,813.00000024581,"M","White","Hispanic or Latino",666,2005,55,59
1,588.500000241005,"M","White","Hispanic or Latino",666,2005,60,64
1,435.000000174338,"M","White","Hispanic or Latino",666,2005,65,69
1,301.000000103063,"M","White","Hispanic or Latino",666,2005,70,74
1,222.500000066495,"M","White","Hispanic or Latino",666,2005,75,79
1,148.999999903934,"M","White","Hispanic or Latino",666,2005,80,84
1,102.499999888313,"M","White","Hispanic or Latino",666,2005,85,150
1,180070.300078734,"A","White","Not Hispanic or Latino",666,2005,0,4
1,191065.795714132,"A","White","Not Hispanic or Latino",666,2005,5,9
1,199578.826264741,"A","White","Not Hispanic or Latino",666,2005,10,14
1,206009.398230875,"A","White","Not Hispanic or Latino",666,2005,15,19
1,199181.762975994,"A","White","Not Hispanic or Latino",666,2005,20,24
1,196604.266269575,"A","White","Not Hispanic or Latino",666,2005,25,29
1,198563.753169105,"A","White","Not Hispanic or Latino",666,2005,30,34
1,222588.363369434,"A","White","Not Hispanic or Latino",666,2005,35,39
1,229185.872099272,"A","White","Not Hispanic or Latino",666,2005,40,44
1,235054.868822425,"A","White","Not Hispanic or Latino",666,2005,45,49
1,230715.354640575,"A","White","Not Hispanic or Latino",666,2005,50,54
1,201428.314267679,"A","White","Not Hispanic or Latino",666,2005,55,59
1,180687.344812164,"A","White","Not Hispanic or Latino",666,2005,60,64
1,149874.318623345,"A","White","Not Hispanic or Latino",666,2005,65,69
1,123790.221511558,"A","White","Not Hispanic or Latino",666,2005,70,74
1,97260.1887782244,"A","White","Not Hispanic or Latino",666,2005,75,79
1,67313.6287626195,"A","White","Not Hispanic or Latino",666,2005,80,84
1,56143.1494947756,"A","White","Not Hispanic or Latino",666,2005,85,150
1,87787.6429461858,"F","White","Not Hispanic or Latino",666,2005,0,4
1,92884.1287621244,"F","White","Not Hispanic or Latino",666,2005,5,9
1,96804.6647683478,"F","White","Not Hispanic or Latino",666,2005,10,14
1,100743.702930595,"F","White","Not Hispanic or Latino",666,2005,15,19
1,99612.6353046895,"F","White","Not Hispanic or Latino",666,2005,20,24
1,98036.1364066356,"F","White","Not Hispanic or Latino",666,2005,25,29
1,98996.624402004,"F","White","Not Hispanic or Latino",666,2005,30,34
1,111118.689864624,"F","White","Not Hispanic or Latino",666,2005,35,39
1,114536.185503162,"F","White","Not Hispanic or Latino",666,2005,40,44
1,118227.178953669,"F","White","Not Hispanic or Latino",666,2005,45,49
1,116601.659318026,"F","White","Not Hispanic or Latino",666,2005,50,54
1,103507.666953882,"F","White","Not Hispanic or Latino",666,2005,55,59
1,93988.6778618776,"F","White","Not Hispanic or Latino",666,2005,60,64
1,79536.6669511046,"F","White","Not Hispanic or Latino",666,2005,65,69
1,68391.1134845003,"F","White","Not Hispanic or Latino",666,2005,70,74
1,56726.6091207993,"F","White","Not Hispanic or Latino",666,2005,75,79
1,42157.0796594242,"F","White","Not Hispanic or Latino",666,2005,80,84
1,39929.1145757314,"F","White","Not Hispanic or Latino",666,2005,85,150
1,92282.6571325487,"M","White","Not Hispanic or Latino",666,2005,0,4
1,98181.6669520074,"M","White","Not Hispanic or Latino",666,2005,5,9
1,102774.161496393,"M","White","Not Hispanic or Latino",666,2005,10,14
1,105265.69530028,"M","White","Not Hispanic or Latino",666,2005,15,19
1,99569.1276713046,"M","White","Not Hispanic or Latino",666,2005,20,24
1,98568.1298629392,"M","White","Not Hispanic or Latino",666,2005,25,29
1,99567.1287671014,"M","White","Not Hispanic or Latino",666,2005,30,34
1,111469.673504809,"M","White","Not Hispanic or Latino",666,2005,35,39
1,114649.68659611,"M","White","Not Hispanic or Latino",666,2005,40,44
