"nation","variable","Population","Gender.Code","Year","Race","Hispanic.Origin","Education","min_age","max_age"
"us","AA66A00",18052.9000054201,"A",2001,"Asian or Pacific Islander","All Origins",666,0,0
"us","AA66A01",76247.3000239925,"A",2001,"Asian or Pacific Islander","All Origins",666,1,4
"us","AA66A05",742486.60003157,"A",2001,"Asian or Pacific Islander","All Origins",666,5,9
"us","AA66A10",740665.000031503,"A",2001,"Asian or Pacific Islander","All Origins",666,10,14
"us","AA66A15",805782.900023911,"A",2001,"Asian or Pacific Islander","All Origins",666,15,19
"us","AA66A20",885527.700022938,"A",2001,"Asian or Pacific Islander","All Origins",666,20,24
"us","AA66A25",1047724.80003978,"A",2001,"Asian or Pacific Islander","All Origins",666,25,29
"us","AA66A30",1012757.70004177,"A",2001,"Asian or Pacific Islander","All Origins",666,30,34
"us","AA66A35",981726.100044723,"A",2001,"Asian or Pacific Islander","All Origins",666,35,39
"us","AA66A40",906585.800042008,"A",2001,"Asian or Pacific Islander","All Origins",666,40,44
"us","AA66A45",807277.300039941,"A",2001,"Asian or Pacific Islander","All Origins",666,45,49
"us","AA66A50",681791.500036401,"A",2001,"Asian or Pacific Islander","All Origins",666,50,54
"us","AA66A55",489312.80003118,"A",2001,"Asian or Pacific Islander","All Origins",666,55,59
"us","AA66A60",388482.200027433,"A",2001,"Asian or Pacific Islander","All Origins",666,60,64
"us","AA66A65",302244.400016615,"A",2001,"Asian or Pacific Islander","All Origins",666,65,69
"us","AA66A70",239277.200010409,"A",2001,"Asian or Pacific Islander","All Origins",666,70,74
"us","AA66A75",169278.400008198,"A",2001,"Asian or Pacific Islander","All Origins",666,75,79
"us","AA66A80",98513.8000045959,"A",2001,"Asian or Pacific Islander","All Origins",666,80,84
"us","AA66A85",71924.5000033095,"A",2001,"Asian or Pacific Islander","All Origins",666,85,150
"us","AA66F00",8770.90000286031,"F",2001,"Asian or Pacific Islander","All Origins",666,0,0
