"nation","Population","Gender.Code","Race","Hispanic.Origin","Education","Year","min_age","max_age"
"us",775558.500088238,"A","Asian or Pacific Islander","All Origins",666,2003,0,4
"us",793381.80009471,"A","Asian or Pacific Islander","All Origins",666,2003,5,9
"us",781401.000094509,"A","Asian or Pacific Islander","All Origins",666,2003,10,14
"us",849670.700071731,"A","Asian or Pacific Islander","All Origins",666,2003,15,19
"us",946293.100068814,"A","Asian or Pacific Islander","All Origins",666,2003,20,24
"us",1100282.40011935,"A","Asian or Pacific Islander","All Origins",666,2003,25,29
"us",1073179.10012532,"A","Asian or Pacific Islander","All Origins",666,2003,30,34
"us",1060238.30013417,"A","Asian or Pacific Islander","All Origins",666,2003,35,39
"us",970001.400126023,"A","Asian or Pacific Islander","All Origins",666,2003,40,44
"us",874927.900119822,"A","Asian or Pacific Islander","All Origins",666,2003,45,49
"us",754988.500109202,"A","Asian or Pacific Islander","All Origins",666,2003,50,54
"us",573584.400093541,"A","Asian or Pacific Islander","All Origins",666,2003,55,59
"us",459572.6000823,"A","Asian or Pacific Islander","All Origins",666,2003,60,64
"us",343167.200049846,"A","Asian or Pacific Islander","All Origins",666,2003,65,69
"us",266641.600031227,"A","Asian or Pacific Islander","All Origins",666,2003,70,74
"us",188677.200024593,"A","Asian or Pacific Islander","All Origins",666,2003,75,79
"us",114865.400013788,"A","Asian or Pacific Islander","All Origins",666,2003,80,84
"us",87131.5000099283,"A","Asian or Pacific Islander","All Origins",666,2003,85,150
"us",383504.000042134,"F","Asian or Pacific Islander","All Origins",666,2003,0,4
"us",390557.000048033,"F","Asian or Pacific Islander","All Origins",666,2003,5,9
"us",382338.20004621,"F","Asian or Pacific Islander","All Origins",666,2003,10,14
"us",415245.200030779,"F","Asian or Pacific Islander","All Origins",666,2003,15,19
"us",470762.300032003,"F","Asian or Pacific Islander","All Origins",666,2003,20,24
"us",564987.300056311,"F","Asian or Pacific Islander","All Origins",666,2003,25,29
"us",557637.900063499,"F","Asian or Pacific Islander","All Origins",666,2003,30,34
"us",552537.200069595,"F","Asian or Pacific Islander","All Origins",666,2003,35,39
"us",512745.500065567,"F","Asian or Pacific Islander","All Origins",666,2003,40,44
"us",468263.000061424,"F","Asian or Pacific Islander","All Origins",666,2003,45,49
"us",406162.400056855,"F","Asian or Pacific Islander","All Origins",666,2003,50,54
"us",309000.300052452,"F","Asian or Pacific Islander","All Origins",666,2003,55,59
"us",248412.20004463,"F","Asian or Pacific Islander","All Origins",666,2003,60,64
"us",190633.100025425,"F","Asian or Pacific Islander","All Origins",666,2003,65,69
"us",150864.600016366,"F","Asian or Pacific Islander","All Origins",666,2003,70,74
"us",108197.300013931,"F","Asian or Pacific Islander","All Origins",666,2003,75,79
"us",68586.7000083668,"F","Asian or Pacific Islander","All Origins",666,2003,80,84
"us",53674.200006318,"F","Asian or Pacific Islander","All Origins",666,2003,85,150
"us",392054.500046104,"M","Asian or Pacific Islander","All Origins",666,2003,0,4
"us",402824.800046677,"M","Asian or Pacific Islander","All Origins",666,2003,5,9
"us",399062.800048299,"M","Asian or Pacific Islander","All Origins",666,2003,10,14
"us",434425.500040952,"M","Asian or Pacific Islander","All Origins",666,2003,15,19
"us",475530.800036811,"M","Asian or Pacific Islander","All Origins",666,2003,20,24
"us",535295.100063042,"M","Asian or Pacific Islander","All Origins",666,2003,25,29
"us",515541.200061816,"M","Asian or Pacific Islander","All Origins",666,2003,30,34
"us",507701.100064573,"M","Asian or Pacific Islander","All Origins",666,2003,35,39
"us",457255.900060455,"M","Asian or Pacific Islander","All Origins",666,2003,40,44
"us",406664.900058398,"M","Asian or Pacific Islander","All Origins",666,2003,45,49
"us",348826.100052347,"M","Asian or Pacific Islander","All Origins",666,2003,50,54
"us",264584.100041089,"M","Asian or Pacific Islander","All Origins",666,2003,55,59
"us",211160.40003767,"M","Asian or Pacific Islander","All Origins",666,2003,60,64
