"nation","Population","Gender.Code","Race","Hispanic.Origin","Education","Year","min_age","max_age","source2"
"us",1205397.6,"A","Asian or Pacific Islander","All Origins",666,2007,25,29,"Census"
"us",1194021.9,"A","Asian or Pacific Islander","All Origins",666,2007,30,34,"Census"
"us",1217262.7,"A","Asian or Pacific Islander","All Origins",666,2007,35,39,"Census"
"us",1096832.6,"A","Asian or Pacific Islander","All Origins",666,2007,40,44,"Census"
"us",1010229.1,"A","Asian or Pacific Islander","All Origins",666,2007,45,49,"Census"
"us",901382.5,"A","Asian or Pacific Islander","All Origins",666,2007,50,54,"Census"
"us",742127.6,"A","Asian or Pacific Islander","All Origins",666,2007,55,59,"Census"
"us",601753.4,"A","Asian or Pacific Islander","All Origins",666,2007,60,64,"Census"
"us",425012.8,"A","Asian or Pacific Islander","All Origins",666,2007,65,69,"Census"
"us",321370.4,"A","Asian or Pacific Islander","All Origins",666,2007,70,74,"Census"
"us",227474.8,"A","Asian or Pacific Islander","All Origins",666,2007,75,79,"Census"
"us",147568.6,"A","Asian or Pacific Islander","All Origins",666,2007,80,84,"Census"
"us",117545.5,"A","Asian or Pacific Islander","All Origins",666,2007,85,150,"Census"
"us",2715068.2,"A","Black or African American","All Origins",666,2007,25,29,"Census"
"us",2625128.1,"A","Black or African American","All Origins",666,2007,30,34,"Census"
"us",2677280.6,"A","Black or African American","All Origins",666,2007,35,39,"Census"
"us",2678449.2,"A","Black or African American","All Origins",666,2007,40,44,"Census"
"us",2662617.2,"A","Black or African American","All Origins",666,2007,45,49,"Census"
"us",2427610,"A","Black or African American","All Origins",666,2007,50,54,"Census"
"us",1936066.3,"A","Black or African American","All Origins",666,2007,55,59,"Census"
"us",1499727.2,"A","Black or African American","All Origins",666,2007,60,64,"Census"
"us",1078339.7,"A","Black or African American","All Origins",666,2007,65,69,"Census"
"us",816037.7,"A","Black or African American","All Origins",666,2007,70,74,"Census"
"us",596759.5,"A","Black or African American","All Origins",666,2007,75,79,"Census"
"us",401153.9,"A","Black or African American","All Origins",666,2007,80,84,"Census"
"us",361472.1,"A","Black or African American","All Origins",666,2007,85,150,"Census"
"us",211164.5,"A","American Indian or Alaska Native","All Origins",666,2007,25,29,"Census"
"us",197871.2,"A","American Indian or Alaska Native","All Origins",666,2007,30,34,"Census"
"us",197815.8,"A","American Indian or Alaska Native","All Origins",666,2007,35,39,"Census"
"us",193059.4,"A","American Indian or Alaska Native","All Origins",666,2007,40,44,"Census"
"us",193326.5,"A","American Indian or Alaska Native","All Origins",666,2007,45,49,"Census"
"us",172816,"A","American Indian or Alaska Native","All Origins",666,2007,50,54,"Census"
"us",135183.3,"A","American Indian or Alaska Native","All Origins",666,2007,55,59,"Census"
"us",103010.1,"A","American Indian or Alaska Native","All Origins",666,2007,60,64,"Census"
"us",70194.2,"A","American Indian or Alaska Native","All Origins",666,2007,65,69,"Census"
"us",48678.4,"A","American Indian or Alaska Native","All Origins",666,2007,70,74,"Census"
"us",32370,"A","American Indian or Alaska Native","All Origins",666,2007,75,79,"Census"
"us",19767.9,"A","American Indian or Alaska Native","All Origins",666,2007,80,84,"Census"
"us",15463.2,"A","American Indian or Alaska Native","All Origins",666,2007,85,150,"Census"
"us",18223917,"A","All","All Origins",666,2007,25,29,"Census"
"us",17963946,"A","All","All Origins",666,2007,30,34,"Census"
"us",18999564.9,"A","All","All Origins",666,2007,35,39,"Census"
"us",19685098.3,"A","All","All Origins",666,2007,40,44,"Census"
"us",20529139.1,"A","All","All Origins",666,2007,45,49,"Census"
"us",19791013.4,"A","All","All Origins",666,2007,50,54,"Census"
"us",17039082.2,"A","All","All Origins",666,2007,55,59,"Census"
"us",14473577.1,"A","All","All Origins",666,2007,60,64,"Census"
"us",11204715.6,"A","All","All Origins",666,2007,65,69,"Census"
"us",8899196.8,"A","All","All Origins",666,2007,70,74,"Census"
"us",7172808.3,"A","All","All Origins",666,2007,75,79,"Census"
"us",5392768.4,"A","All","All Origins",666,2007,80,84,"Census"
"us",5028846.9,"A","All","All Origins",666,2007,85,150,"Census"
"us",1936176.8,"A","White","Hispanic or Latino",666,2007,25,29,"Census"
"us",1890164.8,"A","White","Hispanic or Latino",666,2007,30,34,"Census"
"us",1818392,"A","White","Hispanic or Latino",666,2007,35,39,"Census"
"us",1623335.7,"A","White","Hispanic or Latino",666,2007,40,44,"Census"
"us",1441636.2,"A","White","Hispanic or Latino",666,2007,45,49,"Census"
"us",1195568,"A","White","Hispanic or Latino",666,2007,50,54,"Census"
"us",943645,"A","White","Hispanic or Latino",666,2007,55,59,"Census"
"us",748569.7,"A","White","Hispanic or Latino",666,2007,60,64,"Census"
"us",557859.3,"A","White","Hispanic or Latino",666,2007,65,69,"Census"
"us",434309.1,"A","White","Hispanic or Latino",666,2007,70,74,"Census"
"us",321035.9,"A","White","Hispanic or Latino",666,2007,75,79,"Census"
"us",215989.5,"A","White","Hispanic or Latino",666,2007,80,84,"Census"
"us",169873.8,"A","White","Hispanic or Latino",666,2007,85,150,"Census"
"us",12156109.9,"A","White","Not Hispanic or Latino",666,2007,25,29,"Census"
"us",12056760,"A","White","Not Hispanic or Latino",666,2007,30,34,"Census"
"us",13088813.8,"A","White","Not Hispanic or Latino",666,2007,35,39,"Census"
"us",14093421.4,"A","White","Not Hispanic or Latino",666,2007,40,44,"Census"
"us",15221330.1,"A","White","Not Hispanic or Latino",666,2007,45,49,"Census"
"us",15093636.9,"A","White","Not Hispanic or Latino",666,2007,50,54,"Census"
"us",13282060,"A","White","Not Hispanic or Latino",666,2007,55,59,"Census"
"us",11520516.7,"A","White","Not Hispanic or Latino",666,2007,60,64,"Census"
"us",9073309.6,"A","White","Not Hispanic or Latino",666,2007,65,69,"Census"
"us",7278801.2,"A","White","Not Hispanic or Latino",666,2007,70,74,"Census"
"us",5995168.1,"A","White","Not Hispanic or Latino",666,2007,75,79,"Census"
"us",4608288.5,"A","White","Not Hispanic or Latino",666,2007,80,84,"Census"
"us",4364492.3,"A","White","Not Hispanic or Latino",666,2007,85,150,"Census"
